Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
adamantwharf,,,Bogota-Hack-1-2017,,,adamantwharf,,,95,,,27.91,,,4th Phase,,
aldiazve,,,Bogota-Hack-1-2017,,,aldiazve,,,260,,,69.77,,,4th Phase,,
andfsanchezlem,,,Bogota-Hack-1-2017,,,andfsanchezlem,,,45,,,11.63,,,4th Phase,,
anfmorenoso,,,Bogota-Hack-1-2017,,,anfmorenoso,,,178.33,,,53.49,,,4th Phase,,
bdcajicam,,,Bogota-Hack-1-2017,,,bdcajicam,,,174.17,,,51.16,,,4th Phase,,
Christian7sr,,,Bogota-Hack-1-2017,,,Christian7sr,,,124.17,,,39.53,,,4th Phase,,
crigar,,,Bogota-Hack-1-2017,,,crigar,,,107.5,,,30.23,,,4th Phase,,
daandradec,,,Bogota-Hack-1-2017,,,daandradec,,,318.75,,,90.7,,,4th Phase,,
dasalgadob,,,Bogota-Hack-1-2017,,,dasalgadob,,,225,,,62.79,,,4th Phase,,
diegoaguevarar,,,Bogota-Hack-1-2017,,,diegoaguevarar,,,312.5,,,88.37,,,4th Phase,,
djguzmanc,,,Bogota-Hack-1-2017,,,djguzmanc,,,292.29,,,83.72,,,4th Phase,,
dsbarrerag,,,Bogota-Hack-1-2017,,,dsbarrerag,,,285,,,81.4,,,4th Phase,,
falperezgo,,,Bogota-Hack-1-2017,,,falperezgo,,,277.5,,,74.42,,,4th Phase,,
fevargasmo,,,Bogota-Hack-1-2017,,,fevargasmo,,,248.33,,,67.44,,,4th Phase,,
gasierram,,,Bogota-Hack-1-2017,,,gasierram,,,160.83,,,44.19,,,4th Phase,,
gcantem,,,Bogota-Hack-1-2017,,,gcantem,,,264.17,,,72.09,,,4th Phase,,
gfalbarracinr,,,Bogota-Hack-1-2017,,,gfalbarracinr,,,50,,,13.95,,,4th Phase,,
helmeraac,,,Bogota-Hack-1-2017,,,helmeraac,,,86.67,,,23.26,,,4th Phase,,
JairVillalba,,,Bogota-Hack-1-2017,,,JairVillalba,,,62.5,,,18.6,,,4th Phase,,
jcrubioa,,,Bogota-Hack-1-2017,,,jcrubioa,,,215.83,,,60.47,,,4th Phase,,
jesusfchavarro,,,Bogota-Hack-1-2017,,,jesusfchavarro,,,333.33,,,93.02,,,4th Phase,,
jiapulidoar,,,Bogota-Hack-1-2017,,,jiapulidoar,,,277.5,,,74.42,,,4th Phase,,
jmhurtadoc,,,Bogota-Hack-1-2017,,,jmhurtadoc,,,116.67,,,37.21,,,4th Phase,,
joahernandezca,,,Bogota-Hack-1-2017,,,joahernandezca,,,132.5,,,41.86,,,4th Phase,,
jonatan360,,,Bogota-Hack-1-2017,,,jonatan360,,,343.33,,,95.35,,,4th Phase,,
jsnarvaezb,,,Bogota-Hack-1-2017,,,jsnarvaezb,,,244.17,,,65.12,,,4th Phase,,
jsviveroj,,,Bogota-Hack-1-2017,,,jsviveroj,,,280.83,,,79.07,,,4th Phase,,
jufcontrerasco,,,Bogota-Hack-1-2017,,,jufcontrerasco,,,161.67,,,46.51,,,4th Phase,,
maikellPardo,,,Bogota-Hack-1-2017,,,maikellPardo,,,75,,,20.93,,,4th Phase,,
miaborjaac,,,Bogota-Hack-1-2017,,,miaborjaac,,,301.67,,,86.05,,,4th Phase,,
nabautistal,,,Bogota-Hack-1-2017,,,nabautistal,,,90.83,,,25.58,,,4th Phase,,
oeroaq,,,Bogota-Hack-1-2017,,,oeroaq,,,350,,,97.67,,,4th Phase,,
Semoralesga,,,Bogota-Hack-1-2017,,,Semoralesga,,,178.33,,,53.49,,,4th Phase,,
stevenbustos,,,Bogota-Hack-1-2017,,,stevenbustos,,,115.83,,,34.88,,,4th Phase,,
wolfstain,,,Bogota-Hack-1-2017,,,wolfstain,,,203.33,,,58.14,,,4th Phase,,
