Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
xdanielsb,,,Bogota-Hack-2-2017,,,xdanielsb,,,357.5,,,97.62,,,5th Phase,,
Gantiva,,,Bogota-Hack-2-2017,,,Gantiva,,,345.83,,,95.24,,,5th Phase,,
leguzman,,,Bogota-Hack-2-2017,,,leguzman,,,339.17,,,92.86,,,5th Phase,,
juasmartinezbel,,,Bogota-Hack-2-2017,,,juasmartinezbel,,,337.5,,,90.48,,,5th Phase,,
cesarochoa2006,,,Bogota-Hack-2-2017,,,cesarochoa2006,,,326.67,,,88.1,,,5th Phase,,
fabianr23,,,Bogota-Hack-2-2017,,,fabianr23,,,325.83,,,85.71,,,5th Phase,,
jscontrerasp,,,Bogota-Hack-2-2017,,,joaortizro,,,325,,,83.33,,,5th Phase,,
Davsatu313,,,Bogota-Hack-2-2017,,,Davsatu313,,,322.71,,,80.95,,,5th Phase,,
jhriverasa,,,Bogota-Hack-2-2017,,,jhriverasa,,,318.33,,,78.57,,,5th Phase,,
ccvacad,,,Bogota-Hack-2-2017,,,ccvacad,,,314.17,,,76.19,,,5th Phase,,
Yelis3,,,Bogota-Hack-2-2017,,,Yelis3,,,309.17,,,73.81,,,5th Phase,,
kmendezp96,,,Bogota-Hack-2-2017,,,kmendezp96,,,304.79,,,71.43,,,5th Phase,,
Dandarprox,,,Bogota-Hack-2-2017,,,Dandarprox,,,275.83,,,69.05,,,5th Phase,,
raulramirezp,,,Bogota-Hack-2-2017,,,raulramirezp,,,272.5,,,66.67,,,5th Phase,,
JuanitoAli,,,Bogota-Hack-2-2017,,,JuanitoAli,,,265.83,,,64.29,,,5th Phase,,
begarzonf,,,Bogota-Hack-2-2017,,,begarzonf,,,227.5,,,61.9,,,5th Phase,,
JulianaNino,,,Bogota-Hack-2-2017,,,JulianaNino,,,224.17,,,59.52,,,5th Phase,,
ykchautai,,,Bogota-Hack-2-2017,,,ykchautai,,,211.67,,,57.14,,,5th Phase,,
jucjimenezmo,,,Bogota-Hack-2-2017,,,jucjimenezmo,,,187.5,,,54.76,,,5th Phase,,
kancas,,,Bogota-Hack-2-2017,,,kancas,,,182.5,,,52.38,,,5th Phase,,
sagilm,,,Bogota-Hack-2-2017,,,sagilm,,,178.33,,,50,,,5th Phase,,
jhonsd1996,,,Bogota-Hack-2-2017,,,jhonsd1996,,,174.17,,,47.62,,,5th Phase,,
idrojasf,,,Bogota-Hack-2-2017,,,idrojasf,,,170,,,45.24,,,5th Phase,,
luealfonsoru,,,Bogota-Hack-2-2017,,,luealfonsoru,,,158.33,,,42.86,,,5th Phase,,
oserasoa,,,Bogota-Hack-2-2017,,,oserasoa,,,154.17,,,40.48,,,5th Phase,,
HashNick,,,Bogota-Hack-2-2017,,,HashNick,,,152.5,,,38.1,,,5th Phase,,
ligibrial,,,Bogota-Hack-2-2017,,,ligibrial,,,145.83,,,35.71,,,5th Phase,,
mdbelloc,,,Bogota-Hack-2-2017,,,mdbelloc,,,137.5,,,33.33,,,5th Phase,,
diegocruz10,,,Bogota-Hack-2-2017,,,diegocruz10,,,128.33,,,30.95,,,5th Phase,,
debeltranc,,,Bogota-Hack-2-2017,,,debeltranc,,,125,,,26.19,,,5th Phase,,
lsfinite,,,Bogota-Hack-2-2017,,,lsfinite,,,125,,,26.19,,,5th Phase,,
jusherrerama,,,Bogota-Hack-2-2017,,,jusherrerama,,,120,,,21.43,,,5th Phase,,
jjmuesesq,,,Bogota-Hack-2-2017,,,jjmuesesq,,,120,,,21.43,,,5th Phase,,
bdvegat,,,Bogota-Hack-2-2017,,,bdvegat,,,107.5,,,19.05,,,5th Phase,,
luegilca,,,Bogota-Hack-2-2017,,,luegilca,,,100,,,16.67,,,5th Phase,,
davidrh195,,,Bogota-Hack-2-2017,,,davidrh195,,,95,,,14.29,,,5th Phase,,
Phoenixest,,,Bogota-Hack-2-2017,,,Phoenixest,,,75,,,11.9,,,5th Phase,,
crarojasca,,,Bogota-Hack-2-2017,,,crarojasca,,,45,,,9.52,,,5th Phase,,
CSebasGomez,,,Bogota-Hack-2-2017,,,CSebasGomez,,,0,,,0,,,5th Phase,,
tres-iqus,,,Bogota-Hack-2-2017,,,tres-iqus,,,0,,,0,,,5th Phase,,
jhcardenasa,,,Bogota-Hack-2-2017,,,jhcardenasa,,,0,,,0,,,5th Phase,,
