Student,,,Total Score,,
oeroaq,,,357.5,,
jonatan360,,,352.5,,
jesusfchavarro,,,345,,
daandradec,,,336.67,,
djguzmanc,,,334.17,,
jsviveroj,,,331.67,,
dsbarrerag,,,330,,
miaborjaac,,,323.33,,
diegoaguevarar,,,317.5,,
ivdgonzalezco,,,312.5,,
jiapulidoar,,,310,,
gcantem,,,283.33,,
jufcontrerasco,,,264.17,,
jcrubioa,,,246.25,,
fevargasmo,,,240,,
aldiazve,,,236.67,,
falperezgo,,,228.33,,
anfmorenoso,,,217.5,,
jsnarvaezb,,,211.67,,
bdcajicam,,,206.67,,
stevenbustos,,,198.33,,
wolfstain,,,197.08,,
nabautistal,,,195,,
gasierram,,,190,,
Semoralesga,,,165.83,,
joahernandezca,,,161.67,,
Christian7sr,,,124.17,,
jmhurtadoc,,,120.83,,
adamantwharf,,,107.5,,
dfhincapiem,,,107.5,,
dasalgadob,,,100,,
gfalbarracinr,,,100,,
helmeraac,,,87.5,,
crigar,,,82.5,,
JairVillalba,,,75,,
maikellPardo,,,62.5,,
gsuarezc04,,,50,,
andfsanchezlem,,,45,,
ItsNavi,,,0,,
Zeugmax,,,0,,
kastellanos,,,0,,
