,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,tech-phase5,total-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1
0,gasierram,1,40,62.5,25,62.5,190.0,62.5,40,58.33,0,160.83,62.5,20,50,0,132.5,62.5,20,33.33,25,140.83,62.5,20,50,62.5,195.0
1,adamantwharf,1,20,25,0,62.5,107.5,50,20,25,0,95.0,50,20,25,0,95.0,50,20,25,0,95.0,37.5,20,25,0,82.5
2,bdcajicam,1,40,29.17,62.5,75,206.67,62.5,20,29.17,62.5,174.17,50,20,25,62.5,157.5,50,20,25,0,95.0,25,0,0,0,25.0
3,andfsanchezlem,1,20,25,0,0,45.0,0,20,25,0,45.0,0,20,25,0,45.0,12.5,20,25,0,57.5,25,20,25,0,70.0
4,dfhincapiem,1,20,25,25,37.5,107.5,37.5,20,50,0,107.5,37.5,20,50,0,107.5,50,20,58.33,0,128.33,0,,,,0.0
5,helmeraac,1,0,25,0,62.5,87.5,37.5,20,29.17,0,86.67,25,0,29.17,0,54.17,37.5,0,25,87.5,150.0,25,20,25,0,70.0
6,dasalgadob,1,0,25,25,50,100.0,50,100,75,0,225.0,50,0,0,0,50.0,50,0,25,0,75.0,50,0,25,25,100.0
7,falperezgo,1,20,45.83,62.5,100,228.33,100,40,62.5,75,277.5,100,80,58.33,100,338.33,100,80,62.5,87.5,330.0,75,40,66.67,75,256.67
8,djguzmanc,1,80,79.17,100,75,334.17,62.5,60,79.17,90.63,292.29,62.5,80,62.5,100,305.0,62.5,60,62.5,81.25,266.25,62.5,60,70.83,87.5,280.83
9,gsuarezc04,1,0,25,0,25,50.0,25,0,25,0,50.0,25,0,25,0,50.0,37.5,0,20.83,75,133.33,0,,,,0.0
10,oeroaq,1,100,87.5,82.5,87.5,357.5,75,100,79.17,95.83,350.0,75,100,58.33,87.5,320.83,75,80,58.33,75,288.33,37.5,60,58.33,75,230.83
11,gcantem,1,100,70.83,87.5,25,283.33,100,60,29.17,75,264.17,62.5,60,29.17,75,226.67,62.5,60,41.67,87.5,251.67,62.5,100,79.17,87.5,329.17
12,Semoralesga,1,20,33.33,62.5,50,165.83,62.5,20,33.33,62.5,178.33,62.5,20,33.33,62.5,178.33,75,20,33.33,62.5,190.83,12.5,20,33.33,0,65.83
13,jonatan360,1,100,75,77.5,100,352.5,100,60,83.33,100,343.33,100,60,79.17,93.75,332.92,87.5,40,37.5,62.5,227.5,100,60,70.83,55,285.83
14,jesusfchavarro,1,100,62.5,82.5,100,345.0,75,100,70.83,87.5,333.33,75,100,70.83,100,345.83,75,60,66.67,87.5,289.17,100,40,33.33,75,248.33
15,stevenbustos,1,20,33.33,70,75,198.33,62.5,20,33.33,0,115.83,50,20,33.33,0,103.33,50,20,33.33,0,103.33,12.5,20,37.5,62.5,132.5
16,jufcontrerasco,1,60,79.17,50,75,264.17,75,20,41.67,25,161.67,50,20,33.33,25,128.33,50,0,33.33,25,108.33,0,0,29.17,62.5,91.67
17,dsbarrerag,1,80,70.83,91.67,87.5,330.0,87.5,60,62.5,75,285.0,75,100,62.5,87.5,325.0,75,100,70.83,87.5,333.33,50,80,70.83,25,225.83
18,wolfstain,1,20,33.33,56.25,87.5,197.08,87.5,20,33.33,62.5,203.33,87.5,20,25,62.5,195.0,75,20,33.33,62.5,190.83,25,20,29.17,0,74.17
19,miaborjaac,1,80,70.83,85,87.5,323.33,75,80,66.67,80,301.67,75,80,58.33,87.5,300.83,62.5,20,33.33,0,115.83,62.5,20,37.5,0,120.0
20,ivdgonzalezco,1,100,50,87.5,75,312.5,75,40,50,0,165.0,75,20,29.17,0,124.17,75,20,33.33,0,128.33,0,,,,0.0
21,maikellPardo,1,0,37.5,25,0,62.5,25,0,25,25,75.0,0,0,33.33,25,58.33,12.5,0,25,25,62.5,37.5,0,25,25,87.5
22,Christian7sr,1,20,29.17,0,75,124.17,75,20,29.17,0,124.17,75,20,29.17,0,124.17,62.5,20,29.17,0,111.67,25,20,29.17,0,74.17
23,jsnarvaezb,1,20,54.17,50,87.5,211.67,75,40,54.17,75,244.17,62.5,20,58.33,87.5,228.33,62.5,20,50,75,207.5,50,20,41.67,62.5,174.17
24,gfalbarracinr,1,0,25,0,75,100.0,50,,,,50.0,50,0,25,0,75.0,37.5,0,25,0,62.5,12.5,0,25,25,62.5
25,aldiazve,1,20,54.17,75,87.5,236.67,87.5,60,54.17,58.33,260.0,75,40,45.83,68.75,229.58,75,40,45.83,50,210.83,37.5,20,25,37.5,120.0
26,diegoaguevarar,1,80,62.5,87.5,87.5,317.5,75,100,75,62.5,312.5,75,100,62.5,87.5,325.0,75,40,54.17,50,219.17,50,0,25,12.5,87.5
27,fevargasmo,1,40,50,75,75,240.0,75,40,58.33,75,248.33,75,80,58.33,100,313.33,75,0,29.17,25,129.17,50,40,75,0,165.0
28,jmhurtadoc,1,0,33.33,25,62.5,120.83,62.5,0,29.17,25,116.67,62.5,0,33.33,25,120.83,62.5,0,25,0,87.5,100,0,25,37.5,162.5
29,anfmorenoso,1,40,37.5,52.5,87.5,217.5,75,20,33.33,50,178.33,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,0,20,37.5,40,97.5
30,nabautistal,1,20,50,62.5,62.5,195.0,37.5,20,33.33,0,90.83,37.5,20,29.17,0,86.67,50,20,29.17,0,99.17,12.5,20,25,0,57.5
31,crigar,1,20,25,0,37.5,82.5,62.5,20,25,0,107.5,37.5,20,25,0,82.5,50,20,25,0,95.0,25,20,25,0,70.0
32,jiapulidoar,1,60,83.33,66.67,100,310.0,100,40,62.5,75,277.5,100,40,66.67,75,281.67,100,40,41.67,75,256.67,87.5,40,50,41.67,219.17
33,jsviveroj,1,80,79.17,72.5,100,331.67,87.5,60,58.33,75,280.83,87.5,60,58.33,87.5,293.33,75,20,33.33,25,153.33,50,20,33.33,0,103.33
34,daandradec,1,100,66.67,95,75,336.67,75,100,75,68.75,318.75,100,20,58.33,62.5,240.83,87.5,80,58.33,87.5,313.33,50,0,25,62.5,137.5
35,jcrubioa,1,40,50,81.25,75,246.25,75,20,45.83,75,215.83,75,20,29.17,81.25,205.42,75,0,25,87.5,187.5,75,20,41.67,0,136.67
36,joahernandezca,1,20,54.17,25,62.5,161.67,50,20,37.5,25,132.5,50,0,33.33,25,108.33,50,0,25,0,75.0,50,0,37.5,62.5,150.0
37,ItsNavi,1,0,0,0,0,0.0,0,,,,0.0,0,,,,0.0,12.5,,,,12.5,0,,,,0.0
38,Zeugmax,1,0,0,0,0,0.0,0,,,,0.0,0,,,,0.0,12.5,,,,12.5,0,0,0,0,0.0
39,kastellanos,1,0,0,0,0,0.0,0,,,,0.0,0,,,,0.0,0,,,,0.0,0,,,,0.0
40,JairVillalba,1,0,0,0,75,75.0,62.5,,,,62.5,62.5,,,,62.5,62.5,,,,62.5,62.5,,,,62.5
