,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13
0,6.0,4.0,5.0,1.0,2.0,5.0,6.0,4.0,5.0,3.0,1.0,4.0,6.0
1,1.0,3.0,5.0,2.0,2.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,4.0
2,4.0,6.0,4.0,3.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,2.0,6.0
3,4.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,2.0,1.0
4,3.0,5.0,4.0,4.0,2.0,5.0,4.0,0.0,2.0,5.0,4.0,5.0,4.0
5,5.0,6.0,6.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,6.0
6,1.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0
9,3.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0
10,3.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0
11,2.0,5.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0
12,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,0.0,3.0,4.0
13,3.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,0.0,4.0
14,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0
15,4.0,3.0,6.0,4.0,6.0,3.0,6.0,6.0,6.0,6.0,3.0,5.0,2.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,6.0
