,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5
0,1.0,1.0,1.0,6.0,1.0
1,2.0,3.0,2.0,3.0,4.0
2,5.0,5.0,5.0,5.0,5.0
3,5.0,5.0,5.0,5.0,5.0
4,3.0,3.0,3.0,3.0,3.0
5,6.0,4.0,6.0,2.0,6.0
6,2.0,5.0,5.0,3.0,4.0
7,0.0,0.0,0.0,0.0,0.0
8,4.0,5.0,4.0,5.0,4.0
9,3.0,3.0,2.0,4.0,3.0
10,3.0,4.0,4.0,4.0,5.0
11,3.0,6.0,5.0,3.0,4.0
12,4.0,4.0,4.0,3.0,4.0
13,5.0,3.0,5.0,5.0,6.0
14,3.0,5.0,2.0,4.0,6.0
15,6.0,4.0,6.0,4.0,5.0
16,6.0,6.0,6.0,6.0,6.0
17,1.0,2.0,1.0,3.0,1.0
18,5.0,5.0,6.0,5.0,6.0
19,0.0,0.0,0.0,0.0,0.0
20,4.0,3.0,5.0,5.0,4.0
21,4.0,4.0,4.0,3.0,5.0
22,4.0,3.0,5.0,5.0,5.0
23,6.0,5.0,6.0,5.0,6.0
24,5.0,5.0,5.0,6.0,5.0
25,5.0,3.0,5.0,4.0,6.0
26,5.0,4.0,5.0,3.0,5.0
27,4.0,4.0,4.0,4.0,4.0
28,0.0,0.0,0.0,0.0,0.0
29,3.0,1.0,4.0,4.0,4.0
30,1.0,1.0,6.0,3.0,5.0
31,6.0,6.0,6.0,6.0,6.0
32,5.0,4.0,5.0,5.0,6.0
33,6.0,3.0,5.0,6.0,4.0
34,3.0,5.0,1.0,5.0,3.0
35,4.0,5.0,4.0,3.0,5.0
36,1.0,3.0,3.0,0.0,4.0
37,6.0,5.0,6.0,5.0,6.0
38,5.0,5.0,5.0,5.0,5.0
39,6.0,4.0,5.0,5.0,6.0
40,0.0,0.0,0.0,0.0,0.0
41,3.0,2.0,5.0,5.0,4.0
42,3.0,3.0,4.0,3.0,4.0
43,6.0,5.0,6.0,6.0,6.0
44,6.0,2.0,5.0,4.0,5.0
45,5.0,4.0,5.0,5.0,5.0
46,4.0,5.0,4.0,4.0,5.0
47,1.0,2.0,2.0,3.0,2.0
48,6.0,6.0,6.0,6.0,6.0
49,5.0,5.0,5.0,4.0,6.0
50,4.0,4.0,4.0,4.0,4.0
51,3.0,5.0,3.0,4.0,3.0
52,4.0,4.0,4.0,5.0,6.0
53,4.0,4.0,5.0,4.0,5.0
54,5.0,5.0,5.0,5.0,5.0
55,3.0,5.0,5.0,1.0,5.0
56,5.0,3.0,5.0,5.0,5.0
57,5.0,2.0,2.0,5.0,5.0
58,3.0,3.0,3.0,3.0,4.0
59,3.0,4.0,2.0,1.0,3.0
60,5.0,5.0,5.0,5.0,5.0
61,4.0,4.0,4.0,4.0,4.0
62,3.0,3.0,3.0,3.0,3.0
63,2.0,1.0,2.0,2.0,1.0
64,2.0,3.0,4.0,5.0,5.0
65,3.0,5.0,4.0,0.0,6.0
66,5.0,5.0,5.0,4.0,6.0
67,3.0,3.0,4.0,3.0,4.0
68,6.0,6.0,6.0,6.0,6.0
69,4.0,2.0,4.0,3.0,4.0
70,4.0,4.0,4.0,4.0,4.0
71,6.0,6.0,6.0,4.0,4.0
72,5.0,4.0,5.0,5.0,5.0
73,4.0,4.0,5.0,4.0,3.0
74,5.0,3.0,3.0,3.0,3.0
75,2.0,3.0,2.0,3.0,4.0
76,3.0,5.0,4.0,4.0,5.0
77,3.0,4.0,2.0,4.0,3.0
78,2.0,4.0,5.0,1.0,2.0
79,5.0,1.0,4.0,3.0,6.0
80,3.0,4.0,3.0,4.0,4.0
81,0.0,0.0,0.0,0.0,0.0
82,4.0,4.0,3.0,4.0,4.0
83,4.0,5.0,4.0,5.0,3.0
84,6.0,4.0,6.0,5.0,6.0
85,4.0,3.0,3.0,3.0,4.0
86,6.0,5.0,6.0,4.0,6.0
87,4.0,5.0,5.0,4.0,4.0
88,3.0,3.0,4.0,4.0,3.0
89,3.0,3.0,3.0,3.0,3.0
90,5.0,4.0,6.0,5.0,5.0
91,2.0,4.0,2.0,1.0,5.0
92,4.0,5.0,5.0,3.0,4.0
93,5.0,4.0,5.0,3.0,4.0
94,5.0,4.0,5.0,4.0,5.0
