,excellent_programmer,introduce_ideas,get_in_touch,known_creativity,improve_skills,test_capability,enjoy_problems,keep_up,dissatisfaction,hack_id
2,2,2,2,2,6,5,3,6,4,1
6,2,2,2,4,5,5,4,5,1,1
10,4,1,4,4,4,3,3,2,0,1
14,4,4,4,5,4,5,4,4,5,1
18,5,1,3,3,6,6,5,6,5,1
22,4,3,4,5,5,6,4,5,2,1
26,4,1,3,6,5,3,3,6,5,1
30,5,4,5,5,6,5,5,5,5,1
32,5,4,4,5,6,4,5,5,5,1
33,5,4,4,5,5,5,5,3,6,1
37,6,4,6,5,6,6,6,6,2,1
39,0,0,0,0,5,2,0,5,4,1
42,3,3,3,4,4,4,4,4,3,1
46,5,4,4,4,6,6,5,5,4,1
50,6,6,6,6,5,4,5,6,5,1
55,3,4,2,3,4,4,4,3,4,1
59,1,0,2,3,6,4,5,4,2,1
63,4,1,2,3,6,3,4,3,1,1
67,3,2,2,3,2,4,2,3,2,1
71,5,3,5,5,6,6,6,6,3,1
75,5,3,6,5,5,5,5,5,2,1
79,1,2,5,5,6,5,4,5,3,1
83,6,4,5,5,6,6,5,5,5,1
87,4,3,5,3,6,4,5,5,3,1
91,6,6,6,6,3,6,6,6,4,1
95,4,5,5,4,5,5,5,5,5,1
99,4,3,3,5,4,4,5,6,1,1
103,5,0,3,5,6,5,4,5,3,1
107,2,2,2,2,3,4,3,2,2,1
111,3,3,3,4,6,4,4,5,3,1
115,6,6,6,4,6,5,6,5,5,1
119,5,5,5,5,5,5,5,6,5,1
126,4,3,3,4,5,3,4,4,3,1
130,4,5,3,4,5,4,4,5,5,1
134,6,6,6,6,6,6,6,6,6,1
138,0,0,0,0,0,0,0,0,0,1
142,6,1,6,3,6,5,3,5,6,1
146,4,5,5,4,6,6,6,5,5,1
150,3,3,3,3,3,3,3,3,3,1
154,4,4,4,4,4,4,4,4,4,1
158,3,3,3,3,3,3,3,3,3,1
162,0,4,6,0,6,6,6,6,4,1
