,clicker_username,Student,Number of Clicks,Unnamed: 0,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum
0,Christian7sr,ItsNavi,1,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,0.0,-12.5,0.0,12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
1,Christian7sr,JairVillalba,1,79,1.0,0.0,0.0,0.0,75.0,75.0,62.5,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,12.5,9.0,111.0,4.0,21.0,114.0,7.0,18.0,48.0,3.0,27.0,75.0,5.0,9.0,111.0,4.0,0.0,0.0,0.0,63.0
2,Christian7sr,Semoralesga,1,51,1.0,20.0,33.33,62.5,165.83,50.0,62.5,20.0,33.33,62.5,178.33,62.5,20.0,33.33,62.5,178.33,75.0,20.0,33.33,62.5,190.83,12.5,20.0,33.33,0.0,65.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,62.5,-12.5,0.0,-12.5,-25.0,37.5,125.0,-12.5,0.0,-12.5,100.0,-25.0,0.0,0.0,62.5,37.5,0.0,0.0,0.0,8.0,66.0,2.0,0.0,0.0,0.0,12.0,57.0,5.0,0.0,0.0,0.0,12.0,57.0,5.0,12.0
3,Christian7sr,Zeugmax,1,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,0.0,-12.5,0.0,12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Christian7sr,adamantwharf,1,40,1.0,20.0,25.0,0.0,107.5,62.5,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,37.5,20.0,25.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,12.5,25.0,12.5,0.0,0.0,12.5,25.0,12.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,121.0,2.0,0.0
5,Christian7sr,aldiazve,1,64,1.0,20.0,54.17,75.0,236.67,87.5,87.5,60.0,54.17,58.33,260.0,75.0,40.0,45.83,68.75,229.58,75.0,40.0,45.83,50.0,210.83,37.5,20.0,25.0,37.5,120.0,20.0,0.0,20.0,-40.0,0.0,-20.0,20.83,0.0,8.340000000000003,0.0,29.17,8.340000000000003,12.5,18.75,-10.420000000000002,16.67,37.5,25.0,37.5,0.0,12.5,0.0,12.5,50.0,90.83,18.75,30.419999999999987,-23.330000000000013,116.67,25.83999999999997,0.0,29.17,37.5,50.0,14.0,83.0,3.0,10.0,229.0,6.0,0.0,0.0,0.0,1.0,29.0,2.0,14.0,83.0,3.0,4.0,49.0,2.0,29.0
6,Christian7sr,andfsanchezlem,1,42,1.0,20.0,25.0,0.0,45.0,0.0,0.0,20.0,25.0,0.0,45.0,0.0,20.0,25.0,0.0,45.0,12.5,20.0,25.0,0.0,57.5,25.0,20.0,25.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,-12.5,0.0,0.0,-12.5,-25.0,-12.5,-12.5,0.0,0.0,-25.0,-12.5,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,4.0,50.0,1.0,0.0,0.0,0.0,4.0,49.0,2.0,0.0,0.0,0.0,40.0,47.0,3.0,4.0
7,Christian7sr,anfmorenoso,1,68,1.0,40.0,37.5,52.5,217.5,87.5,75.0,20.0,33.33,50.0,178.33,62.5,20.0,33.33,0.0,115.83,62.5,20.0,33.33,0.0,115.83,0.0,20.0,37.5,40.0,97.5,0.0,0.0,0.0,20.0,20.0,20.0,-4.170000000000002,0.0,0.0,4.170000000000002,0.0,4.170000000000002,-40.0,0.0,50.0,2.5,12.5,52.5,62.5,0.0,12.5,12.5,25.0,87.5,18.33,0.0,62.500000000000014,39.16999999999999,120.0,101.67,20.0,0.0,12.5,87.5,32.0,25.0,2.0,2.0,27.0,6.0,0.0,0.0,0.0,11.0,25.0,3.0,32.0,25.0,2.0,55.0,162.0,12.0,75.0
8,Christian7sr,bdcajicam,1,41,1.0,40.0,29.17,62.5,206.67,75.0,62.5,20.0,29.17,62.5,174.17,50.0,20.0,25.0,62.5,157.5,50.0,20.0,25.0,0.0,95.0,25.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,20.0,40.0,20.0,25.0,0.0,4.170000000000002,0.0,29.17,4.170000000000002,0.0,62.5,0.0,0.0,62.5,62.5,25.0,0.0,12.5,12.5,25.0,50.0,70.0,62.5,16.669999999999987,32.5,181.67,111.67,40.0,29.17,62.5,50.0,0.0,0.0,0.0,39.0,26.0,4.0,39.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,3.0,39.0
9,Christian7sr,crigar,1,70,1.0,20.0,25.0,0.0,82.5,37.5,62.5,20.0,25.0,0.0,107.5,37.5,20.0,25.0,0.0,82.5,50.0,20.0,25.0,0.0,95.0,25.0,20.0,25.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.5,25.0,-25.0,-12.5,12.5,25.0,-12.5,25.0,-25.0,12.5,-12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
