variable,,df,sum_sq,mean_sq,F,PR(>F)
Q10,Group,1.0,3.797129977281786e-05,3.797129977281786e-05,4.709138206379997e-05,0.9945329468425201
Q10,Residual,166.0,133.8511525048907,0.8063322440053657,,
Q11,Group,1.0,13.253678659522018,13.253678659522018,1.2221164578425217,0.27054534120720886
Q11,Residual,166.0,1800.2463213404783,10.84485735747276,,
Q12,Group,1.0,5.981604044399074,5.981604044399074,1.344643984179274,0.24788184222360096
Q12,Residual,166.0,738.4454792889342,4.448466742704423,,
Q13,Group,1.0,107.1701964786933,107.1701964786933,1.1135497592925558,0.2928450184412314
Q13,Residual,166.0,15976.16313685464,96.24194660755808,,
Q14,Group,1.0,2.5392911821528483,2.5392911821528483,0.4708106041813444,0.4935717406636858
Q14,Residual,166.0,895.3118992940376,5.393445176470106,,
Q2_Q2_1,Group,1.0,4.704795927046472,4.704795927046472,1.6230178285712573,0.20445226446250536
Q2_Q2_1,Residual,166.0,481.19996597771535,2.8987949757693694,,
Q2_Q2_10,Group,1.0,0.5305061422374748,0.5305061422374748,0.24210089289890915,0.6233428971365431
Q2_Q2_10,Residual,166.0,363.7492557625244,2.191260576882677,,
Q2_Q2_11,Group,1.0,0.05894512691527018,0.05894512691527018,0.0212283486656386,0.8843353743829292
Q2_Q2_11,Residual,166.0,460.9351024921324,2.7767174848923637,,
Q2_Q2_12,Group,1.0,0.06508128895855143,0.06508128895855143,0.026815572475597738,0.8701235293085263
Q2_Q2_12,Residual,166.0,402.8813472824701,2.4269960679666873,,
Q2_Q2_13,Group,1.0,1.649114813059649,1.649114813059649,0.537329175561279,0.46457558115456643
Q2_Q2_13,Residual,166.0,509.4699328059879,3.0690959807589633,,
Q2_Q2_2,Group,1.0,5.775434695439789,5.775434695439789,2.1907173487585747,0.1407400149728951
Q2_Q2_2,Residual,166.0,437.6293272093221,2.6363212482489287,,
Q2_Q2_3,Group,1.0,0.3369436445157376,0.3369436445157376,0.116401637117756,0.7334019106093042
Q2_Q2_3,Residual,166.0,480.51424683167477,2.8946641375402096,,
