,Unnamed: 0,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1
0,0,fffeelipe,0,20,29.17,50.0,199.17,100.0,100.0,20.0,29.17,43.75,192.92,75.0,60.0,37.5,0.0,172.5,75.0,60.0,37.5,0.0,172.5,50.0,20.0,29.17,0.0,99.17
1,1,mnguzmanc,0,60,75.0,67.5,290.0,87.5,87.5,20.0,37.5,100.0,245.0,100.0,20.0,41.67,75.0,236.67,87.5,20.0,37.5,75.0,220.0,87.5,0.0,0.0,0.0,87.5
2,2,jmcuestasb,0,100,54.17,25.0,254.17,75.0,62.5,100.0,58.33,0.0,220.83,62.5,20.0,50.0,0.0,132.5,62.5,20.0,33.33,25.0,140.83,50.0,,,,50.0
3,3,katherinsb,0,20,37.5,16.67,136.67,62.5,37.5,20.0,45.83,25.0,128.33,0.0,,,,0.0,12.5,,,,12.5,0.0,0.0,0.0,0.0,0.0
4,4,jjrodriguezn,0,60,58.33,87.5,255.83,50.0,37.5,40.0,54.17,0.0,131.67,37.5,20.0,45.83,0.0,103.33,62.5,20.0,29.17,0.0,111.67,0.0,,,,0.0
5,5,DglyP,0,20,25.0,50.0,195.0,100.0,87.5,0.0,25.0,50.0,162.5,50.0,40.0,50.0,0.0,140.0,37.5,40.0,45.83,0.0,123.33,,,,,0.0
6,6,cap182,0,20,29.17,0.0,49.17,0.0,0.0,20.0,29.17,0.0,49.17,0.0,20.0,29.17,0.0,49.17,12.5,0.0,20.83,0.0,33.33,,40.0,33.33,75.0,148.33
7,7,annumumozme,0,40,37.5,60.0,237.5,100.0,75.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,37.5,20.0,45.83,0.0,103.33,37.5,,,,37.5
8,8,Judgarciani,0,100,58.33,66.67,325.0,100.0,75.0,80.0,87.5,0.0,242.5,62.5,80.0,79.17,0.0,221.67,37.5,20.0,29.17,0.0,86.67,,,,,0.0
9,9,sacastroc,0,20,50.0,68.75,226.25,87.5,87.5,20.0,50.0,62.5,220.0,100.0,20.0,33.33,62.5,215.83,87.5,20.0,33.33,62.5,203.33,50.0,0.0,25.0,0.0,75.0
10,10,pcberriop,0,20,37.5,62.5,195.0,75.0,50.0,20.0,33.33,62.5,165.83,50.0,20.0,33.33,62.5,165.83,50.0,20.0,33.33,62.5,165.83,12.5,40.0,25.0,0.0,77.5
11,11,hsmartineza,0,20,33.33,52.5,180.83,75.0,62.5,20.0,37.5,56.25,176.25,50.0,60.0,45.83,75.0,230.83,37.5,20.0,29.17,0.0,86.67,,,,,0.0
12,12,Moimolcp,0,100,62.5,66.67,304.17,75.0,62.5,0.0,33.33,25.0,120.83,62.5,20.0,62.5,25.0,170.0,62.5,0.0,33.33,25.0,120.83,25.0,0.0,0.0,0.0,25.0
13,13,CamiloRueda,0,0,29.17,0.0,54.17,25.0,25.0,20.0,25.0,0.0,70.0,25.0,0.0,25.0,0.0,50.0,37.5,0.0,25.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
14,14,juanescai,0,0,25.0,25.0,50.0,0.0,0.0,0.0,25.0,25.0,50.0,0.0,20.0,41.67,0.0,61.67,12.5,0.0,25.0,25.0,62.5,25.0,0.0,25.0,62.5,112.5
15,15,JoseMolano,0,60,66.67,75.0,276.67,75.0,87.5,0.0,58.33,70.83,216.67,87.5,60.0,41.67,100.0,289.17,87.5,0.0,33.33,25.0,145.83,87.5,20.0,50.0,37.5,195.0
16,16,maikellPardoA,0,0,37.5,25.0,87.5,25.0,25.0,,,,25.0,25.0,0.0,33.33,25.0,83.33,37.5,0.0,25.0,25.0,87.5,37.5,0.0,25.0,25.0,87.5
17,17,NicolasZon,0,0,25.0,25.0,87.5,37.5,37.5,0.0,25.0,25.0,87.5,37.5,0.0,25.0,25.0,87.5,50.0,0.0,25.0,25.0,100.0,12.5,0.0,0.0,0.0,12.5
18,18,camilo654,0,20,29.17,75.0,199.17,75.0,75.0,60.0,33.33,75.0,243.33,50.0,20.0,29.17,62.5,161.67,62.5,20.0,25.0,87.5,195.0,25.0,20.0,29.17,0.0,74.17
19,19,CristianLozano,0,20,33.33,0.0,90.83,37.5,37.5,60.0,50.0,0.0,147.5,37.5,20.0,29.17,0.0,86.67,50.0,20.0,33.33,0.0,103.33,50.0,20.0,29.17,0.0,99.17
20,20,jdsuarezj,0,60,50.0,87.5,272.5,75.0,75.0,60.0,66.67,75.0,276.67,75.0,60.0,58.33,100.0,293.33,75.0,0.0,25.0,25.0,125.0,62.5,0.0,25.0,75.0,162.5
21,21,pipemax85,0,20,33.33,0.0,115.83,62.5,50.0,20.0,33.33,0.0,103.33,50.0,20.0,33.33,0.0,103.33,50.0,20.0,33.33,0.0,103.33,50.0,20.0,25.0,0.0,95.0
22,22,juandavidro,0,20,58.33,25.0,153.33,50.0,37.5,20.0,54.17,0.0,111.67,37.5,80.0,58.33,0.0,175.83,50.0,20.0,33.33,25.0,128.33,87.5,80.0,58.33,75.0,300.83
23,23,UNhcrodriguezl,0,80,33.33,75.0,263.33,75.0,75.0,20.0,41.67,79.17,215.83,75.0,20.0,33.33,62.5,190.83,75.0,20.0,33.33,62.5,190.83,37.5,20.0,33.33,0.0,90.83
24,24,camilo13152,0,60,50.0,37.5,222.5,75.0,62.5,60.0,45.83,75.0,243.33,50.0,60.0,33.33,75.0,218.33,50.0,20.0,33.33,0.0,103.33,0.0,0.0,29.17,0.0,29.17
25,25,leavendanoro,0,40,66.67,25.0,206.67,75.0,75.0,0.0,25.0,25.0,125.0,62.5,0.0,25.0,25.0,112.5,62.5,0.0,25.0,25.0,112.5,37.5,0.0,0.0,0.0,37.5
26,26,cdcordobaa,0,20,33.33,62.5,190.83,75.0,75.0,20.0,33.33,62.5,190.83,75.0,20.0,33.33,62.5,190.83,75.0,20.0,33.33,62.5,190.83,37.5,20.0,33.33,0.0,90.83
27,27,capinillab,0,60,54.17,75.0,264.17,75.0,62.5,60.0,54.17,75.0,251.67,62.5,60.0,41.67,62.5,226.67,62.5,60.0,37.5,87.5,247.5,62.5,20.0,33.33,0.0,115.83
28,28,Januguerab,0,20,29.17,0.0,111.67,62.5,50.0,20.0,29.17,0.0,99.17,50.0,20.0,29.17,0.0,99.17,37.5,20.0,29.17,0.0,86.67,,,,,0.0
29,29,lfvalderrama,0,80,66.67,106.25,352.92,100.0,87.5,20.0,50.0,50.0,207.5,87.5,40.0,54.17,68.75,250.42,75.0,0.0,41.67,25.0,141.67,75.0,0.0,0.0,0.0,75.0
30,30,bsgarciac,0,100,70.83,75.0,320.83,100.0,75.0,80.0,70.83,87.5,313.33,75.0,60.0,50.0,87.5,272.5,62.5,40.0,41.67,87.5,231.67,50.0,20.0,37.5,0.0,107.5
31,31,gabi04,0,20,29.17,58.33,157.5,50.0,25.0,20.0,29.17,0.0,74.17,25.0,20.0,29.17,0.0,74.17,37.5,0.0,25.0,0.0,62.5,,,,,0.0
32,32,annipi,0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,0.0,,,,0.0
33,33,jdsolanos,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,62.5,,,,62.5
34,34,jcneivaa,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,0.0,,,,0.0
35,35,fmbernalb,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,0.0,,,,0.0
36,36,MogGy94,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,12.5,0.0,0.0,0.0,12.5
37,37,yocuervoc,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,0.0,0.0,0.0,0.0,0.0
38,38,odprietoh,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,0.0,25.0,25.0,62.5,0.0,0.0,25.0,0.0,25.0
0,0,gasierram,1,40,62.5,25.0,190.0,62.5,62.5,40.0,58.33,0.0,160.83,62.5,20.0,50.0,0.0,132.5,62.5,20.0,33.33,25.0,140.83,62.5,20.0,50.0,62.5,195.0
1,1,adamantwharf,1,20,25.0,0.0,107.5,62.5,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,37.5,20.0,25.0,0.0,82.5
2,2,bdcajicam,1,40,29.17,62.5,206.67,75.0,62.5,20.0,29.17,62.5,174.17,50.0,20.0,25.0,62.5,157.5,50.0,20.0,25.0,0.0,95.0,25.0,0.0,0.0,0.0,25.0
3,3,andfsanchezlem,1,20,25.0,0.0,45.0,0.0,0.0,20.0,25.0,0.0,45.0,0.0,20.0,25.0,0.0,45.0,12.5,20.0,25.0,0.0,57.5,25.0,20.0,25.0,0.0,70.0
4,4,dfhincapiem,1,20,25.0,25.0,107.5,37.5,37.5,20.0,50.0,0.0,107.5,37.5,20.0,50.0,0.0,107.5,50.0,20.0,58.33,0.0,128.33,0.0,,,,0.0
5,5,helmeraac,1,0,25.0,0.0,87.5,62.5,37.5,20.0,29.17,0.0,86.67,25.0,0.0,29.17,0.0,54.17,37.5,0.0,25.0,87.5,150.0,25.0,20.0,25.0,0.0,70.0
6,6,dasalgadob,1,0,25.0,25.0,100.0,50.0,50.0,100.0,75.0,0.0,225.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,25.0,0.0,75.0,50.0,0.0,25.0,25.0,100.0
7,7,falperezgo,1,20,45.83,62.5,228.33,100.0,100.0,40.0,62.5,75.0,277.5,100.0,80.0,58.33,100.0,338.33,100.0,80.0,62.5,87.5,330.0,75.0,40.0,66.67,75.0,256.67
8,8,djguzmanc,1,80,79.17,100.0,334.17,75.0,62.5,60.0,79.17,90.63,292.29,62.5,80.0,62.5,100.0,305.0,62.5,60.0,62.5,81.25,266.25,62.5,60.0,70.83,87.5,280.83
9,9,gsuarezc04,1,0,25.0,0.0,50.0,25.0,25.0,0.0,25.0,0.0,50.0,25.0,0.0,25.0,0.0,50.0,37.5,0.0,20.83,75.0,133.33,0.0,,,,0.0
10,10,oeroaq,1,100,87.5,82.5,357.5,87.5,75.0,100.0,79.17,95.83,350.0,75.0,100.0,58.33,87.5,320.83,75.0,80.0,58.33,75.0,288.33,37.5,60.0,58.33,75.0,230.83
11,11,gcantem,1,100,70.83,87.5,283.33,25.0,100.0,60.0,29.17,75.0,264.17,62.5,60.0,29.17,75.0,226.67,62.5,60.0,41.67,87.5,251.67,62.5,100.0,79.17,87.5,329.17
12,12,Semoralesga,1,20,33.33,62.5,165.83,50.0,62.5,20.0,33.33,62.5,178.33,62.5,20.0,33.33,62.5,178.33,75.0,20.0,33.33,62.5,190.83,12.5,20.0,33.33,0.0,65.83
13,13,jonatan360,1,100,75.0,77.5,352.5,100.0,100.0,60.0,83.33,100.0,343.33,100.0,60.0,79.17,93.75,332.92,87.5,40.0,37.5,62.5,227.5,100.0,60.0,70.83,55.0,285.83
14,14,jesusfchavarro,1,100,62.5,82.5,345.0,100.0,75.0,100.0,70.83,87.5,333.33,75.0,100.0,70.83,100.0,345.83,75.0,60.0,66.67,87.5,289.17,100.0,40.0,33.33,75.0,248.33
15,15,stevenbustos,1,20,33.33,70.0,198.33,75.0,62.5,20.0,33.33,0.0,115.83,50.0,20.0,33.33,0.0,103.33,50.0,20.0,33.33,0.0,103.33,12.5,20.0,37.5,62.5,132.5
16,16,jufcontrerasco,1,60,79.17,50.0,264.17,75.0,75.0,20.0,41.67,25.0,161.67,50.0,20.0,33.33,25.0,128.33,50.0,0.0,33.33,25.0,108.33,0.0,0.0,29.17,62.5,91.67
17,17,dsbarrerag,1,80,70.83,91.67,330.0,87.5,87.5,60.0,62.5,75.0,285.0,75.0,100.0,62.5,87.5,325.0,75.0,100.0,70.83,87.5,333.33,50.0,80.0,70.83,25.0,225.83
18,18,wolfstain,1,20,33.33,56.25,197.08,87.5,87.5,20.0,33.33,62.5,203.33,87.5,20.0,25.0,62.5,195.0,75.0,20.0,33.33,62.5,190.83,25.0,20.0,29.17,0.0,74.17
19,19,miaborjaac,1,80,70.83,85.0,323.33,87.5,75.0,80.0,66.67,80.0,301.67,75.0,80.0,58.33,87.5,300.83,62.5,20.0,33.33,0.0,115.83,62.5,20.0,37.5,0.0,120.0
20,20,ivdgonzalezco,1,100,50.0,87.5,312.5,75.0,75.0,40.0,50.0,0.0,165.0,75.0,20.0,29.17,0.0,124.17,75.0,20.0,33.33,0.0,128.33,0.0,,,,0.0
21,21,maikellPardo,1,0,37.5,25.0,62.5,0.0,25.0,0.0,25.0,25.0,75.0,0.0,0.0,33.33,25.0,58.33,12.5,0.0,25.0,25.0,62.5,37.5,0.0,25.0,25.0,87.5
22,22,Christian7sr,1,20,29.17,0.0,124.17,75.0,75.0,20.0,29.17,0.0,124.17,75.0,20.0,29.17,0.0,124.17,62.5,20.0,29.17,0.0,111.67,25.0,20.0,29.17,0.0,74.17
23,23,jsnarvaezb,1,20,54.17,50.0,211.67,87.5,75.0,40.0,54.17,75.0,244.17,62.5,20.0,58.33,87.5,228.33,62.5,20.0,50.0,75.0,207.5,50.0,20.0,41.67,62.5,174.17
24,24,gfalbarracinr,1,0,25.0,0.0,100.0,75.0,50.0,,,,50.0,50.0,0.0,25.0,0.0,75.0,37.5,0.0,25.0,0.0,62.5,12.5,0.0,25.0,25.0,62.5
25,25,aldiazve,1,20,54.17,75.0,236.67,87.5,87.5,60.0,54.17,58.33,260.0,75.0,40.0,45.83,68.75,229.58,75.0,40.0,45.83,50.0,210.83,37.5,20.0,25.0,37.5,120.0
26,26,diegoaguevarar,1,80,62.5,87.5,317.5,87.5,75.0,100.0,75.0,62.5,312.5,75.0,100.0,62.5,87.5,325.0,75.0,40.0,54.17,50.0,219.17,50.0,0.0,25.0,12.5,87.5
27,27,fevargasmo,1,40,50.0,75.0,240.0,75.0,75.0,40.0,58.33,75.0,248.33,75.0,80.0,58.33,100.0,313.33,75.0,0.0,29.17,25.0,129.17,50.0,40.0,75.0,0.0,165.0
28,28,jmhurtadoc,1,0,33.33,25.0,120.83,62.5,62.5,0.0,29.17,25.0,116.67,62.5,0.0,33.33,25.0,120.83,62.5,0.0,25.0,0.0,87.5,100.0,0.0,25.0,37.5,162.5
29,29,anfmorenoso,1,40,37.5,52.5,217.5,87.5,75.0,20.0,33.33,50.0,178.33,62.5,20.0,33.33,0.0,115.83,62.5,20.0,33.33,0.0,115.83,0.0,20.0,37.5,40.0,97.5
30,30,nabautistal,1,20,50.0,62.5,195.0,62.5,37.5,20.0,33.33,0.0,90.83,37.5,20.0,29.17,0.0,86.67,50.0,20.0,29.17,0.0,99.17,12.5,20.0,25.0,0.0,57.5
31,31,crigar,1,20,25.0,0.0,82.5,37.5,62.5,20.0,25.0,0.0,107.5,37.5,20.0,25.0,0.0,82.5,50.0,20.0,25.0,0.0,95.0,25.0,20.0,25.0,0.0,70.0
