Student,add-loc-25,delete-loc-25,change-files-25
annipi,39,26,4
bsgarciac,47,74,6
camilo654,28,50,3
camilo13152,0,0,0
CamiloRueda,0,0,0
cap182,82,167,4
capinillab,7,59,4
cdcordobaa,19,54,2
CristianLozano,0,0,0
DglyP,0,0,0
fffeelipe,0,0,0
fmbernalb,0,0,2
gabi04,25,97,2
hsmartineza,11,9,1
janoguerab,0,0,0
jcneivaa,0,0,0
jdsolanos,74,116,10
jdsuarezj,328,253,4
jjrodriguezn,59,49,5
jmcuestasb,5,34,1
JoseMolano,27,4,5
juandavidro,314,62,2
juanescai,0,0,3
Judgarciani,13,24,3
katherinsb,0,0,6
leavendanoro,52,27,3
lfvalderrama,5,7,6
maikellPardoA,0,0,1
mnguzmanc,51,144,2
MogGy94,0,0,0
Moimolcp,41,105,2
NicolasZon,0,0,0
odprietoh,0,0,0
pcberriop,1,1,2
pipemax85,0,0,0
sacastroc,3,5,7
UNhcrodriguezl,0,0,2
yocuervoc,0,0,0
adamantwharf,104,121,2
aldiazve,4,49,2
andfsanchezlem,40,47,3
anfmorenoso,55,162,12
bdcajicam,25,50,3
Christian7sr,0,0,0
crigar,0,0,0
daandradec,36,132,12
dasalgadob,393,700,5
dfhincapiem,25,87,10
diegoaguevarar,45,93,2
djguzmanc,0,0,0
dsbarrerag,84,105,5
falperezgo,0,0,0
fevargasmo,86,245,17
gasierram,6,23,5
gcantem,36,30,7
gfalbarracinr,0,0,0
gsuarezc04,18,23,2
helmeraac,54,127,6
ItsNavi,1,3,1
ivdgonzalezco,39,219,7
JairVillalba,0,0,0
jcrubioa,0,0,4
jesusfchavarro,0,0,0
jiapulidoar,0,0,2017
jmhurtadoc,0,0,0
joahernandezca,0,0,1
jonatan360,89,182,2
jsnarvaezb,8,61,2
jsviveroj,15,120,2
jufcontrerasco,53,117,3
maikellPardo,0,0,0
miaborjaac,26,32,3
nabautistal,0,0,7
oeroaq,96,258,3
Semoralesga,12,57,5
stevenbustos,113,73,4
wolfstain,95,459,7
Zeugmax,0,0,0
bdvegat,3,4,2
begarzonf,0,0,8
ccvacad,1,1,1
cesarochoa2006,0,0,0
crarojasca,0,0,0
CSebasGomez,61,68,2
Dandarprox,0,0,0
davidrh195,2,26,2
Davsatu313,7,7,3
debeltranc,0,0,0
diegocruz10,106,938,3
fabianr23,141,96,6
Gantiva,5,57,2
HashNick,7,10,2
idrojasf,0,0,0
jhcardenasa,0,0,0
jhonsd1996,6,32,8
jhriverasa,24,93,2
jjmuesesq,0,0,10
jscontrerasp,51,46,4
JuanitoAli,181,147,8
juasmartinezbel,1,13,1
jucjimenezmo,0,0,0
JulianaNino,63,122,3
jusherrerama,0,0,0
kancas,0,0,0
kmendezp96,101,144,2
leguzman,86,749,7
ligibrial,2,9,6
lsfinite,16,37,3
luealfonsoru,2,13,1
luegilca,0,0,0
mdbelloc,0,0,0
oserasoa,9,27,2
Phoenixest,0,0,0
raulramirezp,22,37,3
sagilm,25,120,5
tres-iqus,0,0,0
xdanielsb,12,97,5
Yelis3,81,236,8
ykchautai,17,140,3
adriel62,67,41,3
afceballosr,0,0,0
AFelipeGA,0,0,0
afforeroc,14,111,3
capinzor,16,15,2
cccristanchoc,2,38,5
Chranium,5,5,1
dagofonseca,11,16,1
Danielsv9207,0,0,0
davidh17,55,54,3
DavidQP,28,44,2
dduartec,21,23,2
DianaNavarrete,0,0,9
feartheGru,6,234,2
jdmonroyg,0,0,0
JhonEmmanuelTorres,0,0,0
jmalvarezd,16,34,3
jorge52an,18,88,1
jscastelblancoh,57,238,2
juclopezso,25,300,1
juligarji,162,290,4
jumcorredorro,29,35,1
kgbayala528,8,88,2
lacardenasv,30,108,5
lemartinp,26,248,4
lgmoralesa,88,89,2
lizzyt10h,17,18,6
macuestap,9,13,2
mballeng91,4,3,4
ncampuzano,191,263,15
nfmorenog,5,6,2
NicolasPrr,41,49,5
oacastillol,3,79,3
ofnanezn,14,6,2
ronaldsg20,27,70,8
sarizag,19,55,3
smarquezo,94,608,1
spenas,0,0,0
srmedinac,3,3,1
wapiravaguens,21,33,2
wilson911013,0,0,2
