,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,improve-tech-15,improve-ur-15,improve-vis-15,improve-novel-15,improve-total-15,improve-tech-45,improve-ur-45,improve-vis-45,improve-novel-45,improve-total-45
0,6.0,4.0,5.0,1.0,2.0,5.0,6.0,4.0,5.0,3.0,1.0,4.0,6.0,1.0,5.0,2.0,6.0,4.0,1.0,1.0,1.0,6.0,1.0,4.0,2.0,0.0,5.0,6.0,1.0,0.0,0.0,3.0,5.0,5.0,3.0,50.0,0.0,0.0,50.0,99.99999999999999,0.0,0.0,0.0,6.25,6.25
1,1.0,3.0,5.0,2.0,2.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,6.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,60.0,75.0,67.5,202.5,0.0,40.0,37.5,-32.5,45.0
2,4.0,6.0,4.0,3.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,2.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,2.0,5.0,1.0,3.0,3.0,1.0,4.0,5.0,2.0,25.0,100.0,54.17,25.0,204.17,12.5,0.0,-4.159999999999997,25.0,33.339999999999975
3,4.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,2.0,5.0,1.0,2.0,5.0,4.0,4.0,2.0,2.0,62.5,20.0,37.5,16.67,136.67,25.0,0.0,-8.329999999999998,-8.329999999999998,8.339999999999975
4,3.0,5.0,4.0,4.0,2.0,5.0,4.0,0.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,50.0,60.0,58.33,87.5,255.83,12.5,20.0,4.159999999999997,87.5,124.16000000000003
5,5.0,6.0,6.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,2.0,6.0,5.0,1.0,2.0,6.0,6.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,100.0,20.0,25.0,50.0,195.0,12.5,20.0,0.0,0.0,32.5
6,1.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,6.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,1.0,5.0,3.0,5.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,0.0,-20.0,-4.159999999999997,-75.0,-99.16000000000001,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,40.0,37.5,60.0,200.0,25.0,40.0,37.5,60.0,237.5
8,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,100.0,100.0,58.33,66.67,325.0,25.0,20.0,-29.17,66.67,82.5
9,3.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,37.5,20.0,25.0,68.75,151.25,0.0,0.0,0.0,6.25,6.25
