,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Student
0,6,4,5,1,2,5,6,4,5,3,1,4,6,1,5,2,6,4,1,1,1,6,1,4,2,0,5,6,1,0,0,3,5,5,3,AFelipeGA
1,1,3,5,2,2,3,5,4,1,2,2,1,4,3,3,6,5,6,2,3,2,3,4,4,1,3,3,4,2,1,1,1,3,3,2,hsmartineza
2,4,6,4,3,5,6,5,5,6,6,3,2,6,6,5,5,5,5,5,5,5,5,5,6,3,5,2,5,1,3,3,1,4,5,2,anfmorenoso
3,4,5,6,4,5,6,6,4,4,6,4,2,1,5,5,5,5,5,5,5,5,5,5,2,2,4,2,5,1,2,5,4,4,2,2,kancas
4,3,5,4,4,2,5,4,0,2,5,4,5,4,4,4,3,5,4,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,3,1,lacardenasv
5,5,6,6,2,4,5,4,4,4,5,5,2,6,5,5,5,5,6,6,4,6,2,6,5,1,2,6,6,1,3,2,2,4,3,3,sacastroc
6,1,5,2,3,3,5,5,4,4,4,3,2,5,1,6,5,3,4,2,5,5,3,4,4,1,5,3,5,0,1,0,1,4,3,2,ivdgonzalezco
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fabianr23
8,3,3,4,3,4,5,5,4,4,3,3,3,5,4,5,5,5,5,4,5,4,5,4,4,3,4,4,5,3,3,3,3,4,2,2,srmedinac
9,3,4,4,2,4,2,5,4,5,5,3,4,5,3,4,5,3,5,3,3,2,4,3,3,2,4,2,5,1,2,1,3,4,3,2,annipi
10,3,5,6,5,6,5,5,6,5,5,4,5,4,3,5,2,5,4,3,4,4,4,5,2,3,2,3,4,0,1,2,2,3,4,2,miaborjaac
11,2,5,2,2,3,3,5,4,3,4,3,4,5,1,5,3,4,3,3,6,5,3,4,1,1,3,3,4,0,1,1,2,3,2,2,Yelis3
12,3,4,4,1,3,4,4,3,2,4,0,3,4,2,4,4,4,3,4,4,4,3,4,2,1,3,1,4,1,1,1,3,5,5,1,jorge52an
13,3,5,6,6,6,4,5,5,5,6,5,0,4,5,5,4,6,5,5,3,5,5,6,5,1,6,5,6,3,3,4,3,6,3,1,djsanabriac
14,5,5,5,5,4,5,4,5,4,5,5,4,4,5,5,3,5,3,3,5,2,4,6,3,4,4,4,4,1,2,3,3,5,4,2,andfsanchezlem
15,4,3,6,4,6,3,6,6,6,6,3,5,2,5,6,6,6,6,6,4,6,4,5,2,2,5,3,6,1,5,1,5,4,4,4,juasmartinezbel
16,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,5,3,6,6,6,6,6,6,3,3,3,4,3,3,3,2,3,3,2,kgbayala528
17,2,3,3,3,3,3,3,4,4,5,3,3,6,4,3,5,4,4,1,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,JoseMolano
18,5,4,6,3,5,3,6,4,5,5,3,4,4,4,6,5,6,4,5,5,6,5,6,5,4,5,3,5,0,1,1,1,4,3,2,daandradec
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSebasGomez
20,4,1,4,3,3,4,5,4,5,4,2,4,4,4,4,4,4,4,4,3,5,5,4,4,3,3,4,4,1,3,1,1,3,4,2,wilson911013
21,1,4,6,2,2,3,5,3,5,5,4,3,4,4,5,5,5,5,4,4,4,3,5,2,2,4,3,4,1,3,1,1,5,5,2,pcberriop
22,2,5,4,4,5,4,5,5,5,5,6,6,3,3,4,5,5,3,4,3,5,5,5,3,1,4,1,5,1,2,1,3,2,2,2,bdcajicam
23,4,5,5,4,4,5,5,5,5,5,5,5,4,5,6,6,6,6,6,5,6,5,6,5,5,5,5,6,3,3,3,5,5,5,3,ykchautai
24,4,5,6,5,5,5,6,6,6,6,5,6,4,6,5,4,6,5,5,5,5,6,5,4,6,5,5,5,3,5,5,5,5,5,2,ronaldsg20
25,4,6,5,3,5,6,6,5,5,4,3,3,5,2,5,6,6,5,5,3,5,4,6,4,1,2,2,3,0,1,1,4,4,3,1,jjrodriguezn
26,4,5,4,4,4,5,6,6,5,5,2,4,6,4,4,5,4,5,5,4,5,3,5,3,4,3,4,6,2,4,2,2,5,5,2,stevenbustos
27,0,4,0,0,0,4,5,4,3,5,0,4,6,3,3,3,3,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,jhcardenasa
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jmalvarezd
29,3,3,3,0,2,1,3,2,2,4,2,3,5,4,4,5,4,2,3,1,4,4,4,5,1,5,2,5,0,3,0,5,5,6,2,Judgarciani
30,0,3,5,3,4,3,5,4,4,6,2,4,1,2,4,5,4,4,1,1,6,3,5,1,3,2,0,4,0,3,0,2,4,3,2,dasalgadob
31,3,3,3,3,5,3,6,6,6,6,3,3,5,3,3,2,2,3,6,6,6,6,6,2,0,5,0,4,0,0,0,0,5,5,2,debeltranc
32,3,6,6,4,5,5,6,6,5,5,5,5,6,4,5,5,4,6,5,4,5,5,6,5,2,5,2,5,1,0,0,1,4,4,2,jesusfchavarro
33,4,3,5,2,5,3,5,4,6,4,2,6,5,5,5,5,4,6,6,3,5,6,4,4,2,4,2,5,1,1,1,1,5,3,2,jesusfchavarro
34,4,3,4,3,4,2,6,5,3,3,0,6,5,5,6,6,6,6,3,5,1,5,3,2,1,5,2,6,0,0,1,1,4,4,2,macuestap
35,1,3,2,4,4,4,3,2,4,4,2,4,5,5,5,5,5,4,4,5,4,3,5,3,2,4,2,3,1,2,1,2,2,0,1,janoguerab
36,0,6,6,6,6,6,6,6,4,6,3,5,6,2,6,4,5,6,1,3,3,0,4,0,0,2,2,5,3,3,3,3,4,4,0,ncampuzano
37,0,2,6,0,4,5,4,5,4,5,1,5,4,4,6,4,6,4,6,5,6,5,6,5,2,2,4,5,0,1,0,4,5,3,2,jonatan360
38,3,5,6,5,5,3,6,5,4,4,5,4,6,6,5,5,6,6,5,5,5,5,5,5,5,6,6,6,4,4,4,4,5,5,2,CamiloRueda
39,1,4,6,5,5,4,6,6,6,5,5,4,5,6,6,5,6,5,6,4,5,5,6,6,4,5,5,5,3,4,4,4,5,5,4,dfhincapiem
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JuanitoAli
41,3,4,4,3,4,5,5,6,4,5,2,4,5,2,5,3,4,5,3,2,5,5,4,1,0,2,0,5,0,2,0,3,5,5,2,DianaNavarrete
42,0,4,4,4,4,5,4,5,4,4,5,4,5,3,3,3,3,3,3,3,4,3,4,3,1,3,1,5,0,1,0,3,3,3,1,wolfstain
43,0,0,0,0,0,0,5,2,0,5,4,1,6,4,2,3,1,6,6,5,6,6,6,6,1,4,4,4,4,1,3,4,5,4,1,ccvacad
44,3,5,3,4,4,4,6,6,5,5,4,5,1,5,6,6,4,6,6,2,5,4,5,5,6,4,6,5,5,4,5,5,6,5,4,Chranium
45,5,5,6,4,5,5,6,5,5,5,5,4,5,4,5,5,6,4,5,4,5,5,5,4,3,4,5,5,1,2,1,1,4,4,3,cap182
46,3,4,4,5,3,4,5,4,4,5,5,4,3,5,4,5,4,4,4,5,4,4,5,5,5,5,5,5,4,4,4,5,5,4,3,helmeraac
