,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,improve-tech-15,improve-ur-15,improve-vis-15,improve-novel-15,improve-total-15,improve-tech-45,improve-ur-45,improve-vis-45,improve-novel-45,improve-total-45,Q17,Q18,Q10,Q11,Q12,Q13,Q14,Q24
0,6,4,5,1,2,5,6,4,5,3,1,4,6,1,5,2,6,4,1,1,1,6,1,4,2,0,5,6,1,0,0,3,5,5,3,50,0,0,50,100,0,0,0,6.25,6.25,Male,Prefer not to respond,Average,10,0,0,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
1,1,3,5,2,2,3,5,4,1,2,2,1,4,3,3,6,5,6,2,3,2,3,4,4,1,3,3,4,2,1,1,1,3,3,2,0,60,75,67.5,202.5,0,40,37.5,-32.5,45,Male,Hispanic/Latino,Average,0,0,5,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
2,4,6,4,3,5,6,5,5,6,6,3,2,6,6,5,5,5,5,5,5,5,5,5,6,3,5,2,5,1,3,3,1,4,5,2,25,100,54.17,25,204.17,12.5,0,-4.16,25,33.34,Male,Hispanic/Latino,Average,0,0,8,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
3,4,5,6,4,5,6,6,4,4,6,4,2,1,5,5,5,5,5,5,5,5,5,5,2,2,4,2,5,1,2,5,4,4,2,2,62.5,20,37.5,16.67,136.67,25,0,-8.33,-8.33,8.34,Male,Hispanic/Latino,Average,0,0,0,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
4,3,5,4,4,2,5,4,0,2,5,4,5,4,4,4,3,5,4,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,3,1,50,60,58.33,87.5,255.83,12.5,20,4.16,87.5,124.16,Female,Hispanic/Latino,Top 3,8,3,20,5,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
5,5,6,6,2,4,5,4,4,4,5,5,2,6,5,5,5,5,6,6,4,6,2,6,5,1,2,6,6,1,3,2,2,4,3,3,100,20,25,50,195,12.5,20,0,0,32.5,Male,Hispanic/Latino,Average,1,0,0,2,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
6,1,5,2,3,3,5,5,4,4,4,3,2,5,1,6,5,3,4,2,5,5,3,4,4,1,5,3,5,0,1,0,1,4,3,2,0,-20,-4.16,-75,-99.16,0,0,0,0,0,Male,Hispanic/Latino,Average,5,5,8,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,40,37.5,60,200,25,40,37.5,60,237.5,Male,Hispanic/Latino,Average,5,0,0,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
8,3,3,4,3,4,5,5,4,4,3,3,3,5,4,5,5,5,5,4,5,4,5,4,4,3,4,4,5,3,3,3,3,4,2,2,100,100,58.33,66.67,325,25,20,-29.17,66.67,82.5,Male,Hispanic/Latino,Below Average,0,0,5,2,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
9,3,4,4,2,4,2,5,4,5,5,3,4,5,3,4,5,3,5,3,3,2,4,3,3,2,4,2,5,1,2,1,3,4,3,2,37.5,20,25,68.75,151.25,0,0,0,6.25,6.25,Female,Hispanic/Latino,Average,5,5,7,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
10,3,5,6,5,6,5,5,6,5,5,4,5,4,3,5,2,5,4,3,4,4,4,5,2,3,2,3,4,0,1,2,2,3,4,2,62.5,-20,12.5,62.5,117.5,25,0,4.17,0,29.17,Male,Hispanic/Latino,Below Average,0,0,0,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
11,2,5,2,2,3,3,5,4,3,4,3,4,5,1,5,3,4,3,3,6,5,3,4,1,1,3,3,4,0,1,1,2,3,2,2,75,20,33.33,52.5,180.83,12.5,0,-4.17,-3.75,4.58,Female,Hispanic/Latino,Top 10,0,0,1,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
12,3,4,4,1,3,4,4,3,2,4,0,3,4,2,4,4,4,3,4,4,4,3,4,2,1,3,1,4,1,1,1,3,5,5,1,50,100,62.5,66.67,279.17,12.5,100,29.17,41.67,183.34,Male,Hispanic/Latino,Average,2,2,0,4,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
13,3,5,6,6,6,4,5,5,5,6,5,0,4,5,5,4,6,5,5,3,5,5,6,5,1,6,5,6,3,3,4,3,6,3,1,25,0,29.17,0,54.17,0,-20,4.17,0,-15.83,Male,Hispanic/Latino,Below Average,0,0,0,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
14,5,5,5,5,4,5,4,5,4,5,5,4,4,5,5,3,5,3,3,5,2,4,6,3,4,4,4,4,1,2,3,3,5,4,2,-25,0,0,-37.5,-62.5,0,0,0,0,0,Male,Hispanic/Latino,Below Average,0,0,2,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
15,4,3,6,4,6,3,6,6,6,6,3,5,2,5,6,6,6,6,6,4,6,4,5,2,2,5,3,6,1,5,1,5,4,4,4,-12.5,40,16.67,37.5,81.67,-12.5,60,8.34,4.17,60,Male,Hispanic/Latino,Average,0,0,0,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
16,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,5,3,6,6,6,6,6,6,3,3,3,4,3,3,3,2,3,3,2,-12.5,0,12.5,0,0,0,0,37.5,25,62.5,Male,Hispanic/Latino,Average,0,0,3,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
17,2,3,3,3,3,3,3,4,4,5,3,3,6,4,3,5,4,4,1,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,25,0,25,25,75,0,0,0,0,0,Male,Hispanic/Latino,Top 3,0,0,0,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
18,5,4,6,3,5,3,6,4,5,5,3,4,4,4,6,5,6,4,5,5,6,5,6,5,4,5,3,5,0,1,1,1,4,3,2,50,0,0,75,125,0,-40,-4.16,0,-44.16,Male,Native American/American Indian,Average,0,0,8,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,0,4.16,0,-8.34,0,-40,-16.67,0,-56.67,Male,Hispanic/Latino,Average,0,0,0,3,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
