,username_folder_name,count,name
0,2017-Purdue-UNAL-IronHack-Chranium,1,Chranium
1,2017-Purdue-UNAL-IronHack-bsgarciac,4,bsgarciac
2,2017-Purdue-UNAL-IronHack-dsbarrerag,3,dsbarrerag
3,2017-Purdue-UNAL-IronHack-falperezgo,52,falperezgo
4,2017-Purdue-UNAL-IronHack-jiapulidoar,3007,jiapulidoar
5,2017-Purdue-UNAL-IronHack-kgbayala528,4,kgbayala528
6,2017-Purdue-UNAL-IronHack-lfvalderrama,3,lfvalderrama
7,2017-Purdue-UNAL-IronHack-nfmorenog,3,nfmorenog
8,2017-Purdue-UNAL-IronHack-oeroaq,10,oeroaq
9,2017-Purdue-UNAL-IronHack-ronaldsg20,1503,ronaldsg20
10,2017-Purdue-UNAL-IronHack-srmedinac,75,srmedinac
11,2017-Purdue-UNAL-IronHack-wolfstain,3,wolfstain
12,2017-Purdue-UNAL-IronHack-xdanielsb,71,xdanielsb
