,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2
11, 0 files changed,,,bdvegat,0,0,0,0,1
12, 0 files changed,,,begarzonf,0,0,0,0,1
21, 5 files changed, 2 insertions(+), 36 deletions(-),ccvacad,5,2,36,0,1
23, 2 files changed, 20 insertions(+), 54 deletions(-),cesarochoa2006,2,20,54,0,1
26, 0 files changed,,,crarojasca,0,0,0,0,1
29, 0 files changed,,,CSebasGomez,0,0,0,0,1
32, 1 file changed, 11 insertions(+), 16 deletions(-),Dandarprox,1,11,16,0,1
37, 2 files changed, 28 insertions(+), 44 deletions(-),davidrh195,2,28,44,0,1
38, 1 file changed, 1 insertion(+), 11 deletions(-),Davsatu313,1,1,11,0,1
40, 0 files changed,,,debeltranc,0,0,0,0,1
45, 0 files changed,,,diegocruz10,0,0,0,0,1
49, 2 files changed, 97 insertions(+), 110 deletions(-),fabianr23,2,97,110,0,1
56, 2 files changed, 22 insertions(+), 86 deletions(-),Gantiva,2,22,86,0,1
61, 2 files changed, 18 insertions(+), 23 deletions(-),HashNick,2,18,23,0,1
64, 1 file changed, 11 insertions(+), 9 deletions(-),idrojasf,1,11,9,0,1
75, 0 files changed,,,jhcardenasa,0,0,0,0,1
77, 0 files changed,,,jhonsd1996,0,0,0,0,1
78, 2 files changed,,,jhriverasa,2,0,0,0,1
80, 8 files changed,,,jjmuesesq,8,0,0,0,1
91, 1 file changed, 1 insertion(+), 1 deletion(-),jscontrerasp,1,1,1,0,1
96, 4 files changed, 270 insertions(+), 98 deletions(-),JuanitoAli,4,270,98,0,1
97, 1 file changed, 4 deletions(-),,juasmartinezbel,1,4,0,0,1
98, 0 files changed,,,jucjimenezmo,0,0,0,0,1
102, 1 file changed, 50 insertions(+), 86 deletions(-),JulianaNino,1,50,86,0,1
105, 0 files changed,,,jusherrerama,0,0,0,0,1
106, 0 files changed,,,kancas,0,0,0,0,1
109, 2 files changed, 56 insertions(+), 51 deletions(-),kmendezp96,2,56,51,0,1
112, 6 files changed, 152 insertions(+), 274 deletions(-),leguzman,6,152,274,0,1
117, 2 files changed, 8 insertions(+), 14 deletions(-),ligibrial,2,8,14,0,1
119, 2 files changed, 9 insertions(+), 6 deletions(-),lsfinite,2,9,6,0,1
120, 1 file changed, 1 insertion(+), 12 deletions(-),luealfonsoru,1,1,12,0,1
121, 0 files changed,,,luegilca,0,0,0,0,1
126, 0 files changed,,,mdbelloc,0,0,0,0,1
140, 0 files changed,,,oserasoa,0,0,0,0,1
142, 0 files changed,,,Phoenixest,0,0,0,0,1
144, 3 files changed, 22 insertions(+), 18 deletions(-),raulramirezp,3,22,18,0,1
147, 4 files changed, 12 insertions(+), 13 deletions(-),sagilm,4,12,13,0,1
154, 0 files changed,,,tres-iqus,0,0,0,0,1
160, 3 files changed, 10 insertions(+), 165 deletions(-),xdanielsb,3,10,165,0,1
161, 4 files changed, 32 insertions(+), 59 deletions(-),Yelis3,4,32,59,0,1
162, 3 files changed, 2 insertions(+), 29 deletions(-),ykchautai,3,2,29,0,1
