,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3
1, 2 files changed, 78 insertions(+), 117 deletions(-),adriel62,2,78,117,1
2, 4 files changed, 11 insertions(+), 22 deletions(-),afceballosr,4,11,22,1
3, 20 files changed, 25 insertions(+), 203 deletions(-),AFelipeGA,20,25,203,1
4, 0 files changed,,,afforeroc,0,0,0,1
19, 4 files changed, 7 insertions(+), 59 deletions(-),capinzor,4,7,59,1
20, 3 files changed, 99 insertions(+), 182 deletions(-),cccristanchoc,3,99,182,1
24, 0 files changed,,,Chranium,0,0,0,1
31, 12 files changed, 31 insertions(+), 141 deletions(-),dagofonseca,12,31,141,1
33, 0 files changed,,,Danielsv9207,0,0,0,1
35, 6 files changed, 91 insertions(+), 296 deletions(-),davidh17,6,91,296,1
36, 3 files changed, 8 insertions(+), 10 deletions(-),DavidQP,3,8,10,1
39, 4 files changed, 7 insertions(+), 7 deletions(-),dduartec,4,7,7,1
43, 1 file changed, 54 insertions(+), 65 deletions(-),DianaNavarrete,1,54,65,1
51, 0 files changed,,,feartheGru,0,0,0,1
71, 3 files changed, 7 insertions(+), 96 deletions(-),jdmonroyg,3,7,96,1
76, 0 files changed,,,JhonEmmanuelTorres,0,0,0,1
82, 3 files changed, 62 insertions(+), 110 deletions(-),jmalvarezd,3,62,110,1
88, 1 file changed, 13 insertions(+), 101 deletions(-),jorge52an,1,13,101,1
90, 3 files changed, 43 insertions(+), 240 deletions(-),jscastelblancoh,3,43,240,1
99, 0 files changed,,,juclopezso,0,0,0,1
103, 4 files changed, 56 insertions(+), 295 deletions(-),juligarji,4,56,295,1
104, 1 file changed, 29 insertions(+), 35 deletions(-),jumcorredorro,1,29,35,1
108, 2 files changed, 41 insertions(+), 151 deletions(-),kgbayala528,2,41,151,1
110, 6 files changed, 41 insertions(+), 111 deletions(-),lacardenasv,6,41,111,1
113, 4 files changed, 14 insertions(+), 303 deletions(-),lemartinp,4,14,303,1
115, 5 files changed, 100 insertions(+), 97 deletions(-),lgmoralesa,5,100,97,1
118, 5 files changed, 22 insertions(+), 21 deletions(-),lizzyt10h,5,22,21,1
122, 5 files changed,,,macuestap,5,0,0,1
125, 4 files changed, 4 insertions(+), 3 deletions(-),mballeng91,4,4,3,1
132, 10 files changed, 43 insertions(+), 273 deletions(-),ncampuzano,10,43,273,1
133, 2 files changed, 5 insertions(+), 17 deletions(-),nfmorenog,2,5,17,1
134, 5 files changed, 41 insertions(+), 49 deletions(-),NicolasPrr,5,41,49,1
136, 4 files changed, 14 insertions(+), 124 deletions(-),oacastillol,4,14,124,1
139, 2 files changed, 22 insertions(+), 7 deletions(-),ofnanezn,2,22,7,1
145, 8 files changed, 27 insertions(+), 70 deletions(-),ronaldsg20,8,27,70,1
148, 3 files changed, 23 insertions(+), 100 deletions(-),sarizag,3,23,100,1
150, 1 file changed, 27 insertions(+), 610 deletions(-),smarquezo,1,27,610,1
151, 5 files changed, 83 insertions(+), 59 deletions(-),spenas,5,83,59,1
152, 6 files changed, 48 insertions(+), 228 deletions(-),srmedinac,6,48,228,1
157, 2 files changed, 33 insertions(+), 77 deletions(-),wapiravaguens,2,33,77,1
158, 3 files changed,,,wilson911013,3,0,0,1
