username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,novelty4,novelty_normal4,novelty_per4,novelty3,novelty_normal3,novelty_per3,novelty2,novelty_normal2,novelty_per2,novelty1,novelty_normal1,novelty_per1,total_raw4,total_norm4,total_norm_per4,total_raw3,total_norm3,total_norm_per3,total_raw2,total_norm2,total_norm_per2,total_raw1,total_norm1,total_norm_per1
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"d3,angular,bootstrap,jquery,",0.059813084,94.01869159,9,90,44.44%,"1,1,1,1,0,1,1,1,1,",5,100,88.89%,"1.0,1.0,1.0,1.0,1.0,",6,33.33333333,88.89%,"1.0,1.0,2.0,1.0,0.0,1.0,",11,47.82608696,88.89%,8,1.777777778,77.78%,"3.0,0.0,0.0,;3.0,1.0,1.0,;",28,281.4486433,88.89%,8,1.777777778,77.78%,7,1.555555556,81.48%,6,1.333333333,81.48%,0,0,0.00%,27,272.1305259,96.30%,25,266.066425,96.30%,18,210.6406288,77.78%,9,179.42029,59.26%
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"react,d3,jquery,",0.009917355,99.00826446,9,90,66.67%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"3.0,0.0,1.0,0.0,0.0,0.0,",5,21.73913043,59.26%,10,2.222222222,81.48%,"3.0,1.0,1.0,;3.0,1.0,1.0,;",24,234.7087476,66.67%,8,1.777777778,77.78%,8,1.777777778,88.89%,9,2,92.59%,0,0,0.00%,24,251.4750101,92.59%,22,234.001558,88.89%,22,225.6410562,88.89%,10,194.392041,85.19%
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"d3,animate,bootstrap,jquery,",0.036666667,96.33333333,7,70,25.93%,"1,1,0,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"1.0,0.0,2.0,1.0,0.0,0.0,",5,21.73913043,59.26%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",15,210.4782609,40.74%,3,0.666666667,29.63%,3,0.666666667,44.44%,0,0,0.00%,0,0,0.00%,13,193.0746934,25.93%,13,192.679549,37.04%,10,192.1040373,48.15%,8,175.584075,55.56%
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"three,",0.04137931,95.86206897,9,90,48.15%,"0,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",15,212.6156922,44.44%,3,0.666666667,29.63%,0,0,0.00%,0,0,0.00%,0,0,0.00%,15,212.4370764,51.85%,12,214.347826,66.67%,8,174.8272018,37.04%,6,158.695652,37.04%
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,3.70%,6,158.550725,33.33%
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase5,Wed Nov 22 08:30:39 2017,1,5,"New York State Career Centers, NYCHA Development Data Book, Neighborhood Names GIS, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"materialize,d3,jquery,",0.004731861,99.52681388,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",4,80,85.19%,"1.0,2.0,0.0,1.0,0.0,",11,61.11111111,96.30%,"3.0,1.0,3.0,2.0,1.0,1.0,",15,65.2173913,96.30%,21,4.666666667,96.30%,"3.0,1.0,2.0,;3.0,1.0,1.0,;1.0,0.0,0.0,;1.0,1.0,2.0,;3.0,1.0,1.0,;",46,334.6282632,96.30%,27,6,96.30%,15,3.333333333,96.30%,16,3.555555556,96.30%,3,0.666666667,88.89%,41,239.0936455,88.89%,30,246.585861,92.59%,31,246.4184318,96.30%,15,216.753623,92.59%
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,",0.020833333,97.91666667,7,70,29.63%,"0,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,0,0,0.00%,,10,194.0036232,25.93%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,10,194.0036232,29.63%,10,194.003623,40.74%,10,194.0036232,55.56%,10,193.814229,81.48%
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,",0.033027523,96.69724771,10,100,74.07%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"1.0,0.0,2.0,1.0,0.0,0.0,",5,21.73913043,59.26%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",18,240.8421752,77.78%,3,0.666666667,29.63%,0,0,0.00%,0,0,0.00%,0,0,0.00%,16,221.457673,59.26%,3,126.666667,0.00%,12,207.9619565,70.37%,9,185.920716,70.37%
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"ember,animate,font-awesome,",0.007177034,99.28229665,8,80,37.04%,"1,1,1,1,1,0,0,1,1,",3,60,81.48%,"1.0,1.0,0.0,0.0,1.0,",3,16.66666667,44.44%,"1.0,0.0,1.0,1.0,0.0,0.0,",6,26.08695652,77.78%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",17,232.1228764,59.26%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,5,139.4267026,18.52%,7,156.762198,22.22%,13,211.9976498,81.48%,9,174.32051,48.15%
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, New York neighborhood, ",1,1,1,0,1,1,1,1,"font-awesome,animate,",0.011764706,98.82352941,9,90,62.96%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,44.44%,"1.0,0.0,2.0,0.0,0.0,0.0,",4,17.39130435,44.44%,4,0.888888889,59.26%,"3.0,0.0,0.0,;1.0,0.0,0.0,;",17,224.495027,51.85%,6,1.333333333,62.96%,3,0.666666667,44.44%,3,0.666666667,66.67%,0,0,0.00%,16,196.185722,33.33%,13,195.909741,44.44%,13,195.7780134,59.26%,7,163.010033,44.44%
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,0,,0.040650407,95.93495935,6,60,22.22%,"0,1,1,1,1,0,0,1,0,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,44.44%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.39130435,44.44%,0,0,0.00%,,10,190.717568,22.22%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,10,192.1134466,22.22%,10,190.869565,29.63%,10,192.1908526,51.85%,10,192.190853,77.78%
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase5,Wed Nov 22 08:30:39 2017,1,3,"Required Weather API, New York City Farmers Markets, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"materialize,animate,d3,jquery,",0.027722772,97.22772277,10,100,77.78%,"1,1,1,1,1,1,1,1,1,",5,100,88.89%,"1.0,1.0,1.0,1.0,1.0,",8,44.44444444,92.59%,"2.0,2.0,2.0,1.0,0.0,1.0,",13,56.52173913,92.59%,15,3.333333333,88.89%,"3.0,1.0,1.0,;2.0,1.0,1.0,;3.0,1.0,2.0,;",38,313.6045344,92.59%,10,2.222222222,85.19%,10,2.222222222,92.59%,0,0,0.00%,0,0,0.00%,23,224.8425121,66.67%,21,204.080323,55.56%,9,182.0658606,40.74%,5,143.267593,14.81%
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase5,Wed Nov 22 08:30:39 2017,1,5,"Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976, Neighborhood Tabulation Areas, Required Weather API, New York City Museums, Housing New York Units by Building, ",1,1,1,0,1,1,1,1,"bootstrap,three,react,d3,jquery,",0.02962963,97.03703704,9,90,51.85%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,7,1.555555556,74.07%,"2.0,0.0,0.0,;0.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",19,214.6795491,48.15%,3,0.666666667,29.63%,3,0.666666667,44.44%,0,0,0.00%,0,0,0.00%,14,202.3091787,37.04%,14,202.10246,51.85%,9,186.0869565,44.44%,9,183.432494,62.96%
matson3,honors0,IH-Project-2017-matson3_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,d3,vue,",0.002256609,99.77433914,10,100,96.30%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,44.44%,"2.0,0.0,1.0,0.0,0.0,0.0,",4,17.39130435,44.44%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",17,235.2236145,70.37%,3,0.666666667,29.63%,5,1.111111111,74.07%,5,1.111111111,77.78%,0,0,0.00%,14,208.0215544,48.15%,17,217.014244,70.37%,11,159.8067633,25.93%,9,187.391304,74.07%
