Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
jdsuarezj,,,Bogota-Hack-0-2017,,,jdsuarezj,,,293.33,,,98.04,,,3rd Phase,,
JoseMolano,,,Bogota-Hack-0-2017,,,JoseMolano,,,289.17,,,96.08,,,3rd Phase,,
bsgarciac,,,Bogota-Hack-0-2017,,,bsgarciac,,,272.5,,,94.12,,,3rd Phase,,
lfvalderrama,,,Bogota-Hack-0-2017,,,lfvalderrama,,,250.42,,,92.16,,,3rd Phase,,
mnguzmanc,,,Bogota-Hack-0-2017,,,mnguzmanc,,,236.67,,,90.2,,,3rd Phase,,
hsmartineza,,,Bogota-Hack-0-2017,,,hsmartineza,,,230.83,,,88.24,,,3rd Phase,,
capinillab,,,Bogota-Hack-0-2017,,,capinillab,,,226.67,,,86.27,,,3rd Phase,,
Judgarciani,,,Bogota-Hack-0-2017,,,Judgarciani,,,221.67,,,84.31,,,3rd Phase,,
camilo13152,,,Bogota-Hack-0-2017,,,camilo13152,,,218.33,,,82.35,,,3rd Phase,,
sacastroc,,,Bogota-Hack-0-2017,,,sacastroc,,,215.83,,,80.39,,,3rd Phase,,
UNhcrodriguezl,,,Bogota-Hack-0-2017,,,UNhcrodriguezl,,,190.83,,,76.47,,,3rd Phase,,
cdcordobaa,,,Bogota-Hack-0-2017,,,cdcordobaa,,,190.83,,,76.47,,,3rd Phase,,
juandavidro,,,Bogota-Hack-0-2017,,,juandavidro,,,175.83,,,72.55,,,3rd Phase,,
fffeelipe,,,Bogota-Hack-0-2017,,,fffeelipe,,,172.5,,,70.59,,,3rd Phase,,
Moimolcp,,,Bogota-Hack-0-2017,,,Moimolcp,,,170,,,68.63,,,3rd Phase,,
pcberriop,,,Bogota-Hack-0-2017,,,pcberriop,,,165.83,,,66.67,,,3rd Phase,,
camilo654,,,Bogota-Hack-0-2017,,,camilo654,,,161.67,,,64.71,,,3rd Phase,,
DglyP,,,Bogota-Hack-0-2017,,,DglyP,,,140,,,62.75,,,3rd Phase,,
jmcuestasb,,,Bogota-Hack-0-2017,,,jmcuestasb,,,132.5,,,60.78,,,3rd Phase,,
leavendanoro,,,Bogota-Hack-0-2017,,,leavendanoro,,,112.5,,,56.86,,,3rd Phase,,
jjrodriguezn,,,Bogota-Hack-0-2017,,,jjrodriguezn,,,103.33,,,52.94,,,3rd Phase,,
pipemax85,,,Bogota-Hack-0-2017,,,pipemax85,,,103.33,,,52.94,,,3rd Phase,,
Janoguerab,,,Bogota-Hack-0-2017,,,Januguerab,,,99.17,,,50.98,,,3rd Phase,,
NicolasZon,,,Bogota-Hack-0-2017,,,NicolasZon,,,87.5,,,47.06,,,3rd Phase,,
CristianLozano,,,Bogota-Hack-0-2017,,,CristianLozano,,,86.67,,,45.1,,,3rd Phase,,
maikellPardoA,,,Bogota-Hack-0-2017,,,maikellPardoA,,,83.33,,,43.14,,,3rd Phase,,
gabi04,,,Bogota-Hack-0-2017,,,gabi04,,,74.17,,,41.18,,,3rd Phase,,
juanescai,,,Bogota-Hack-0-2017,,,juanescai,,,61.67,,,39.22,,,3rd Phase,,
CamiloRueda,,,Bogota-Hack-0-2017,,,CamiloRueda,,,50,,,37.25,,,3rd Phase,,
cap182,,,Bogota-Hack-0-2017,,,cap182,,,49.17,,,35.29,,,3rd Phase,,
annipi,,,Bogota-Hack-0-2017,,,annipi,,,0,,,0,,,3rd Phase,,
katherinsb,,,Bogota-Hack-0-2017,,,katherinsb,,,0,,,0,,,3rd Phase,,
jdsolanos,,,Bogota-Hack-0-2017,,,jdsolanos,,,0,,,0,,,3rd Phase,,
jcneivaa,,,Bogota-Hack-0-2017,,,jcneivaa,,,0,,,0,,,3rd Phase,,
fmbernalb,,,Bogota-Hack-0-2017,,,fmbernalb,,,0,,,0,,,3rd Phase,,
MogGy94,,,Bogota-Hack-0-2017,,,MogGy94,,,0,,,0,,,3rd Phase,,
annumunozme,,,Bogota-Hack-0-2017,,,annumumozme,,,0,,,0,,,3rd Phase,,
yocuervoc,,,Bogota-Hack-0-2017,,,yocuervoc,,,0,,,0,,,3rd Phase,,
odprietoh,,,Bogota-Hack-0-2017,,,odprietoh,,,0,,,0,,,3rd Phase,,
