Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
bsgarciac,,,Bogota-Hack-0-2017,,,bsgarciac,,,313.33,,,98.04,,,4th Phase,,
jdsuarezj,,,Bogota-Hack-0-2017,,,jdsuarezj,,,276.67,,,96.08,,,4th Phase,,
capinillab,,,Bogota-Hack-0-2017,,,capinillab,,,251.67,,,94.12,,,4th Phase,,
mnguzmanc,,,Bogota-Hack-0-2017,,,mnguzmanc,,,245,,,92.16,,,4th Phase,,
camilo654,,,Bogota-Hack-0-2017,,,camilo654,,,243.33,,,88.24,,,4th Phase,,
camilo13152,,,Bogota-Hack-0-2017,,,camilo13152,,,243.33,,,88.24,,,4th Phase,,
Judgarciani,,,Bogota-Hack-0-2017,,,Judgarciani,,,242.5,,,86.27,,,4th Phase,,
jmcuestasb,,,Bogota-Hack-0-2017,,,jmcuestasb,,,220.83,,,82.35,,,4th Phase,,
sacastroc,,,Bogota-Hack-0-2017,,,sacastroc,,,220,,,80.39,,,4th Phase,,
JoseMolano,,,Bogota-Hack-0-2017,,,JoseMolano,,,216.67,,,78.43,,,4th Phase,,
UNhcrodriguezl,,,Bogota-Hack-0-2017,,,UNhcrodriguezl,,,215.83,,,76.47,,,4th Phase,,
lfvalderrama,,,Bogota-Hack-0-2017,,,lfvalderrama,,,207.5,,,74.51,,,4th Phase,,
fffeelipe,,,Bogota-Hack-0-2017,,,fffeelipe,,,192.92,,,72.55,,,4th Phase,,
cdcordobaa,,,Bogota-Hack-0-2017,,,cdcordobaa,,,190.83,,,70.59,,,4th Phase,,
hsmartineza,,,Bogota-Hack-0-2017,,,hsmartineza,,,176.25,,,68.63,,,4th Phase,,
pcberriop,,,Bogota-Hack-0-2017,,,pcberriop,,,165.83,,,64.71,,,4th Phase,,
DglyP,,,Bogota-Hack-0-2017,,,DglyP,,,162.5,,,62.75,,,4th Phase,,
CristianLozano,,,Bogota-Hack-0-2017,,,CristianLozano,,,147.5,,,60.78,,,4th Phase,,
jjrodriguezn,,,Bogota-Hack-0-2017,,,jjrodriguezn,,,131.67,,,58.82,,,4th Phase,,
katherinsb,,,Bogota-Hack-0-2017,,,katherinsb,,,128.33,,,56.86,,,4th Phase,,
leavendanoro,,,Bogota-Hack-0-2017,,,leavendanoro,,,125,,,54.9,,,4th Phase,,
Moimolcp,,,Bogota-Hack-0-2017,,,Moimolcp,,,120.83,,,52.94,,,4th Phase,,
juandavidro,,,Bogota-Hack-0-2017,,,juandavidro,,,111.67,,,50.98,,,4th Phase,,
pipemax85,,,Bogota-Hack-0-2017,,,pipemax85,,,103.33,,,49.02,,,4th Phase,,
Janoguerab,,,Bogota-Hack-0-2017,,,Januguerab,,,99.17,,,47.06,,,4th Phase,,
NicolasZon,,,Bogota-Hack-0-2017,,,NicolasZon,,,87.5,,,43.14,,,4th Phase,,
gabi04,,,Bogota-Hack-0-2017,,,gabi04,,,74.17,,,41.18,,,4th Phase,,
CamiloRueda,,,Bogota-Hack-0-2017,,,CamiloRueda,,,70,,,39.22,,,4th Phase,,
juanescai,,,Bogota-Hack-0-2017,,,juanescai,,,50,,,37.25,,,4th Phase,,
cap182,,,Bogota-Hack-0-2017,,,cap182,,,49.17,,,35.29,,,4th Phase,,
maikellPardoA,,,Bogota-Hack-0-2017,,,maikellPardoA,,,25,,,33.33,,,4th Phase,,
annipi,,,Bogota-Hack-0-2017,,,annipi,,,0,,,0,,,4th Phase,,
jdsolanos,,,Bogota-Hack-0-2017,,,jdsolanos,,,0,,,0,,,4th Phase,,
jcneivaa,,,Bogota-Hack-0-2017,,,jcneivaa,,,0,,,0,,,4th Phase,,
fmbernalb,,,Bogota-Hack-0-2017,,,fmbernalb,,,0,,,0,,,4th Phase,,
MogGy94,,,Bogota-Hack-0-2017,,,MogGy94,,,0,,,0,,,4th Phase,,
annumunozme,,,Bogota-Hack-0-2017,,,annumumozme,,,0,,,0,,,4th Phase,,
yocuervoc,,,Bogota-Hack-0-2017,,,yocuervoc,,,0,,,0,,,4th Phase,,
odprietoh,,,Bogota-Hack-0-2017,,,odprietoh,,,0,,,0,,,4th Phase,,
