name,hackid,percentile_score,lines,number of being top 25%,summed percentile score,addition of lines
jmamaril25,honors0,"[92.59, 96.3, 92.31, 85.19, 96.3]","[132, 325, 443, 520, 634]",5,462.69,634
ko68,honors0,"[96.3, 92.59, 88.46, 77.78, 77.78]","[142, 711, 688, 707, 784]",5,432.91,784
mdecloedt,honors0,"[55.56, 81.48, 96.15, 96.3, 88.89]","[60, 118, 320, 424, 535]",4,418.38,535
Jordan-Loeser,honors0,"[88.89, 85.19, 80.77, 92.59, 62.96]","[118, 438, 558, 853, 1210]",4,410.4,1210
littlex2015,honors0,"[62.96, 70.37, 50.0, 88.89, 81.48]","[41, 101, 108, 2185, 2185]",2,353.7,2185
zhao744,honors0,"[40.74, 88.89, 84.62, 74.07, 37.04]","[106, 147, 302, 594, 536]",2,325.36,594
matson3,honors0,"[70.37, 29.63, 76.92, 51.85, 70.37]","[44, 462, 544, 2746, 3102]",1,299.14,3102
GeoffYart,honors0,"[7.41, 77.78, 65.38, 81.48, 66.67]","[30, 117, 140, 156, 303]",2,298.72,303
bzin22,honors0,"[14.81, 44.44, 57.69, 70.37, 92.59]","[97, 169, 402, 375, 505]",1,279.9,505
viswapurdue,honors0,"[66.67, 74.07, 0.0, 62.96, 74.07]","[68, 160, 30, 321, 545]",0,277.77,545
AkaGar,honors0,"[74.07, 40.74, 53.85, 37.04, 48.15]","[57, 124, 172, 180, 270]",0,253.85,270
whipplem123,honors0,"[37.04, 33.33, 69.23, 55.56, 44.44]","[31, 78, 115, 139, 145]",0,239.6,145
lennwgs,honors0,"[81.48, 59.26, 42.31, 29.63, 25.93]","[88, 96, 96, 96, 96]",1,238.61,96
hihms,honors0,"[85.19, 51.85, 30.77, 48.15, 22.22]","[445, 568, 582, 693, 707]",1,238.18,707
noah-curran,honors0,"[29.63, 66.67, 46.15, 33.33, 55.56]","[195, 205, 237, 243, 255]",0,231.34,255
laurenjank,honors0,"[77.78, 62.96, 34.62, 22.22, 18.52]","[77, 77, 115, 151, 246]",1,216.1,246
LukasMMarinovic,honors0,"[59.26, 48.15, 38.46, 25.93, 29.63]","[166, 224, 270, 299, 300]",0,201.43,300
ecottle,honors0,"[25.93, 25.93, 61.54, 44.44, 40.74]","[47, 84, 97, 114, 129]",0,198.58,129
CampbellC2,honors0,"[22.22, 55.56, 23.08, 18.52, 51.85]","[191, 185, 311, 113, 836]",0,171.23,836
snugghash,honors0,"[44.44, 37.04, 0.0, 40.74, 33.33]","[81, 109, 30, 103, 110]",0,155.55,110
nbraunec,honors0,"[7.41, 0.0, 73.08, 66.67, 0.0]","[30, 30, 450, 519, 30]",0,147.16,519
gshowal,honors0,"[59.26, 85.19]","[30, 435, 438, 515, 931]",1,144.45,931
sanjitsama,honors0,"[51.85, 0.0, 26.92, 0.0, 59.26]","[154, 30, 849, 30, 1357]",0,138.03,1357
SionHu,honors0,"[48.15, 0.0, 0.0, 0.0, 0.0]","[69, 30, 30, 30, 30]",0,48.15,69
shivans,honors0,"[33.33, 0.0, 0.0, 0.0, 0.0]","[42, 30, 30, 30, 30]",0,33.33,42
Ilyumzhinov,honors0,"[18.52, 0.0, 0.0, 0.0, 0.0]","[33, 30, 30, 30, 30]",0,18.52,33
jmhunter4711,honors0,"[0.0, 0.0]",[],0,0,0
aclipfel,honors0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
,,,,,,
updated result,,,,,,
jmamaril25,honors0,"[92.59, 96.3, 92.59, 88.89, 96.3]","[132, 325, 443, 520, 634]",5,466.67,634
Jordan-Loeser,honors0,"[85.19, 88.89, 88.89, 92.59, 66.67]","[118, 438, 558, 853, 1210]",4,422.23,1210
ko68,honors0,"[96.3, 92.59, 85.19, 74.07, 74.07]","[142, 711, 688, 707, 784]",3,422.22,784
mdecloedt,honors0,"[59.26, 77.78, 96.3, 96.3, 88.89]","[60, 118, 320, 424, 535]",4,418.53,535
littlex2015,honors0,"[66.67, 62.96, 48.15, 85.19, 81.48]","[41, 101, 108, 2185, 2185]",2,344.45,2185
zhao744,honors0,"[22.22, 85.19, 81.48, 70.37, 33.33]","[106, 147, 302, 594, 536]",2,292.59,594
matson3,honors0,"[74.07, 25.93, 70.37, 48.15, 70.37]","[44, 462, 544, 2746, 3102]",0,288.89,3102
hihms,honors0,"[88.89, 66.67, 33.33, 62.96, 29.63]","[445, 568, 582, 693, 707]",1,281.48,707
viswapurdue,honors0,"[70.37, 70.37, 0.0, 59.26, 77.78]","[68, 160, 30, 321, 545]",1,277.78,545
GeoffYart,honors0,"[7.41, 74.07, 62.96, 77.78, 55.56]","[30, 117, 140, 156, 303]",1,277.78,303
bzin22,honors0,"[14.81, 40.74, 55.56, 66.67, 92.59]","[97, 169, 402, 375, 505]",1,270.37,505
AkaGar,honors0,"[62.96, 44.44, 51.85, 37.04, 48.15]","[57, 124, 172, 180, 270]",0,244.44,270
whipplem123,honors0,"[37.04, 37.04, 66.67, 51.85, 44.44]","[31, 78, 115, 139, 145]",0,237.04,145
lennwgs,honors0,"[81.48, 55.56, 40.74, 29.63, 25.93]","[88, 96, 96, 96, 96]",1,233.34,96
noah-curran,honors0,"[44.44, 59.26, 44.44, 33.33, 51.85]","[195, 205, 237, 243, 255]",0,233.32,255
CampbellC2,honors0,"[48.15, 81.48, 22.22, 18.52, 59.26]","[191, 185, 311, 113, 836]",1,229.63,836
gshowal,honors0,"[74.07, 55.56, 85.19]","[30, 435, 438, 515, 931]",1,214.82,931
LukasMMarinovic,honors0,"[55.56, 48.15, 37.04, 25.93, 40.74]","[166, 224, 270, 299, 300]",0,207.42,300
