name,hackid,percentile_score,lines,number of being top 25%,summed percentile score,addition of lines
davideperdomo,unal1,"[96.3, 77.78, 96.3, 96.3, 96.3]","[248, 497, 972, 1181, 1378]",5,462.98,1378
cglaitong,unal1,"[92.59, 92.59, 88.89, 92.59, 92.59]","[240, 547, 765, 884, 925]",5,459.25,925
alejosaur,unal1,"[85.19, 96.3, 77.78, 88.89, 85.19]","[184, 498, 742, 742, 742]",5,433.35,742
jaleonro,unal1,"[81.48, 88.89, 59.26, 77.78, 77.78]","[53, 174, 208, 312, 355]",4,385.19,355
DaniCastel,unal1,"[88.89, 81.48, 51.85, 81.48, 81.48]","[143, 280, 301, 369, 599]",4,385.18,599
xFortich,unal1,"[55.56, 85.19, 81.48, 70.37, 66.67]","[71, 478, 803, 876, 879]",2,359.27,879
JulianM96,unal1,"[59.26, 55.56, 70.37, 85.19, 88.89]","[129, 223, 241, 256, 359]",2,359.27,359
garayf,unal1,"[51.85, 66.67, 62.96, 66.67, 74.07]","[354, 417, 727, 806, 947]",0,322.22,947
jdsolanos,unal1,"[74.07, 59.26, 48.15, 55.56, 62.96]","[70, 87, 71, 71, 152]",0,300,152
sebcamacho1703,unal1,"[62.96, 3.7, 66.67, 59.26, 70.37]","[51, 30, 192, 265, 449]",0,262.96,449
Juankmilo97,unal1,"[44.44, 51.85, 44.44, 51.85, 59.26]","[76, 206, 206, 199, 290]",0,251.84,290
BrandonAvilanR,unal1,"[66.67, 74.07, 92.59, 3.7, 3.7]","[178, 596, 1020, 30, 30]",1,240.73,1020
ayperezc,unal1,"[37.04, 44.44, 74.07, 74.07, 3.7]","[108, 179, 101, 284, 30]",0,233.32,284
evilcucaracha,unal1,"[3.7, 70.37, 85.19, 62.96, 3.7]","[0, 247, 505, 505, 30]",1,225.92,505
Caadiazsi,unal1,"[77.78, 62.96, 3.7, 3.7, 3.7]","[160, 160, 30, 30, 30]",1,151.84,160
nikolasto,unal1,"[40.74, 48.15, 40.74, 3.7, 3.7]","[104, 103, 250, 30, 30]",0,137.03,250
Saariasba,unal1,"[48.15, 40.74, 3.7, 3.7, 3.7]","[31, 68, 30, 30, 30]",0,99.99,68
Biopeligro,unal1,"[70.37, 3.7, 3.7, 3.7, 3.7]","[127, 30, 30, 30, 30]",0,85.17,127
facuellarg,unal1,"[7.41, 3.7, 55.56, 3.7, 3.7]","[30, 30, 100, 30, 30]",0,74.07,100
jaasuarezvi,unal1,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
alebautis,unal1,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
Gusgal03,unal1,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
DavidsMartinez,unal1,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
sarguellesr,unal1,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
JamerMejiaGarcia,unal1,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
gahormigag,unal1,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
tres-iqus,unal1,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",0,0,0
,,,,,,
updated,,,,,,
davideperdomo,unal1,"[96.3, 77.78, 96.3, 96.3, 96.3]","[248, 497, 972, 1181, 1378]",5,462.98,1378
cglaitong,unal1,"[92.59, 92.59, 81.48, 92.59, 92.59]","[240, 547, 765, 884, 925]",5,451.84,925
alejosaur,unal1,"[85.19, 96.3, 74.07, 85.19, 85.19]","[184, 498, 742, 742, 742]",4,425.94,742
jaleonro,unal1,"[77.78, 88.89, 59.26, 81.48, 77.78]","[53, 174, 208, 312, 355]",4,385.19,355
DaniCastel,unal1,"[88.89, 81.48, 51.85, 77.78, 81.48]","[143, 280, 301, 369, 599]",4,381.48,599
JulianM96,unal1,"[62.96, 59.26, 66.67, 88.89, 88.89]","[129, 223, 241, 256, 359]",2,366.67,359
xFortich,unal1,"[55.56, 85.19, 85.19, 70.37, 66.67]","[71, 478, 803, 876, 879]",2,362.98,879
garayf,unal1,"[51.85, 66.67, 77.78, 66.67, 74.07]","[354, 417, 727, 806, 947]",1,337.04,947
jdsolanos,unal1,"[74.07, 55.56, 55.56, 59.26, 62.96]","[70, 87, 71, 71, 152]",0,307.41,152
evilcucaracha,unal1,"[33.33, 70.37, 88.89, 62.96, 3.7]","[0, 247, 505, 505, 30]",1,259.25,505
Juankmilo97,unal1,"[44.44, 51.85, 44.44, 55.56, 59.26]","[76, 206, 206, 199, 290]",0,255.55,290
sebcamacho1703,unal1,"[59.26, 3.7, 62.96, 51.85, 70.37]","[51, 30, 192, 265, 449]",0,248.14,449
BrandonAvilanR,unal1,"[66.67, 74.07, 92.59, 3.7, 3.7]","[178, 596, 1020, 30, 30]",1,240.73,1020
ayperezc,unal1,"[37.04, 40.74, 70.37, 74.07, 3.7]","[108, 179, 101, 284, 30]",0,225.92,284
Caadiazsi,unal1,"[81.48, 62.96, 3.7, 3.7, 3.7]","[160, 160, 30, 30, 30]",1,155.54,160
nikolasto,unal1,"[40.74, 48.15, 40.74, 3.7, 3.7]","[104, 103, 250, 30, 30]",0,137.03,250
Saariasba,unal1,"[48.15, 44.44, 3.7, 3.7, 3.7]","[31, 68, 30, 30, 30]",0,103.69,68
Biopeligro,unal1,"[70.37, 3.7, 3.7, 3.7, 3.7]","[127, 30, 30, 30, 30]",0,85.17,127
facuellarg,unal1,"[3.7, 3.7, 48.15, 3.7, 3.7]","[30, 30, 100, 30, 30]",0,62.95,100
jaasuarezvi,unal1,"[3.7, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,18.5,30
JamerMejiaGarcia,unal1,"[3.7, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,18.5,30
Gusgal03,unal1,"[3.7, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,18.5,30
DavidsMartinez,unal1,"[3.7, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,18.5,30
sarguellesr,unal1,"[3.7, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,18.5,30
alebautis,unal1,"[3.7, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,18.5,30
gahormigag,unal1,"[3.7, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,18.5,30
tres-iqus,unal1,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",0,0,0
