,username_folder_name,count,name
0,2017-Purdue-UNAL-IronHack-Chranium,1,Chraniu
1,2017-Purdue-UNAL-IronHack-Christian7sr,1,Christian7s
2,2017-Purdue-UNAL-IronHack-bsgarciac,9,bsgarcia
3,2017-Purdue-UNAL-IronHack-dsbarrerag,5,dsbarrera
4,2017-Purdue-UNAL-IronHack-falperezgo,59,falperezg
5,2017-Purdue-UNAL-IronHack-jiapulidoar,3009,jiapulidoa
6,2017-Purdue-UNAL-IronHack-jucjimenezmo,4,jucjimenezm
7,2017-Purdue-UNAL-IronHack-kgbayala528,4,kgbayala52
8,2017-Purdue-UNAL-IronHack-lfvalderrama,6,lfvalderram
9,2017-Purdue-UNAL-IronHack-nfmorenog,3,nfmoreno
10,2017-Purdue-UNAL-IronHack-oeroaq,115,oeroa
11,2017-Purdue-UNAL-IronHack-ronaldsg20,1506,ronaldsg2
12,2017-Purdue-UNAL-IronHack-srmedinac,75,srmedina
13,2017-Purdue-UNAL-IronHack-wolfstain,56,wolfstai
14,2017-Purdue-UNAL-IronHack-xdanielsb,94,xdaniels
