,components,username_folder_name,js_loc_in_each_js
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-nfmorenog,5857.0
1,d3-fetch___.json,2017-Purdue-UNAL-IronHack-nfmorenog,5857.0
2,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-nfmorenog,5857.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-falperezgo,13466.0
1,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-falperezgo,13466.0
2,d3-fetch___.json,2017-Purdue-UNAL-IronHack-falperezgo,13466.0
3,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-falperezgo,13466.0
0,d3-selection_Namespaces_.namespace,2017-Purdue-UNAL-IronHack-falperezgo,9041.0
1,d3-array_Transformations_.merge,2017-Purdue-UNAL-IronHack-falperezgo,9041.0
2,d3-fetch___.text,2017-Purdue-UNAL-IronHack-falperezgo,9041.0
0,d3-dispatch___.dispatch,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
1,d3-array_Statistics_.min,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
2,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
3,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
4,d3-color___.color,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
5,d3-fetch___.text,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
6,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
7,d3-array_Statistics_.max,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
8,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
9,d3-selection_Handling_.mouse,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
10,d3-transition___.transition,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
11,d3-collection_Objects_.keys,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
12,d3-timer___.interval,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
13,d3-selection_Selecting_.window,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
14,d3-selection_Handling_.touches,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
15,d3-transition___.active,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
16,d3-timer___.now,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
17,d3-drag___.drag,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
18,d3-selection_Modifying_.create,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
19,d3-array_Transformations_.range,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
