username_folder_name,left_only,right_only,both
2017-Purdue-UNAL-IronHack-Chranium,0,0,1
2017-Purdue-UNAL-IronHack-bsgarciac,0,3,1
2017-Purdue-UNAL-IronHack-dsbarrerag,0,3,0
2017-Purdue-UNAL-IronHack-falperezgo,0,52,0
2017-Purdue-UNAL-IronHack-jiapulidoar,0,1015,2620
2017-Purdue-UNAL-IronHack-kgbayala528,0,0,4
2017-Purdue-UNAL-IronHack-lfvalderrama,0,0,3
2017-Purdue-UNAL-IronHack-nfmorenog,0,1,2
2017-Purdue-UNAL-IronHack-oeroaq,0,0,15
2017-Purdue-UNAL-IronHack-ronaldsg20,0,0,119259
2017-Purdue-UNAL-IronHack-srmedinac,0,59,16
2017-Purdue-UNAL-IronHack-wolfstain,1,2,1
2017-Purdue-UNAL-IronHack-xdanielsb,0,5,170
