username_folder_name,left_only,right_only,both
2017-Purdue-UNAL-IronHack-Chranium,0,0,1
2017-Purdue-UNAL-IronHack-Christian7sr,0,4,0
2017-Purdue-UNAL-IronHack-bsgarciac,0,8,1
2017-Purdue-UNAL-IronHack-dsbarrerag,0,6,0
2017-Purdue-UNAL-IronHack-falperezgo,0,59,0
2017-Purdue-UNAL-IronHack-jiapulidoar,0,1017,2622
2017-Purdue-UNAL-IronHack-jucjimenezmo,0,4,0
2017-Purdue-UNAL-IronHack-kgbayala528,0,0,4
2017-Purdue-UNAL-IronHack-lfvalderrama,0,1,4
2017-Purdue-UNAL-IronHack-nabautistal,0,8,0
2017-Purdue-UNAL-IronHack-nfmorenog,0,1,2
2017-Purdue-UNAL-IronHack-oeroaq,0,58,59
2017-Purdue-UNAL-IronHack-ronaldsg20,0,0,119771
2017-Purdue-UNAL-IronHack-srmedinac,0,59,16
2017-Purdue-UNAL-IronHack-wolfstain,0,50,6
2017-Purdue-UNAL-IronHack-xdanielsb,1,27,270
