,change,addition,delete,username,change-revised,add-revised,delete-revised
0,0 files changed,,,adamantwharf,0,0,0
1,4 files changed, 133 insertions(+), 85 deletions(-),adriel62,4,133,85
2,2 files changed, 6 insertions(+), 11 deletions(-),afceballosr,2,6,11
3,0 files changed,,,AFelipeGA,0,0,0
4,0 files changed,,,afforeroc,0,0,0
5,3 files changed, 14 insertions(+), 83 deletions(-),aldiazve,3,14,83
6,0 files changed,,,andfsanchezlem,0,0,0
7,2 files changed, 32 insertions(+), 25 deletions(-),anfmorenoso,2,32,25
8,10 files changed, 52 insertions(+), 218 deletions(-),anmmunozme,10,52,218
9,0 files changed,,,annipi,0,0,0
10,0 files changed,,,bdcajicam,0,0,0
11,0 files changed,,,bdvegat,0,0,0
12,0 files changed,,,begarzonf,0,0,0
13,6 files changed, 69 insertions(+), 105 deletions(-),bsgarciac,6,69,105
14,2 files changed, 2 insertions(+), 2 deletions(-),camilo654,2,2,2
15,1 file changed, 5 insertions(+), 1 deletion(-),camilo13152,1,5,1
16,0 files changed,,,CamiloRueda,0,0,0
17, 0 files changed,,,cap182,0,0,0
18, 3 files changed, 102 insertions(+), 131 deletions(-),capinillab,3,102,131
19,4 files changed, 7 insertions(+), 59 deletions(-),capinzor,4,7,59
20,2 files changed, 16 insertions(+), 15 deletions(-),cccristanchoc,2,16,15
21, 2 files changed, 19 insertions(+), 57 deletions(-),ccvacad,2,19,57
22, 0 files changed,,,cdcordobaa,0,0,0
23, 0 files changed,,,cesarochoa2006,0,0,0
24, 0 files changed,,,Chranium,0,0,0
25, 1 file changed, 5 insertions(+), 5 deletions(-),Christian7sr,1,5,5
26, 0 files changed,,,crarojasca,0,0,0
27, 0 files changed,,,crigar,0,0,0
28, 0 files changed,,,CristianLozano,0,0,0
29, 0 files changed,,,CSebasGomez,0,0,0
30, 0 files changed,,,daandradec,0,0,0
31, 6 files changed, 20 insertions(+), 90 deletions(-),dagofonseca,6,20,90
32, 0 files changed,,,Dandarprox,0,0,0
33, 0 files changed,,,Danielsv9207,0,0,0
34, 0 files changed,,,dasalgadob,0,0,0
35, 5 files changed, 96 insertions(+), 124 deletions(-),davidh17,5,96,124
36, 2 files changed, 4 insertions(+), 17 deletions(-),DavidQP,2,4,17
37, 0 files changed,,,davidrh195,0,0,0
38, 1 file changed, 1 deletion(-),,Davsatu313,1,1,0
39, 1 file changed,,,dduartec,1,0,0
40, 2 files changed, 6 insertions(+), 8 deletions(-),debeltranc,2,6,8
41, 0 files changed,,,dfhincapiem,0,0,0
42, 2 files changed, 31 insertions(+), 56 deletions(-),DglyP,2,31,56
43, 0 files changed,,,DianaNavarrete,0,0,0
44, 9 files changed,,,diegoaguevarar,9,0,0
45, 0 files changed,,,diegocruz10,0,0,0
46, 0 files changed,,,djguzmanc,0,0,0
47, 0 files changed,,,djsanabriac,0,0,0
48, 2 files changed, 53 insertions(+), 20 deletions(-),dsbarrerag,2,53,20
49, 2 files changed, 18 insertions(+), 11 deletions(-),fabianr23,2,18,11
50, 4 files changed, 49 insertions(+), 346 deletions(-),falperezgo,4,49,346
51, 0 files changed,,,feartheGru,0,0,0
52, 2 files changed, 32 insertions(+), 19 deletions(-),fevargasmo,2,32,19
53, 6 files changed, 78 insertions(+), 168 deletions(-),fffeelipe,6,78,168
54, 0 files changed,,,fmbernalb,0,0,0
55, 1 file changed,,,gabi04,1,0,0
56, 0 files changed,,,Gantiva,0,0,0
57, 1 file changed, 3 insertions(+), 3 deletions(-),gasierram,1,3,3
58, 12 files changed, 9 insertions(+), 15 deletions(-),gcantem,12,9,15
59, 3 files changed, 3 insertions(+), 8 deletions(-),gfalbarracinr,3,3,8
60, 0 files changed,,,gsuarezc04,0,0,0
61, 0 files changed,,,HashNick,0,0,0
62, 1 file changed, 3 insertions(+), 5 deletions(-),helmeraac,1,3,5
63, 2 files changed, 10 insertions(+), 13 deletions(-),hsmartineza,2,10,13
64, 0 files changed,,,idrojasf,0,0,0
65, 0 files changed,,,ItsNavi,0,0,0
66, 1 file changed, 1 insertion(+), 3 deletions(-),ivdgonzalezco,1,1,3
67, 4 files changed, 9 insertions(+), 111 deletions(-),JairVillalba,4,9,111
68, 0 files changed,,,janoguerab,0,0,0
69, 0 files changed,,,jcneivaa,0,0,0
70, 0 files changed,,,jcrubioa,0,0,0
71, 4 files changed,,,jdmonroyg,4,0,0
72, 0 files changed,,,jdsolanos,0,0,0
73, 0 files changed,,,jdsuarezj,0,0,0
74, 2 files changed, 9 insertions(+), 35 deletions(-),jesusfchavarro,2,9,35
75, 0 files changed,,,jhcardenasa,0,0,0
76, 0 files changed,,,JhonEmmanuelTorres,0,0,0
77, 0 files changed,,,jhonsd1996,0,0,0
78, 10 files changed,,,jhriverasa,10,0,0
79, 2 files changed, 3 insertions(+), 35 deletions(-),jiapulidoar,2,3,35
80, 1 file changed,,,jjmuesesq,1,0,0
81, 4 files changed, 4 insertions(+), 7 deletions(-)  1 ,jjrodriguezn,4,4,7
82, 2 files changed, 11 insertions(+), 24 deletions(-),jmalvarezd,2,11,24
83, 1 file changed, 9 insertions(+), 26 deletions(-),jmcuestasb,1,9,26
84, 0 files changed,,,jmhurtadoc,0,0,0
85, 0 files changed,,,joahernandezca,0,0,0
86, 0 files changed,,,joaortizro,0,0,0
87, 2 files changed, 40 insertions(+), 64 deletions(-),jonatan360,2,40,64
88, 1 file changed, 17 insertions(+), 80 deletions(-),jorge52an,1,17,80
89, 1 file changed, 26 insertions(+), 3 deletions(-),JoseMolano,1,26,3
90, 2 files changed, 15 insertions(+), 50 deletions(-),jscastelblancoh,2,15,50
91, 1 file changed, 32 insertions(+), 3 deletions(-),jscontrerasp,1,32,3
92, 0 files changed,,,jsnarvaezb,0,0,0
93, 2 files changed, 6 insertions(+), 32 deletions(-),jsviveroj,2,6,32
94, 0 files changed,,,juandavidro,0,0,0
95, 1 file changed,,,juanescai,1,0,0
96, 0 files changed,,,JuanitoAli,0,0,0
97, 0 files changed,,,juasmartinezbel,0,0,0
98, 0 files changed,,,jucjimenezmo,0,0,0
99, 1 file changed, 125 deletions(-),,juclopezso,1,125,0
100, 2 files changed, 31 insertions(+), 45 deletions(-),Judgarciani,2,31,45
101, 0 files changed,,,jufcontrerasco,0,0,0
102, 2 files changed, 1 insertion(+), 1 deletion(-),JulianaNino,2,1,1
103, 1 file changed, 44 insertions(+), 44 deletions(-),juligarji,1,44,44
104, 1 file changed, 2 insertions(+), 2 deletions(-),jumcorredorro,1,2,2
105, 0 files changed,,,jusherrerama,0,0,0
106, 0 files changed,,,kancas,0,0,0
107, 3 files changed, 259 insertions(+), 371 deletions(-),katherinsb,3,259,371
108, 0 files changed,,,kgbayala528,0,0,0
109, 2 files changed, 77 insertions(+), 112 deletions(-),kmendezp96,2,77,112
110, 2 files changed, 38 insertions(+), 54 deletions(-),lacardenasv,2,38,54
111, 1 file changed, 1 insertion(+), 4 deletions(-),leavendanoro,1,1,4
112, 6 files changed, 62 insertions(+), 257 deletions(-),leguzman,6,62,257
113, 1 file changed, 2 insertions(+), 4 deletions(-),lemartinp,1,2,4
114, 2 files changed, 2 insertions(+), 5 deletions(-),lfvalderrama,2,2,5
115, 2 files changed, 65 insertions(+), 24 deletions(-),lgmoralesa,2,65,24
116, 0 files changed,,,li2266,0,0,0
117, 6 files changed, 2 insertions(+), 4 deletions(-),ligibrial,6,2,4
118, 2 files changed, 29 insertions(+), 66 deletions(-),lizzyt10h,2,29,66
119, 0 files changed,,,lsfinite,0,0,0
120, 0 files changed,,,luealfonsoru,0,0,0
121, 0 files changed,,,luegilca,0,0,0
122, 0 files changed,,,macuestap,0,0,0
123, 0 files changed,,,maikellPardo,0,0,0
124, 0 files changed,,,maikellPardoA,0,0,0
125, 0 files changed,,,mballeng91,0,0,0
126, 0 files changed,,,mdbelloc,0,0,0
127, 2 files changed, 10 insertions(+), 42 deletions(-),miaborjaac,2,10,42
128, 2 files changed, 81 insertions(+), 136 deletions(-),mnguzmanc,2,81,136
129, 0 files changed,,,MogGy94,0,0,0
130, 2 files changed, 36 insertions(+), 62 deletions(-),Moimolcp,2,36,62
131, 4 files changed, 2 insertions(+),,nabautistal,4,2,0
132, 2 files changed, 4 insertions(+), 243 deletions(-),ncampuzano,2,4,243
133, 0 files changed,,,nfmorenog,0,0,0
134, 4 files changed, 2 insertions(+), 4 deletions(-),NicolasPrr,4,2,4
135, 0 files changed,,,NicolasZon,0,0,0
136, 1 file changed, 2 insertions(+), 6 deletions(-),oacastillol,1,2,6
137, 0 files changed,,,odprietoh,0,0,0
138, 3 files changed, 43 insertions(+), 65 deletions(-),oeroaq,3,43,65
139, 0 files changed,,,ofnanezn,0,0,0
140, 2 files changed, 14 insertions(+), 27 deletions(-),oserasoa,2,14,27
141, 1 file changed, 2 insertions(+),,pcberriop,1,2,0
142, 0 files changed,,,Phoenixest,0,0,0
143, 0 files changed,,,pipemax85,0,0,0
144, 1 file changed, 19 deletions(-),,raulramirezp,1,19,0
145, 2 files changed, 3 insertions(+),,ronaldsg20,2,3,0
146, 1 file changed, 6 insertions(+), 11 deletions(-),sacastroc,1,6,11
147, 1 file changed, 15 insertions(+), 103 deletions(-),sagilm,1,15,103
148, 3 files changed, 858 insertions(+), 36 deletions(-),sarizag,3,858,36
149, 0 files changed,,,Semoralesga,0,0,0
150, 1 file changed, 26 insertions(+), 371 deletions(-),smarquezo,1,26,371
151, 0 files changed,,,spenas,0,0,0
152, 0 files changed,,,srmedinac,0,0,0
153, 1 file changed, 167 insertions(+), 22 deletions(-),stevenbustos,1,167,22
154, 0 files changed,,,tres-iqus,0,0,0
155, 0 files changed,,,UNhcrodriguezl,0,0,0
156, 0 files changed,,,uxjudges2,0,0,0
157, 2 files changed, 1 insertion(+), 4 deletions(-),wapiravaguens,2,1,4
158, 0 files changed,,,wilson911013,0,0,0
159, 0 files changed,,,wolfstain,0,0,0
160, 3 files changed, 8 insertions(+), 143 deletions(-),xdanielsb,3,8,143
161, 7 files changed, 110 insertions(+), 167 deletions(-),Yelis3,7,110,167
162, 2 files changed, 16 insertions(+), 66 deletions(-),ykchautai,2,16,66
163, 0 files changed,,,yocuervoc,0,0,0
164, 0 files changed,,,Zeugmax,0,0,0
