,change,addition,delete,username,change-revised,delete-revised,add-revised,bogota-3,bogota-2,bogota-1,bogota-0
9, 0 files changed,,,annipi,0,0,0,0,0,0,1
13, 2 files changed, 14 insertions(+), 9 deletions(-),bsgarciac,2,9,14,0,0,0,1
14, 20 files changed,,,camilo654,20,0,0,0,0,0,1
15, 7 files changed,,,camilo13152,7,0,0,0,0,0,1
16, 0 files changed,,,CamiloRueda,0,0,0,0,0,0,1
17, 5 files changed, 9 insertions(+), 97 deletions(-),cap182,5,97,9,0,0,0,1
18, 0 files changed,,,capinillab,0,0,0,0,0,0,1
22, 0 files changed,,,cdcordobaa,0,0,0,0,0,0,1
28, 0 files changed,,,CristianLozano,0,0,0,0,0,0,1
42, 1 file changed, 54 insertions(+), 65 deletions(-),DglyP,1,65,54,0,0,0,1
53, 0 files changed,,,fffeelipe,0,0,0,0,0,0,1
54, 6 files changed,,,fmbernalb,6,0,0,0,0,0,1
55, 2 files changed, 5 insertions(+), 16 deletions(-),gabi04,2,16,5,0,0,0,1
63, 2 files changed, 2 insertions(+), 7 deletions(-),hsmartineza,2,7,2,0,0,0,1
68, 0 files changed,,,janoguerab,0,0,0,0,0,0,1
69, 1 file changed, 1 insertion(+), 4 deletions(-),jcneivaa,1,4,1,0,0,0,1
72, 5 files changed, 2 insertions(+), 19 deletions(-),jdsolanos,5,19,2,0,0,0,1
73, 3 files changed, 173 insertions(+), 442 deletions(-),jdsuarezj,3,442,173,0,0,0,1
81, 0 files changed,,,jjrodriguezn,1,0,104,0,0,0,1
83, 7 files changed, 7 deletions(-),,jmcuestasb,7,0,7,0,0,0,1
89, 4 files changed, 19 insertions(+), 79 deletions(-),JoseMolano,4,79,19,0,0,0,1
94, 1 file changed, 127 insertions(+), 122 deletions(-),juandavidro,1,122,127,0,0,0,1
95, 1 file changed,,,juanescai,1,0,0,0,0,0,1
100, 2 files changed, 23 insertions(+), 85 deletions(-),Judgarciani,2,85,23,0,0,0,1
107, 0 files changed,,,katherinsb,0,0,0,0,0,0,1
111, 2 files changed, 8 insertions(+), 54 deletions(-),leavendanoro,2,54,8,0,0,0,1
114, 2 files changed, 5 insertions(+), 14 deletions(-),lfvalderrama,2,14,5,0,0,0,1
124, 1 file changed,,,maikellPardoA,1,0,0,0,0,0,1
128, 2 files changed, 6 insertions(+), 14 deletions(-),mnguzmanc,2,14,6,0,0,0,1
129, 0 files changed,,,MogGy94,0,0,0,0,0,0,1
130, 0 files changed,,,Moimolcp,0,0,0,0,0,0,1
135, 2 files changed, 3 insertions(+), 7 deletions(-),NicolasZon,2,7,3,0,0,0,1
137, 0 files changed,,,odprietoh,0,0,0,0,0,0,1
141, 1 file changed, 3 insertions(+), 1 deletion(-),pcberriop,1,1,3,0,0,0,1
143, 2 files changed, 31 insertions(+), 58 deletions(-),pipemax85,2,58,31,0,0,0,1
146, 1 file changed, 5 insertions(+), 10 deletions(-),sacastroc,1,10,5,0,0,0,1
155, 0 files changed,,,UNhcrodriguezl,0,0,0,0,0,0,1
163, 0 files changed,,,yocuervoc,0,0,0,0,0,0,1
