,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2,bogota-1,bogota-0
9, 0 files changed,,,annipi,0,0,0,0,0,0,1
13, 7 files changed,,,bsgarciac,7,0,0,0,0,0,1
14, 0 files changed,,,camilo654,0,0,0,0,0,0,1
15, 2 files changed, 21 insertions(+), 38 deletions(-),camilo13152,2,21,38,0,0,0,1
16, 0 files changed,,,CamiloRueda,0,0,0,0,0,0,1
17, 0 files changed,,,cap182,0,0,0,0,0,0,1
18, 0 files changed,,,capinillab,0,0,0,0,0,0,1
22, 0 files changed,,,cdcordobaa,0,0,0,0,0,0,1
28, 0 files changed,,,CristianLozano,0,0,0,0,0,0,1
42, 0 files changed,,,DglyP,0,0,0,0,0,0,1
53, 0 files changed,,,fffeelipe,0,0,0,0,0,0,1
54, 0 files changed,,,fmbernalb,0,0,0,0,0,0,1
55, 1 file changed,,,gabi04,1,0,0,0,0,0,1
63, 1 file changed, 30 insertions(+), 63 deletions(-),hsmartineza,1,30,63,0,0,0,1
69, 0 files changed,,,jcneivaa,0,0,0,0,0,0,1
72, 0 files changed,,,jdsolanos,0,0,0,0,0,0,1
73, 10 files changed, 74 insertions(+), 116 deletions(-),jdsuarezj,10,74,116,0,0,0,1
81, 1 file changed, 57 insertions(+), 98 deletions(-),jjrodriguezn,1,57,98,0,0,0,1
83, 1 file changed, 6 insertions(+), 9 deletions(-),jmcuestasb,1,6,9,0,0,0,1
89, 5 files changed, 3 insertions(+), 2 deletions(-),JoseMolano,5,3,2,0,0,0,1
94, 2 files changed, 318 insertions(+), 65 deletions(-),juandavidro,2,318,65,0,0,0,1
95, 1 file changed,,,juanescai,1,0,0,0,0,0,1
100, 3 files changed, 4 deletions(-),,Judgarciani,3,4,0,0,0,0,1
107, 0 files changed,,,katherinsb,0,0,0,0,0,0,1
111, 3 files changed, 52 insertions(+), 21 deletions(-),leavendanoro,3,52,21,0,0,0,1
114, 2 files changed, 131 insertions(+), 20 deletions(-),lfvalderrama,2,131,20,0,0,0,1
124, 0 files changed,,,maikellPardoA,0,0,0,0,0,0,1
128, 1 file changed, 31 insertions(+), 95 deletions(-),mnguzmanc,1,31,95,0,0,0,1
129, 0 files changed,,,MogGy94,0,0,0,0,0,0,1
130, 2 files changed, 15 insertions(+), 42 deletions(-),Moimolcp,2,15,42,0,0,0,1
135, 0 files changed,,,NicolasZon,0,0,0,0,0,0,1
137, 0 files changed,,,odprietoh,0,0,0,0,0,0,1
141, 2 files changed, 2 deletions(-),,pcberriop,2,2,0,0,0,0,1
143, 0 files changed,,,pipemax85,0,0,0,0,0,0,1
146, 7 files changed, 1 deletion(-),,sacastroc,7,1,0,0,0,0,1
155, 2 files changed,,,UNhcrodriguezl,2,0,0,0,0,0,1
163, 0 files changed,,,yocuervoc,0,0,0,0,0,0,1
