,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2,bogota-1
0,0 files changed,,,adamantwharf,0,0,0,0,0,1
5,3 files changed, 14 insertions(+), 83 deletions(-),aldiazve,3,14,83,0,0,1
6,0 files changed,,,andfsanchezlem,0,0,0,0,0,1
7,2 files changed, 32 insertions(+), 25 deletions(-),anfmorenoso,2,32,25,0,0,1
10,0 files changed,,,bdcajicam,0,0,0,0,0,1
25, 1 file changed, 5 insertions(+), 5 deletions(-),Christian7sr,1,5,5,0,0,1
27, 0 files changed,,,crigar,0,0,0,0,0,1
30, 0 files changed,,,daandradec,0,0,0,0,0,1
34, 0 files changed,,,dasalgadob,0,0,0,0,0,1
41, 0 files changed,,,dfhincapiem,0,0,0,0,0,1
44, 9 files changed,,,diegoaguevarar,9,0,0,0,0,1
46, 0 files changed,,,djguzmanc,0,0,0,0,0,1
48, 2 files changed, 53 insertions(+), 20 deletions(-),dsbarrerag,2,53,20,0,0,1
50, 4 files changed, 49 insertions(+), 346 deletions(-),falperezgo,4,49,346,0,0,1
52, 2 files changed, 32 insertions(+), 19 deletions(-),fevargasmo,2,32,19,0,0,1
57, 1 file changed, 3 insertions(+), 3 deletions(-),gasierram,1,3,3,0,0,1
58, 12 files changed, 9 insertions(+), 15 deletions(-),gcantem,12,9,15,0,0,1
59, 3 files changed, 3 insertions(+), 8 deletions(-),gfalbarracinr,3,3,8,0,0,1
60, 0 files changed,,,gsuarezc04,0,0,0,0,0,1
62, 1 file changed, 3 insertions(+), 5 deletions(-),helmeraac,1,3,5,0,0,1
65, 0 files changed,,,ItsNavi,0,0,0,0,0,1
66, 1 file changed, 1 insertion(+), 3 deletions(-),ivdgonzalezco,1,1,3,0,0,1
67, 4 files changed, 9 insertions(+), 111 deletions(-),JairVillalba,4,9,111,0,0,1
70, 0 files changed,,,jcrubioa,0,0,0,0,0,1
74, 2 files changed, 9 insertions(+), 35 deletions(-),jesusfchavarro,2,9,35,0,0,1
79, 2 files changed, 3 insertions(+), 35 deletions(-),jiapulidoar,2,3,35,0,0,1
84, 0 files changed,,,jmhurtadoc,0,0,0,0,0,1
85, 0 files changed,,,joahernandezca,0,0,0,0,0,1
87, 2 files changed, 40 insertions(+), 64 deletions(-),jonatan360,2,40,64,0,0,1
92, 0 files changed,,,jsnarvaezb,0,0,0,0,0,1
93, 2 files changed, 6 insertions(+), 32 deletions(-),jsviveroj,2,6,32,0,0,1
101, 0 files changed,,,jufcontrerasco,0,0,0,0,0,1
123, 0 files changed,,,maikellPardo,0,0,0,0,0,1
127, 2 files changed, 10 insertions(+), 42 deletions(-),miaborjaac,2,10,42,0,0,1
131, 4 files changed, 2 insertions(+),,nabautistal,4,2,0,0,0,1
138, 3 files changed, 43 insertions(+), 65 deletions(-),oeroaq,3,43,65,0,0,1
149, 0 files changed,,,Semoralesga,0,0,0,0,0,1
153, 1 file changed, 167 insertions(+), 22 deletions(-),stevenbustos,1,167,22,0,0,1
159, 0 files changed,,,wolfstain,0,0,0,0,0,1
164, 0 files changed,,,Zeugmax,0,0,0,0,0,1
