,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2
11,0 files changed,,,bdvegat,0,0,0,0,1
12,0 files changed,,,begarzonf,0,0,0,0,1
21, 2 files changed, 19 insertions(+), 57 deletions(-),ccvacad,2,19,57,0,1
23, 0 files changed,,,cesarochoa2006,0,0,0,0,1
26, 0 files changed,,,crarojasca,0,0,0,0,1
29, 0 files changed,,,CSebasGomez,0,0,0,0,1
32, 0 files changed,,,Dandarprox,0,0,0,0,1
37, 0 files changed,,,davidrh195,0,0,0,0,1
38, 1 file changed, 1 deletion(-),,Davsatu313,1,1,0,0,1
40, 2 files changed, 6 insertions(+), 8 deletions(-),debeltranc,2,6,8,0,1
45, 0 files changed,,,diegocruz10,0,0,0,0,1
49, 2 files changed, 18 insertions(+), 11 deletions(-),fabianr23,2,18,11,0,1
56, 0 files changed,,,Gantiva,0,0,0,0,1
61, 0 files changed,,,HashNick,0,0,0,0,1
64, 0 files changed,,,idrojasf,0,0,0,0,1
75, 0 files changed,,,jhcardenasa,0,0,0,0,1
77, 0 files changed,,,jhonsd1996,0,0,0,0,1
78, 10 files changed,,,jhriverasa,10,0,0,0,1
80, 1 file changed,,,jjmuesesq,1,0,0,0,1
91, 1 file changed, 32 insertions(+), 3 deletions(-),jscontrerasp,1,32,3,0,1
96, 0 files changed,,,JuanitoAli,0,0,0,0,1
97, 0 files changed,,,juasmartinezbel,0,0,0,0,1
98, 0 files changed,,,jucjimenezmo,0,0,0,0,1
102, 2 files changed, 1 insertion(+), 1 deletion(-),JulianaNino,2,1,1,0,1
105, 0 files changed,,,jusherrerama,0,0,0,0,1
106, 0 files changed,,,kancas,0,0,0,0,1
109, 2 files changed, 77 insertions(+), 112 deletions(-),kmendezp96,2,77,112,0,1
112, 6 files changed, 62 insertions(+), 257 deletions(-),leguzman,6,62,257,0,1
117, 6 files changed, 2 insertions(+), 4 deletions(-),ligibrial,6,2,4,0,1
119, 0 files changed,,,lsfinite,0,0,0,0,1
120, 0 files changed,,,luealfonsoru,0,0,0,0,1
121, 0 files changed,,,luegilca,0,0,0,0,1
126, 0 files changed,,,mdbelloc,0,0,0,0,1
140, 2 files changed, 14 insertions(+), 27 deletions(-),oserasoa,2,14,27,0,1
142, 0 files changed,,,Phoenixest,0,0,0,0,1
144, 1 file changed, 19 deletions(-),,raulramirezp,1,19,0,0,1
147, 1 file changed, 15 insertions(+), 103 deletions(-),sagilm,1,15,103,0,1
154, 0 files changed,,,tres-iqus,0,0,0,0,1
160, 3 files changed, 8 insertions(+), 143 deletions(-),xdanielsb,3,8,143,0,1
161, 7 files changed, 110 insertions(+), 167 deletions(-),Yelis3,7,110,167,0,1
162, 2 files changed, 16 insertions(+), 66 deletions(-),ykchautai,2,16,66,0,1
