,change,addition,delete,username,change-revised,delete-revised,add-revised,bogota-3
1, 2 files changed,,,adriel62,2,0,0,1
2, 20 files changed, 25 insertions(+), 203 deletions(-),afceballosr,20,203,25,1
3, 0 files changed,,,AFelipeGA,0,0,0,1
4, 5 files changed, 10 insertions(+), 132 deletions(-),afforeroc,5,132,10,1
19, 2 files changed, 88 insertions(+), 172 deletions(-),capinzor,2,172,88,1
20, 0 files changed,,,cccristanchoc,0,0,0,1
24, 1 file changed, 1 insertion(+), 37 deletions(-),Chranium,1,37,1,1
31, 0 files changed,,,dagofonseca,0,0,0,1
33, 0 files changed,,,Danielsv9207,0,0,0,1
35, 2 files changed, 3 insertions(+), 3 deletions(-),davidh17,2,3,3,1
36, 3 files changed, 146 insertions(+), 259 deletions(-),DavidQP,3,259,146,1
39, 2 files changed, 23 insertions(+), 21 deletions(-),dduartec,2,21,23,1
43, 0 files changed,,,DianaNavarrete,0,0,0,1
51, 2 files changed, 6 insertions(+), 79 deletions(-),feartheGru,2,79,6,1
71, 0 files changed,,,jdmonroyg,0,0,0,1
76, 1 file changed,,,JhonEmmanuelTorres,1,0,0,1
82, 2 files changed, 55 insertions(+), 85 deletions(-),jmalvarezd,2,85,55,1
88, 1 file changed, 5 insertions(+), 23 deletions(-),jorge52an,1,23,5,1
90, 3 files changed, 12 insertions(+), 28 deletions(-),jscastelblancoh,3,28,12,1
99, 1 file changed, 300 insertions(+), 25 deletions(-),juclopezso,1,25,300,1
103, 1 file changed, 18 insertions(+), 129 deletions(-),juligarji,1,129,18,1
104, 0 files changed,,,jumcorredorro,0,0,0,1
108, 2 files changed, 37 insertions(+), 67 deletions(-),kgbayala528,2,67,37,1
110, 2 files changed, 21 insertions(+), 13 deletions(-),lacardenasv,2,13,21,1
113, 4 files changed, 9 insertions(+), 76 deletions(-),lemartinp,4,76,9,1
115, 5 files changed, 34 insertions(+), 30 deletions(-),lgmoralesa,5,30,34,1
118, 4 files changed, 13 insertions(+), 11 deletions(-),lizzyt10h,4,11,13,1
122, 5 files changed,,,macuestap,5,0,0,1
125, 0 files changed,,,mballeng91,0,0,0,1
132, 9 files changed, 40 insertions(+), 198 deletions(-),ncampuzano,9,198,40,1
133, 2 files changed, 5 insertions(+), 16 deletions(-),nfmorenog,2,16,5,1
134, 0 files changed,,,NicolasPrr,0,0,0,1
136, 3 files changed, 14 insertions(+), 48 deletions(-),oacastillol,3,48,14,1
139, 2 files changed, 8 insertions(+), 1 deletion(-),ofnanezn,2,1,8,1
145, 0 files changed,,,ronaldsg20,0,0,0,1
148, 2 files changed, 15 insertions(+), 56 deletions(-),sarizag,2,56,15,1
150, 1 file changed, 5 insertions(+), 74 deletions(-),smarquezo,1,74,5,1
151, 5 files changed, 83 insertions(+), 59 deletions(-),spenas,5,59,83,1
152, 6 files changed, 48 insertions(+), 228 deletions(-),srmedinac,6,228,48,1
157, 2 files changed, 26 insertions(+), 58 deletions(-),wapiravaguens,2,58,26,1
158, 1 file changed,,,wilson911013,1,0,0,1
