,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3
1,3 files changed, 21 insertions(+), 88 deletions(-),adriel62,3,21,88,1
2, 2 files changed, 8 insertions(+), 23 deletions(-),afceballosr,2,8,23,1
3, 0 files changed,,,AFelipeGA,0,0,0,1
4, 0 files changed,,,afforeroc,0,0,0,1
19, 1 file changed, 135 insertions(+), 149 deletions(-),capinzor,1,135,149,1
20, 0 files changed,,,cccristanchoc,0,0,0,1
24, 0 files changed,,,Chranium,0,0,0,1
31, 9 files changed, 31 insertions(+), 70 deletions(-),dagofonseca,9,31,70,1
33, 0 files changed,,,Danielsv9207,0,0,0,1
35, 4 files changed, 51 insertions(+), 136 deletions(-),davidh17,4,51,136,1
36, 2 files changed, 53 insertions(+), 49 deletions(-),DavidQP,2,53,49,1
39, 2 files changed, 7 insertions(+), 7 deletions(-),dduartec,2,7,7,1
43, 0 files changed,,,DianaNavarrete,0,0,0,1
51, 0 files changed,,,feartheGru,0,0,0,1
71, 0 files changed,,,jdmonroyg,0,0,0,1
76, 0 files changed,,,JhonEmmanuelTorres,0,0,0,1
82, 2 files changed, 5 insertions(+), 10 deletions(-),jmalvarezd,2,5,10,1
88, 1 file changed, 8 insertions(+), 11 deletions(-),jorge52an,1,8,11,1
90, 1 file changed, 40 insertions(+), 107 deletions(-),jscastelblancoh,1,40,107,1
99, 0 files changed,,,juclopezso,0,0,0,1
103, 3 files changed, 133 insertions(+), 253 deletions(-),juligarji,3,133,253,1
104, 1 file changed, 29 insertions(+), 34 deletions(-),jumcorredorro,1,29,34,1
108, 2 files changed, 8 insertions(+), 88 deletions(-),kgbayala528,2,8,88,1
110, 3 files changed, 2 insertions(+), 51 deletions(-),lacardenasv,3,2,51,1
113, 0 files changed,,,lemartinp,0,0,0,1
115, 2 files changed, 26 insertions(+), 48 deletions(-),lgmoralesa,2,26,48,1
118, 3 files changed,,,lizzyt10h,3,0,0,1
122, 2 files changed, 8 insertions(+), 6 deletions(-),macuestap,2,8,6,1
125, 0 files changed,,,mballeng91,0,0,0,1
132, 14 files changed, 188 insertions(+), 21 deletions(-),ncampuzano,14,188,21,1
133, 1 file changed, 5 insertions(+), 5 deletions(-),nfmorenog,1,5,5,1
134, 0 files changed,,,NicolasPrr,0,0,0,1
136, 2 files changed, 1 insertion(+), 12 deletions(-),oacastillol,2,1,12,1
139, 2 files changed, 14 insertions(+), 6 deletions(-),ofnanezn,2,14,6,1
145, 6 files changed, 20 insertions(+), 91 deletions(-),ronaldsg20,6,20,91,1
148, 0 files changed,,,sarizag,0,0,0,1
150, 0 files changed,,,smarquezo,0,0,0,1
151, 0 files changed,,,spenas,0,0,0,1
152, 1 file changed, 2 insertions(+), 2 deletions(-),srmedinac,1,2,2,1
157, 2 files changed, 13 insertions(+), 18 deletions(-),wapiravaguens,2,13,18,1
158, 0 files changed,,,wilson911013,0,0,0,1
