Student,,,Total Score,,
lfvalderrama,,,352.92,,
Judgarciani,,,325,,
bsgarciac,,,320.83,,
Moimolcp,,,304.17,,
mnguzmanc,,,290,,
JoseMolano,,,276.67,,
jdsuarezj,,,272.5,,
capinillab,,,264.17,,
UNhcrodriguezl,,,263.33,,
jjrodriguezn,,,255.83,,
jmcuestasb,,,254.17,,
annumumozme,,,237.5,,
sacastroc,,,226.25,,
camilo13152,,,222.5,,
leavendanoro,,,206.67,,
fffeelipe,,,199.17,,
camilo654,,,199.17,,
DglyP,,,195,,
pcberriop,,,195,,
cdcordobaa,,,190.83,,
hsmartineza,,,180.83,,
gabi04,,,157.5,,
juandavidro,,,153.33,,
katherinsb,,,136.67,,
pipemax85,,,115.83,,
Januguerab,,,111.67,,
CristianLozano,,,90.83,,
maikellPardoA,,,87.5,,
NicolasZon,,,87.5,,
CamiloRueda,,,54.17,,
juanescai,,,50,,
cap182,,,49.17,,
annipi,,,0,,
jdsolanos,,,0,,
jcneivaa,,,0,,
fmbernalb,,,0,,
MogGy94,,,0,,
yocuervoc,,,0,,
odprietoh,,,0,,
