Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
begarzonf,,,Bogota-Hack-2-2017,,,begarzonf,,,174.17,,,66.67,,,3rd Phase,,
cesarochoa2006,,,Bogota-Hack-2-2017,,,cesarochoa2006,,,276.67,,,85.71,,,3rd Phase,,
crarojasca,,,Bogota-Hack-2-2017,,,crarojasca,,,45,,,11.9,,,3rd Phase,,
Dandarprox,,,Bogota-Hack-2-2017,,,Dandarprox,,,135.83,,,52.38,,,3rd Phase,,
Davsatu313,,,Bogota-Hack-2-2017,,,Davsatu313,,,320.83,,,95.24,,,3rd Phase,,
debeltranc,,,Bogota-Hack-2-2017,,,debeltranc,,,100,,,23.81,,,3rd Phase,,
diegocruz10,,,Bogota-Hack-2-2017,,,diegocruz10,,,111.67,,,35.71,,,3rd Phase,,
fabianr23,,,Bogota-Hack-2-2017,,,fabianr23,,,358.33,,,97.62,,,3rd Phase,,
Gantiva,,,Bogota-Hack-2-2017,,,Gantiva,,,229.17,,,73.81,,,3rd Phase,,
idrojasf,,,Bogota-Hack-2-2017,,,idrojasf,,,155.83,,,64.29,,,3rd Phase,,
jhonsd1996,,,Bogota-Hack-2-2017,,,jhonsd1996,,,153.33,,,61.9,,,3rd Phase,,
jhriverasa,,,Bogota-Hack-2-2017,,,jhriverasa,,,312.5,,,92.86,,,3rd Phase,,
jjmuesesq,,,Bogota-Hack-2-2017,,,jjmuesesq,,,79.17,,,16.67,,,3rd Phase,,
jscontrerasp,,,Bogota-Hack-2-2017,,,joaortizro,,,305,,,90.48,,,3rd Phase,,
JuanitoAli,,,Bogota-Hack-2-2017,,,JuanitoAli,,,255,,,80.95,,,3rd Phase,,
juasmartinezbel,,,Bogota-Hack-2-2017,,,juasmartinezbel,,,293.33,,,88.1,,,3rd Phase,,
jucjimenezmo,,,Bogota-Hack-2-2017,,,jucjimenezmo,,,100.33,,,28.57,,,3rd Phase,,
JulianaNino,,,Bogota-Hack-2-2017,,,JulianaNino,,,124.17,,,47.62,,,3rd Phase,,
jusherrerama,,,Bogota-Hack-2-2017,,,jusherrerama,,,120,,,38.1,,,3rd Phase,,
kancas,,,Bogota-Hack-2-2017,,,kancas,,,230.83,,,76.19,,,3rd Phase,,
kmendezp96,,,Bogota-Hack-2-2017,,,kmendezp96,,,235.83,,,78.57,,,3rd Phase,,
leguzman,,,Bogota-Hack-2-2017,,,leguzman,,,150,,,59.52,,,3rd Phase,,
ligibrial,,,Bogota-Hack-2-2017,,,ligibrial,,,120.83,,,40.48,,,3rd Phase,,
luealfonsoru,,,Bogota-Hack-2-2017,,,luealfonsoru,,,145.83,,,54.76,,,3rd Phase,,
luegilca,,,Bogota-Hack-2-2017,,,luegilca,,,120.83,,,40.48,,,3rd Phase,,
mdbelloc,,,Bogota-Hack-2-2017,,,mdbelloc,,,133.33,,,50,,,3rd Phase,,
oserasoa,,,Bogota-Hack-2-2017,,,oserasoa,,,124.17,,,45.24,,,3rd Phase,,
Phoenixest,,,Bogota-Hack-2-2017,,,Phoenixest,,,95,,,19.05,,,3rd Phase,,
sagilm,,,Bogota-Hack-2-2017,,,sagilm,,,145.83,,,54.76,,,3rd Phase,,
xdanielsb,,,Bogota-Hack-2-2017,,,xdanielsb,,,75,,,14.29,,,3rd Phase,,
Yelis3,,,Bogota-Hack-2-2017,,,Yelis3,,,268.33,,,83.33,,,3rd Phase,,
ykchautai,,,Bogota-Hack-2-2017,,,ykchautai,,,195,,,69.05,,,3rd Phase,,
