Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
oeroaq,,,Bogota-Hack-1-2017,,,oeroaq,,,357.5,,,97.67,,,5th Phase,,
jonatan360,,,Bogota-Hack-1-2017,,,jonatan360,,,352.5,,,95.35,,,5th Phase,,
jesusfchavarro,,,Bogota-Hack-1-2017,,,jesusfchavarro,,,345,,,93.02,,,5th Phase,,
daandradec,,,Bogota-Hack-1-2017,,,daandradec,,,336.67,,,90.7,,,5th Phase,,
djguzmanc,,,Bogota-Hack-1-2017,,,djguzmanc,,,334.17,,,88.37,,,5th Phase,,
jsviveroj,,,Bogota-Hack-1-2017,,,jsviveroj,,,331.67,,,86.05,,,5th Phase,,
dsbarrerag,,,Bogota-Hack-1-2017,,,dsbarrerag,,,330,,,83.72,,,5th Phase,,
miaborjaac,,,Bogota-Hack-1-2017,,,miaborjaac,,,323.33,,,81.4,,,5th Phase,,
diegoaguevarar,,,Bogota-Hack-1-2017,,,diegoaguevarar,,,317.5,,,79.07,,,5th Phase,,
ivdgonzalezco,,,Bogota-Hack-1-2017,,,ivdgonzalezco,,,312.5,,,76.74,,,5th Phase,,
jiapulidoar,,,Bogota-Hack-1-2017,,,jiapulidoar,,,310,,,74.42,,,5th Phase,,
gcantem,,,Bogota-Hack-1-2017,,,gcantem,,,283.33,,,72.09,,,5th Phase,,
jufcontrerasco,,,Bogota-Hack-1-2017,,,jufcontrerasco,,,264.17,,,69.77,,,5th Phase,,
jcrubioa,,,Bogota-Hack-1-2017,,,jcrubioa,,,246.25,,,67.44,,,5th Phase,,
fevargasmo,,,Bogota-Hack-1-2017,,,fevargasmo,,,240,,,65.12,,,5th Phase,,
aldiazve,,,Bogota-Hack-1-2017,,,aldiazve,,,236.67,,,62.79,,,5th Phase,,
falperezgo,,,Bogota-Hack-1-2017,,,falperezgo,,,228.33,,,60.47,,,5th Phase,,
anfmorenoso,,,Bogota-Hack-1-2017,,,anfmorenoso,,,217.5,,,58.14,,,5th Phase,,
jsnarvaezb,,,Bogota-Hack-1-2017,,,jsnarvaezb,,,211.67,,,55.81,,,5th Phase,,
bdcajicam,,,Bogota-Hack-1-2017,,,bdcajicam,,,206.67,,,53.49,,,5th Phase,,
stevenbustos,,,Bogota-Hack-1-2017,,,stevenbustos,,,198.33,,,51.16,,,5th Phase,,
wolfstain,,,Bogota-Hack-1-2017,,,wolfstain,,,197.08,,,48.84,,,5th Phase,,
nabautistal,,,Bogota-Hack-1-2017,,,nabautistal,,,195,,,46.51,,,5th Phase,,
gasierram,,,Bogota-Hack-1-2017,,,gasierram,,,190,,,44.19,,,5th Phase,,
Semoralesga,,,Bogota-Hack-1-2017,,,Semoralesga,,,165.83,,,41.86,,,5th Phase,,
joahernandezca,,,Bogota-Hack-1-2017,,,joahernandezca,,,161.67,,,39.53,,,5th Phase,,
Christian7sr,,,Bogota-Hack-1-2017,,,Christian7sr,,,124.17,,,37.21,,,5th Phase,,
jmhurtadoc,,,Bogota-Hack-1-2017,,,jmhurtadoc,,,120.83,,,34.88,,,5th Phase,,
adamantwharf,,,Bogota-Hack-1-2017,,,adamantwharf,,,107.5,,,30.23,,,5th Phase,,
dfhincapiem,,,Bogota-Hack-1-2017,,,dfhincapiem,,,107.5,,,30.23,,,5th Phase,,
dasalgadob,,,Bogota-Hack-1-2017,,,dasalgadob,,,100,,,25.58,,,5th Phase,,
gfalbarracinr,,,Bogota-Hack-1-2017,,,gfalbarracinr,,,100,,,25.58,,,5th Phase,,
helmeraac,,,Bogota-Hack-1-2017,,,helmeraac,,,87.5,,,23.26,,,5th Phase,,
crigar,,,Bogota-Hack-1-2017,,,crigar,,,82.5,,,20.93,,,5th Phase,,
JairVillalba,,,Bogota-Hack-1-2017,,,JairVillalba,,,75,,,18.6,,,5th Phase,,
maikellPardo,,,Bogota-Hack-1-2017,,,maikellPardo,,,62.5,,,16.28,,,5th Phase,,
gsuarezc04,,,Bogota-Hack-1-2017,,,gsuarezc04,,,50,,,13.95,,,5th Phase,,
andfsanchezlem,,,Bogota-Hack-1-2017,,,andfsanchezlem,,,45,,,11.63,,,5th Phase,,
ItsNavi,,,Bogota-Hack-1-2017,,,ItsNavi,,,0,,,0,,,5th Phase,,
Zeugmax,,,Bogota-Hack-1-2017,,,Zeugmax,,,0,,,0,,,5th Phase,,
kastellanos,,,Bogota-Hack-1-2017,,,kastellanos,,,0,,,0,,,5th Phase,,
