Student,,,Total Score,,
capinillab,,,247.5,,
bsgarciac,,,231.67,,
mnguzmanc,,,220,,
sacastroc,,,203.33,,
camilo654,,,195,,
UNhcrodriguezl,,,190.83,,
cdcordobaa,,,190.83,,
fffeelipe,,,172.5,,
pcberriop,,,165.83,,
JoseMolano,,,145.83,,
lfvalderrama,,,141.67,,
jmcuestasb,,,140.83,,
juandavidro,,,128.33,,
jdsuarezj,,,125,,
DglyP,,,123.33,,
Moimolcp,,,120.83,,
leavendanoro,,,112.5,,
jjrodriguezn,,,111.67,,
annumumozme,,,103.33,,
CristianLozano,,,103.33,,
pipemax85,,,103.33,,
camilo13152,,,103.33,,
NicolasZon,,,100,,
maikellPardoA,,,87.5,,
Judgarciani,,,86.67,,
hsmartineza,,,86.67,,
Januguerab,,,86.67,,
CamiloRueda,,,62.5,,
juanescai,,,62.5,,
odprietoh,,,62.5,,
gabi04,,,62.5,,
cap182,,,33.33,,
annipi,,,12.5,,
katherinsb,,,12.5,,
jdsolanos,,,12.5,,
jcneivaa,,,12.5,,
fmbernalb,,,12.5,,
MogGy94,,,12.5,,
yocuervoc,,,12.5,,
