,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,tech-phase5,total-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1
0,lemartinp,3,100,54.17,87.5,87.5,329.17,87.5,80,58.33,75,300.83,62.5,20,54.17,0,136.67,62.5,40,29.17,0,131.67,25,0,33.33,0,58.33
1,juligarji,3,100,75,92.5,87.5,355.0,100,100,70.83,87.5,358.33,87.5,20,33.33,62.5,203.33,87.5,40,45.83,68.75,242.08,50,20,29.17,62.5,161.67
2,nfmorenog,3,0,37.5,15,75,127.5,75,0,33.33,12.5,120.83,75,0,33.33,25,133.33,75,0,33.33,25,133.33,50,0,29.17,25,104.17
3,AFelipeGA,3,40,37.5,56.25,87.5,221.25,75,40,37.5,0,152.5,75,40,37.5,0,152.5,75,40,37.5,0,152.5,12.5,0,25,0,37.5
4,mballeng91,3,0,25,25,62.5,112.5,62.5,0,25,25,112.5,50,0,25,25,100.0,50,0,25,25,100.0,0,0,0,0,0.0
5,dduartec,3,80,83.33,95,87.5,345.83,87.5,0,0,0,87.5,87.5,80,62.5,75,305.0,87.5,100,70.83,75,333.33,,0,41.67,0,41.67
6,srmedinac,3,20,33.33,0,75,128.33,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,25,0,0,0,25.0
7,wilson911013,3,0,25,0,50,75.0,37.5,20,25,0,82.5,37.5,20,33.33,0,90.83,37.5,20,33.33,0,90.83,12.5,20,45.83,0,78.33
8,wapiravaguens,3,80,75,72.5,100,327.5,62.5,80,75,0,217.5,62.5,80,50,0,192.5,62.5,80,50,0,192.5,62.5,60,54.17,62.5,239.17
9,davidh17,3,20,45.83,56.25,87.5,209.58,75,0,0,0,75.0,62.5,100,58.33,0,220.83,62.5,100,58.33,25,245.83,37.5,60,58.33,0,155.83
10,DianaNavarrete,3,20,62.5,25,37.5,145.0,37.5,20,58.33,0,115.83,37.5,60,50,0,147.5,50,20,58.33,0,128.33,37.5,0,62.5,0,100.0
11,jdmonroyg,3,0,25,25,25,75.0,0,,,,0.0,0,,,,0.0,12.5,,,,12.5,0,,,,0.0
12,jorge52an,3,100,50,60,100,310.0,75,60,33.33,75,243.33,75,0,25,62.5,162.5,75,0,25,87.5,187.5,50,20,29.17,0,99.17
13,jscastelblancoh,3,100,83.33,100,75,358.33,75,100,66.67,75,316.67,75,60,33.33,62.5,230.83,75,60,41.67,87.5,264.17,50,60,29.17,62.5,201.67
14,juclopezso,3,60,50,81.25,87.5,278.75,62.5,60,29.17,0,151.67,62.5,20,29.17,0,111.67,62.5,20,29.17,0,111.67,25,20,25,0,70.0
15,afforeroc,3,20,29.17,50,62.5,161.67,50,20,29.17,0,99.17,50,20,33.33,0,103.33,50,20,33.33,0,103.33,12.5,20,33.33,0,65.83
16,dagofonseca,3,40,37.5,66.67,87.5,231.67,87.5,40,37.5,100,265.0,50,40,37.5,100,227.5,50,40,25,75,190.0,12.5,20,25,0,57.5
17,lacardenasv,3,100,75,75,100,350.0,87.5,60,37.5,75,260.0,87.5,60,54.17,75,264.17,62.5,60,54.17,87.5,264.17,62.5,20,29.17,75,186.67
18,oacastillol,3,60,62.5,37.5,75,235.0,62.5,0,33.33,25,120.83,62.5,0,33.33,25,120.83,62.5,0,29.17,25,116.67,,0,29.17,62.5,91.67
19,ncampuzano,3,20,45.83,50,87.5,203.33,62.5,20,37.5,25,145.0,62.5,0,29.17,25,116.67,50,20,29.17,25,124.17,0,0,29.17,62.5,91.67
