,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5
0,4.0,2.0,0.0,5.0,6.0
1,4.0,1.0,3.0,3.0,4.0
2,6.0,3.0,5.0,2.0,5.0
3,2.0,2.0,4.0,2.0,5.0
4,3.0,3.0,3.0,3.0,4.0
5,5.0,1.0,2.0,6.0,6.0
6,4.0,1.0,5.0,3.0,5.0
7,0.0,0.0,0.0,0.0,0.0
8,4.0,3.0,4.0,4.0,5.0
9,3.0,2.0,4.0,2.0,5.0
10,2.0,3.0,2.0,3.0,4.0
11,1.0,1.0,3.0,3.0,4.0
12,2.0,1.0,3.0,1.0,4.0
13,5.0,1.0,6.0,5.0,6.0
14,3.0,4.0,4.0,4.0,4.0
15,2.0,2.0,5.0,3.0,6.0
16,6.0,3.0,3.0,3.0,4.0
17,3.0,3.0,3.0,3.0,3.0
18,5.0,4.0,5.0,3.0,5.0
19,0.0,0.0,0.0,0.0,0.0
20,4.0,3.0,3.0,4.0,4.0
21,2.0,2.0,4.0,3.0,4.0
22,3.0,1.0,4.0,1.0,5.0
23,5.0,5.0,5.0,5.0,6.0
24,4.0,6.0,5.0,5.0,5.0
25,4.0,1.0,2.0,2.0,3.0
26,3.0,4.0,3.0,4.0,6.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,5.0,1.0,5.0,2.0,5.0
30,1.0,3.0,2.0,0.0,4.0
31,2.0,0.0,5.0,0.0,4.0
32,5.0,2.0,5.0,2.0,5.0
33,4.0,2.0,4.0,2.0,5.0
34,2.0,1.0,5.0,2.0,6.0
35,3.0,2.0,4.0,2.0,3.0
36,0.0,0.0,2.0,2.0,5.0
37,5.0,2.0,2.0,4.0,5.0
38,5.0,5.0,6.0,6.0,6.0
39,6.0,4.0,5.0,5.0,5.0
40,0.0,0.0,0.0,0.0,0.0
41,1.0,0.0,2.0,0.0,5.0
42,3.0,1.0,3.0,1.0,5.0
43,6.0,1.0,4.0,4.0,4.0
44,5.0,6.0,4.0,6.0,5.0
45,4.0,3.0,4.0,5.0,5.0
46,5.0,5.0,5.0,5.0,5.0
47,0.0,1.0,3.0,0.0,4.0
48,0.0,3.0,5.0,4.0,5.0
49,4.0,4.0,3.0,3.0,3.0
50,3.0,3.0,3.0,3.0,3.0
51,5.0,3.0,5.0,4.0,5.0
52,5.0,4.0,6.0,6.0,6.0
53,5.0,4.0,5.0,6.0,6.0
54,5.0,4.0,5.0,5.0,5.0
55,1.0,5.0,4.0,1.0,4.0
56,2.0,0.0,5.0,0.0,5.0
57,1.0,4.0,3.0,1.0,5.0
58,6.0,4.0,6.0,6.0,6.0
59,0.0,0.0,3.0,0.0,4.0
60,3.0,3.0,4.0,3.0,4.0
61,4.0,4.0,4.0,4.0,4.0
62,3.0,3.0,3.0,3.0,3.0
63,2.0,0.0,4.0,0.0,3.0
64,4.0,2.0,5.0,1.0,5.0
65,5.0,1.0,6.0,3.0,6.0
66,5.0,4.0,5.0,4.0,6.0
67,5.0,5.0,6.0,3.0,6.0
68,6.0,6.0,6.0,6.0,6.0
69,3.0,2.0,5.0,3.0,6.0
70,2.0,0.0,0.0,0.0,2.0
71,4.0,5.0,3.0,3.0,5.0
72,4.0,5.0,5.0,5.0,5.0
73,3.0,3.0,5.0,4.0,5.0
74,2.0,3.0,4.0,4.0,6.0
75,1.0,0.0,5.0,0.0,5.0
76,2.0,2.0,4.0,2.0,4.0
77,2.0,3.0,2.0,3.0,4.0
78,6.0,1.0,5.0,0.0,5.0
79,6.0,6.0,6.0,6.0,6.0
80,3.0,1.0,2.0,1.0,4.0
81,0.0,0.0,0.0,0.0,0.0
82,3.0,3.0,3.0,3.0,5.0
83,1.0,0.0,4.0,1.0,5.0
84,0.0,0.0,6.0,0.0,6.0
85,2.0,1.0,4.0,2.0,5.0
86,1.0,3.0,1.0,1.0,3.0
87,1.0,1.0,4.0,1.0,5.0
88,3.0,3.0,3.0,2.0,3.0
89,3.0,3.0,3.0,3.0,3.0
90,5.0,3.0,6.0,3.0,6.0
91,2.0,0.0,5.0,0.0,5.0
92,3.0,1.0,4.0,4.0,5.0
93,4.0,1.0,4.0,1.0,5.0
94,5.0,4.0,5.0,4.0,5.0
95,1.0,2.0,3.0,2.0,4.0
96,4.0,5.0,5.0,4.0,5.0
97,4.0,5.0,6.0,1.0,5.0
98,2.0,4.0,5.0,1.0,6.0
99,1.0,0.0,6.0,0.0,5.0
100,0.0,0.0,4.0,0.0,5.0
101,3.0,3.0,3.0,3.0,3.0
102,0.0,0.0,4.0,0.0,5.0
103,4.0,2.0,3.0,3.0,2.0
104,2.0,2.0,4.0,0.0,5.0
105,3.0,1.0,5.0,1.0,5.0
106,4.0,4.0,4.0,4.0,4.0
107,5.0,5.0,5.0,5.0,5.0
108,4.0,4.0,2.0,4.0,4.0
109,3.0,1.0,5.0,1.0,4.0
110,1.0,0.0,6.0,1.0,6.0
111,2.0,0.0,5.0,4.0,6.0
112,3.0,2.0,5.0,2.0,5.0
113,4.0,4.0,5.0,1.0,5.0
114,5.0,1.0,5.0,1.0,5.0
115,5.0,1.0,5.0,2.0,6.0
116,4.0,4.0,4.0,4.0,4.0
117,3.0,4.0,5.0,1.0,5.0
118,3.0,3.0,3.0,3.0,3.0
119,6.0,1.0,5.0,3.0,6.0
120,5.0,5.0,5.0,5.0,5.0
121,4.0,1.0,4.0,1.0,3.0
122,1.0,1.0,4.0,1.0,4.0
123,3.0,0.0,6.0,0.0,4.0
124,3.0,5.0,5.0,5.0,4.0
125,4.0,1.0,4.0,0.0,5.0
126,5.0,5.0,4.0,5.0,6.0
127,5.0,4.0,6.0,6.0,6.0
128,1.0,1.0,4.0,2.0,4.0
129,3.0,2.0,4.0,3.0,5.0
130,5.0,2.0,4.0,3.0,4.0
131,3.0,1.0,4.0,1.0,4.0
132,4.0,4.0,5.0,4.0,6.0
133,0.0,0.0,4.0,0.0,5.0
134,2.0,0.0,3.0,0.0,4.0
135,4.0,3.0,3.0,5.0,4.0
136,3.0,0.0,6.0,0.0,6.0
137,2.0,3.0,3.0,2.0,4.0
138,1.0,1.0,4.0,1.0,3.0
139,2.0,0.0,3.0,0.0,2.0
140,3.0,3.0,4.0,0.0,4.0
141,4.0,3.0,4.0,5.0,5.0
142,1.0,2.0,2.0,2.0,1.0
143,3.0,3.0,4.0,2.0,4.0
144,3.0,0.0,4.0,0.0,3.0
145,1.0,3.0,5.0,3.0,5.0
146,3.0,2.0,3.0,4.0,4.0
147,5.0,4.0,4.0,6.0,6.0
148,4.0,4.0,6.0,4.0,6.0
149,5.0,3.0,5.0,3.0,6.0
150,2.0,1.0,5.0,1.0,5.0
