,Q8_Q8_1,Q8_Q8_2
0,5.0,5.0
1,3.0,3.0
2,4.0,5.0
3,4.0,2.0
4,3.0,3.0
5,4.0,3.0
6,4.0,3.0
7,0.0,0.0
8,4.0,2.0
9,4.0,3.0
10,3.0,4.0
11,3.0,2.0
12,5.0,5.0
13,6.0,3.0
14,5.0,4.0
15,4.0,4.0
16,3.0,3.0
17,3.0,3.0
18,4.0,3.0
19,0.0,0.0
20,3.0,4.0
21,5.0,5.0
22,2.0,2.0
23,5.0,5.0
24,5.0,5.0
25,4.0,3.0
26,5.0,5.0
27,0.0,0.0
28,0.0,0.0
29,5.0,6.0
30,4.0,3.0
31,5.0,5.0
32,4.0,4.0
33,5.0,3.0
34,4.0,4.0
35,2.0,0.0
36,4.0,4.0
37,5.0,3.0
38,5.0,5.0
39,5.0,5.0
40,0.0,0.0
41,5.0,5.0
42,3.0,3.0
43,5.0,4.0
44,6.0,5.0
45,4.0,4.0
46,5.0,4.0
47,6.0,5.0
48,3.0,5.0
49,5.0,5.0
50,5.0,5.0
51,4.0,4.0
52,6.0,5.0
53,6.0,5.0
54,6.0,5.0
55,0.0,0.0
56,5.0,5.0
57,5.0,6.0
58,6.0,6.0
59,4.0,3.0
60,4.0,5.0
61,4.0,4.0
62,3.0,3.0
63,3.0,4.0
64,5.0,4.0
65,6.0,6.0
66,5.0,6.0
67,4.0,5.0
68,6.0,3.0
69,5.0,5.0
70,3.0,3.0
71,2.0,4.0
72,5.0,5.0
73,4.0,3.0
74,6.0,5.0
75,5.0,5.0
76,0.0,1.0
77,5.0,4.0
78,5.0,4.0
79,5.0,5.0
80,3.0,3.0
81,0.0,0.0
82,4.0,5.0
83,3.0,1.0
84,5.0,4.0
85,4.0,4.0
86,2.0,3.0
87,5.0,5.0
88,2.0,2.0
89,3.0,3.0
90,5.0,5.0
91,3.0,1.0
92,4.0,5.0
93,5.0,5.0
94,5.0,4.0
95,2.0,4.0
96,4.0,3.0
97,5.0,4.0
98,5.0,2.0
99,6.0,4.0
100,2.0,2.0
101,3.0,3.0
102,5.0,4.0
103,3.0,3.0
104,4.0,4.0
105,4.0,3.0
106,4.0,4.0
107,3.0,3.0
108,5.0,6.0
109,3.0,2.0
110,6.0,5.0
111,6.0,5.0
112,4.0,3.0
113,6.0,6.0
114,5.0,4.0
115,4.0,2.0
116,3.0,3.0
117,6.0,3.0
118,3.0,3.0
119,5.0,4.0
120,5.0,5.0
121,4.0,3.0
122,4.0,4.0
123,4.0,4.0
124,5.0,4.0
125,3.0,3.0
126,5.0,6.0
127,6.0,5.0
128,4.0,4.0
129,4.0,3.0
130,2.0,0.0
131,4.0,4.0
132,5.0,5.0
133,5.0,6.0
134,4.0,2.0
135,5.0,4.0
136,3.0,5.0
137,3.0,2.0
138,3.0,3.0
139,2.0,2.0
140,5.0,5.0
141,5.0,6.0
142,4.0,3.0
143,5.0,6.0
144,2.0,3.0
145,6.0,6.0
146,4.0,4.0
147,6.0,4.0
148,6.0,6.0
149,4.0,4.0
150,5.0,6.0
151,4.0,3.0
152,5.0,5.0
153,2.0,2.0
154,6.0,6.0
155,6.0,5.0
156,4.0,4.0
157,5.0,4.0
158,5.0,5.0
159,3.0,3.0
160,5.0,5.0
161,5.0,2.0
162,1.0,1.0
163,5.0,5.0
164,4.0,4.0
165,5.0,5.0
166,4.0,3.0
167,3.0,3.0
