,excellent_programmer,introduce_ideas,get_in_touch,known_creativity,improve_skills,test_capability,enjoy_problems,keep_up,dissatisfaction,hack_id
3,4,0,0,0,6,6,5,6,0,2
7,5,3,4,5,5,4,4,5,3,2
11,3,1,1,4,6,6,6,6,4,2
15,5,4,3,6,5,5,5,5,3,2
19,4,1,4,4,6,5,2,5,3,2
23,4,4,4,4,4,4,4,4,4,2
27,6,5,4,4,5,5,4,5,0,2
31,4,1,4,3,6,5,3,4,2,2
40,4,3,4,4,6,5,5,5,5,2
43,5,3,4,5,5,5,5,3,1,2
47,4,4,5,3,5,4,5,4,4,2
51,4,0,4,5,5,5,5,5,0,2
52,2,3,5,3,6,5,4,5,2,2
56,5,4,4,4,5,6,3,5,1,2
60,3,1,2,3,3,2,1,2,3,2
64,4,4,4,4,4,4,4,4,4,2
68,5,3,6,4,6,6,4,3,4,2
72,3,3,3,4,5,5,5,4,3,2
76,6,4,6,6,6,6,6,6,4,2
80,6,5,4,4,6,6,3,6,3,2
84,5,1,4,0,6,5,5,3,1,2
88,5,5,5,5,6,6,4,6,5,2
92,3,0,0,4,4,4,0,4,0,2
96,6,4,5,4,6,5,6,5,3,2
100,6,3,4,6,6,6,6,6,6,2
104,3,3,4,3,4,3,3,4,3,2
108,4,3,3,5,5,6,5,5,3,2
112,3,3,3,3,3,3,3,3,3,2
116,1,3,3,1,2,1,1,2,2,2
120,4,3,3,4,5,5,4,5,3,2
123,4,2,1,3,4,3,3,5,1,2
127,6,4,5,4,6,5,5,5,6,2
131,6,2,4,4,5,3,5,3,3,2
135,5,5,5,5,5,5,5,5,5,2
139,5,6,6,5,6,4,5,5,3,2
143,5,3,4,5,6,6,5,5,3,2
147,3,5,5,4,4,5,4,4,3,2
151,5,5,4,5,6,5,5,6,4,2
155,5,4,4,4,5,5,4,5,4,2
159,2,2,2,2,2,2,2,2,2,2
