,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5
0,1.0,5.0,2.0,6.0,4.0
1,3.0,3.0,6.0,5.0,6.0
2,6.0,5.0,5.0,5.0,5.0
3,5.0,5.0,5.0,5.0,5.0
4,4.0,4.0,3.0,5.0,4.0
5,5.0,5.0,5.0,5.0,6.0
6,1.0,6.0,5.0,3.0,4.0
7,0.0,0.0,0.0,0.0,0.0
8,4.0,5.0,5.0,5.0,5.0
9,3.0,4.0,5.0,3.0,5.0
10,3.0,5.0,2.0,5.0,4.0
11,1.0,5.0,3.0,4.0,3.0
12,2.0,4.0,4.0,4.0,3.0
13,5.0,5.0,4.0,6.0,5.0
14,5.0,5.0,3.0,5.0,3.0
15,5.0,6.0,6.0,6.0,6.0
16,6.0,6.0,6.0,5.0,3.0
17,4.0,3.0,5.0,4.0,4.0
18,4.0,6.0,5.0,6.0,4.0
19,0.0,0.0,0.0,0.0,0.0
20,4.0,4.0,4.0,4.0,4.0
21,4.0,5.0,5.0,5.0,5.0
22,3.0,4.0,5.0,5.0,3.0
23,5.0,6.0,6.0,6.0,6.0
24,6.0,5.0,4.0,6.0,5.0
25,2.0,5.0,6.0,6.0,5.0
26,4.0,4.0,5.0,4.0,5.0
27,3.0,3.0,3.0,3.0,3.0
28,0.0,0.0,0.0,0.0,0.0
29,4.0,4.0,5.0,4.0,2.0
30,2.0,4.0,5.0,4.0,4.0
31,3.0,3.0,2.0,2.0,3.0
32,4.0,5.0,5.0,4.0,6.0
33,5.0,5.0,5.0,4.0,6.0
34,5.0,6.0,6.0,6.0,6.0
35,5.0,5.0,5.0,5.0,4.0
36,2.0,6.0,4.0,5.0,6.0
37,4.0,6.0,4.0,6.0,4.0
38,6.0,5.0,5.0,6.0,6.0
39,6.0,6.0,5.0,6.0,5.0
40,0.0,0.0,0.0,0.0,0.0
41,2.0,5.0,3.0,4.0,5.0
42,3.0,3.0,3.0,3.0,3.0
43,4.0,2.0,3.0,1.0,6.0
