,excellent_programmer,introduce_ideas,get_in_touch,known_creativity,improve_skills,test_capability,enjoy_problems,keep_up,dissatisfaction,hack_id
1,5,2,3,3,5,4,3,4,3,0
5,4,2,4,2,5,4,5,5,3,0
9,6,4,5,5,6,6,5,5,5,0
13,3,3,0,5,5,3,3,4,4,0
17,3,4,6,3,6,6,6,6,3,0
21,5,5,6,5,5,6,5,5,4,0
25,5,4,2,5,4,0,2,5,4,0
29,3,3,4,5,5,4,4,3,3,0
35,5,3,5,5,6,5,5,5,4,0
38,5,6,6,4,5,5,5,6,5,0
45,5,3,3,5,5,4,4,4,3,0
49,4,1,3,4,4,3,2,4,0,0
54,4,0,0,4,5,4,3,5,0,0
58,6,3,5,6,6,5,5,4,3,0
62,3,3,4,3,5,4,4,6,2,0
66,3,3,4,2,6,5,3,3,0,0
70,5,4,4,5,6,6,5,5,2,0
74,4,1,2,5,6,4,5,3,1,0
78,2,0,4,5,4,5,4,5,1,0
82,3,2,2,3,5,4,1,2,2,0
86,3,0,2,1,3,2,2,4,2,0
90,3,2,5,3,5,4,6,4,2,0
94,4,3,5,3,6,4,5,5,3,0
98,5,4,4,5,5,5,5,5,5,0
102,5,4,5,6,6,4,4,6,4,0
106,5,5,5,5,6,6,6,6,5,0
110,3,3,3,3,3,4,4,5,3,0
114,5,5,5,3,6,5,4,4,5,0
118,5,0,5,3,6,5,3,5,3,0
122,6,6,6,6,6,6,4,6,3,0
125,3,4,4,4,3,2,4,4,2,0
129,1,3,3,4,5,4,5,4,2,0
133,0,0,0,0,2,0,1,4,0,0
137,6,3,5,6,5,5,6,6,3,0
141,5,4,5,4,5,5,5,5,6,0
145,4,2,2,3,5,3,5,5,4,0
149,1,1,1,1,1,1,1,1,1,0
153,5,5,4,5,4,5,4,5,5,0
157,3,3,5,3,6,6,6,6,3,0
161,6,2,4,5,4,4,4,5,5,0
