Student,add-loc-12,delete-loc-12,change-files-12
annipi,0,0,0
bsgarciac,14,9,2
camilo654,0,0,20
camilo13152,0,0,7
CamiloRueda,0,0,0
cap182,9,97,5
capinillab,0,0,0
cdcordobaa,0,0,0
CristianLozano,0,0,0
DglyP,54,65,1
fffeelipe,0,0,0
fmbernalb,0,0,6
gabi04,5,16,2
hsmartineza,2,7,2
janoguerab,0,0,0
jcneivaa,1,4,1
jdsolanos,2,19,5
jdsuarezj,173,442,3
jjrodriguezn,104,0,1
jmcuestasb,7,0,7
JoseMolano,19,79,4
juandavidro,127,122,1
juanescai,0,0,1
Judgarciani,23,85,2
katherinsb,0,0,0
leavendanoro,8,54,2
lfvalderrama,5,14,2
maikellPardoA,0,0,1
mnguzmanc,6,14,2
MogGy94,0,0,0
Moimolcp,0,0,0
NicolasZon,3,7,2
odprietoh,0,0,0
pcberriop,3,1,1
pipemax85,31,58,2
sacastroc,5,10,1
UNhcrodriguezl,0,0,0
yocuervoc,0,0,0
adamantwharf,0,0,0
aldiazve,14,83,3
andfsanchezlem,0,0,0
anfmorenoso,32,25,2
bdcajicam,0,0,0
Christian7sr,5,5,1
crigar,0,0,0
daandradec,0,0,0
dasalgadob,0,0,0
dfhincapiem,0,0,0
diegoaguevarar,0,0,9
djguzmanc,0,0,0
dsbarrerag,53,20,2
falperezgo,49,346,4
fevargasmo,32,19,2
gasierram,3,3,1
gcantem,9,15,12
gfalbarracinr,3,8,3
gsuarezc04,0,0,0
helmeraac,3,5,1
ItsNavi,0,0,0
ivdgonzalezco,1,3,1
JairVillalba,9,111,4
jcrubioa,0,0,0
jesusfchavarro,9,35,2
jiapulidoar,3,35,2
jmhurtadoc,0,0,0
joahernandezca,0,0,0
jonatan360,40,64,2
jsnarvaezb,0,0,0
jsviveroj,6,32,2
jufcontrerasco,0,0,0
maikellPardo,0,0,0
miaborjaac,10,42,2
nabautistal,2,0,4
oeroaq,43,65,3
Semoralesga,0,0,0
stevenbustos,167,22,1
wolfstain,0,0,0
Zeugmax,0,0,0
bdvegat,0,0,5
begarzonf,0,0,0
ccvacad,3,41,1
cesarochoa2006,0,0,0
crarojasca,0,0,0
CSebasGomez,17,61,1
Dandarprox,0,0,0
davidrh195,6,9,1
Davsatu313,0,0,1
debeltranc,0,0,2
diegocruz10,74,150,3
fabianr23,47,132,2
Gantiva,3,5,1
HashNick,3,5,1
idrojasf,0,0,0
jhcardenasa,0,0,0
jhonsd1996,2,3,5
jhriverasa,14,65,8
jjmuesesq,0,0,5
jscontrerasp,1,10,6
JuanitoAli,125,221,4
juasmartinezbel,3,8,1
jucjimenezmo,0,0,1
JulianaNino,3,31,2
jusherrerama,0,0,0
kancas,14,15,2
kmendezp96,5,47,1
leguzman,67,318,6
ligibrial,5,10,4
lsfinite,15,47,6
luealfonsoru,37,48,2
luegilca,0,0,0
mdbelloc,0,0,0
oserasoa,1,1,1
Phoenixest,0,0,0
raulramirezp,22,20,8
sagilm,14,35,3
tres-iqus,0,0,0
xdanielsb,11,37,8
Yelis3,0,0,4
ykchautai,13,61,2
adriel62,0,0,2
afceballosr,25,203,20
AFelipeGA,0,0,0
afforeroc,10,132,5
capinzor,88,172,2
cccristanchoc,0,0,0
Chranium,1,37,1
dagofonseca,0,0,0
Danielsv9207,0,0,0
davidh17,3,3,2
DavidQP,146,259,3
dduartec,23,21,2
DianaNavarrete,0,0,0
feartheGru,6,79,2
jdmonroyg,0,0,0
JhonEmmanuelTorres,0,0,1
jmalvarezd,55,85,2
jorge52an,5,23,1
jscastelblancoh,12,28,3
juclopezso,300,25,1
juligarji,18,129,1
jumcorredorro,0,0,0
kgbayala528,37,67,2
lacardenasv,21,13,2
lemartinp,9,76,4
lgmoralesa,34,30,5
lizzyt10h,13,11,4
macuestap,0,0,5
mballeng91,0,0,0
ncampuzano,40,198,9
nfmorenog,5,16,2
NicolasPrr,0,0,0
oacastillol,14,48,3
ofnanezn,8,1,2
ronaldsg20,0,0,0
sarizag,15,56,2
smarquezo,5,74,1
spenas,83,59,5
srmedinac,48,228,6
wapiravaguens,26,58,2
wilson911013,0,0,1
