,Group,variable,value
0,0.0,user-requirement-phase5,20.0
1,0.0,user-requirement-phase5,60.0
2,0.0,user-requirement-phase5,100.0
3,0.0,user-requirement-phase5,20.0
4,0.0,user-requirement-phase5,60.0
5,0.0,user-requirement-phase5,20.0
6,0.0,user-requirement-phase5,20.0
7,0.0,user-requirement-phase5,40.0
8,0.0,user-requirement-phase5,100.0
9,0.0,user-requirement-phase5,20.0
10,0.0,user-requirement-phase5,20.0
11,0.0,user-requirement-phase5,20.0
12,0.0,user-requirement-phase5,100.0
13,0.0,user-requirement-phase5,0.0
14,0.0,user-requirement-phase5,0.0
15,0.0,user-requirement-phase5,60.0
16,0.0,user-requirement-phase5,0.0
17,0.0,user-requirement-phase5,0.0
18,0.0,user-requirement-phase5,20.0
19,0.0,user-requirement-phase5,20.0
20,0.0,user-requirement-phase5,60.0
21,0.0,user-requirement-phase5,20.0
22,0.0,user-requirement-phase5,20.0
23,0.0,user-requirement-phase5,80.0
24,0.0,user-requirement-phase5,60.0
25,0.0,user-requirement-phase5,40.0
26,0.0,user-requirement-phase5,20.0
27,0.0,user-requirement-phase5,60.0
28,0.0,user-requirement-phase5,20.0
29,0.0,user-requirement-phase5,80.0
30,0.0,user-requirement-phase5,100.0
31,0.0,user-requirement-phase5,20.0
32,0.0,user-requirement-phase5,0.0
33,0.0,user-requirement-phase5,0.0
34,0.0,user-requirement-phase5,0.0
35,0.0,user-requirement-phase5,0.0
36,0.0,user-requirement-phase5,0.0
37,0.0,user-requirement-phase5,0.0
38,0.0,user-requirement-phase5,0.0
39,1.0,user-requirement-phase5,40.0
40,1.0,user-requirement-phase5,20.0
41,1.0,user-requirement-phase5,40.0
42,1.0,user-requirement-phase5,20.0
43,1.0,user-requirement-phase5,20.0
44,1.0,user-requirement-phase5,0.0
45,1.0,user-requirement-phase5,0.0
46,1.0,user-requirement-phase5,20.0
47,1.0,user-requirement-phase5,80.0
48,1.0,user-requirement-phase5,0.0
49,1.0,user-requirement-phase5,100.0
50,1.0,user-requirement-phase5,100.0
51,1.0,user-requirement-phase5,20.0
52,1.0,user-requirement-phase5,100.0
53,1.0,user-requirement-phase5,100.0
54,1.0,user-requirement-phase5,100.0
55,1.0,user-requirement-phase5,20.0
56,1.0,user-requirement-phase5,60.0
57,1.0,user-requirement-phase5,80.0
58,1.0,user-requirement-phase5,20.0
59,1.0,user-requirement-phase5,80.0
60,1.0,user-requirement-phase5,100.0
61,1.0,user-requirement-phase5,0.0
62,1.0,user-requirement-phase5,20.0
63,1.0,user-requirement-phase5,20.0
64,1.0,user-requirement-phase5,0.0
65,1.0,user-requirement-phase5,20.0
66,1.0,user-requirement-phase5,80.0
67,1.0,user-requirement-phase5,40.0
68,1.0,user-requirement-phase5,0.0
69,1.0,user-requirement-phase5,40.0
70,1.0,user-requirement-phase5,20.0
71,1.0,user-requirement-phase5,20.0
72,1.0,user-requirement-phase5,60.0
73,1.0,user-requirement-phase5,80.0
74,1.0,user-requirement-phase5,100.0
75,1.0,user-requirement-phase5,40.0
76,1.0,user-requirement-phase5,20.0
77,1.0,user-requirement-phase5,0.0
78,1.0,user-requirement-phase5,0.0
79,1.0,user-requirement-phase5,0.0
80,1.0,user-requirement-phase5,0.0
81,2.0,user-requirement-phase5,20.0
82,2.0,user-requirement-phase5,20.0
83,2.0,user-requirement-phase5,0.0
84,2.0,user-requirement-phase5,40.0
85,2.0,user-requirement-phase5,80.0
86,2.0,user-requirement-phase5,100.0
87,2.0,user-requirement-phase5,100.0
88,2.0,user-requirement-phase5,0.0
89,2.0,user-requirement-phase5,20.0
90,2.0,user-requirement-phase5,20.0
91,2.0,user-requirement-phase5,20.0
92,2.0,user-requirement-phase5,20.0
93,2.0,user-requirement-phase5,60.0
94,2.0,user-requirement-phase5,80.0
95,2.0,user-requirement-phase5,100.0
96,2.0,user-requirement-phase5,20.0
97,2.0,user-requirement-phase5,80.0
