variable,,df,sum_sq,mean_sq,F,PR(>F)
Q10,Group,1.0,3.79712997728507e-05,3.79712997728507e-05,4.7091382063840696e-05,0.9945329468425201
Q10,Residual,166.0,133.8511525048907,0.8063322440053657,,
Q11,Group,1.0,13.253678659521956,13.253678659521956,1.2221164578425159,0.2705453412072091
Q11,Residual,166.0,1800.246321340478,10.84485735747276,,
Q12,Group,1.0,5.981604044399059,5.981604044399059,1.3446439841792708,0.24788184222360096
Q12,Residual,166.0,738.4454792889342,4.448466742704423,,
Q13,Group,1.0,107.17019647869401,107.17019647869401,1.1135497592925634,0.2928450184412314
Q13,Residual,166.0,15976.163136854639,96.24194660755806,,
Q14,Group,1.0,2.539291182152963,2.539291182152963,0.47081060418136567,0.49357174066367737
Q14,Residual,166.0,895.3118992940376,5.393445176470106,,
Q2_Q2_1,Group,1.0,4.7047959270465585,4.7047959270465585,1.6230178285712868,0.20445226446250167
Q2_Q2_1,Residual,166.0,481.1999659777154,2.89879497576937,,
Q2_Q2_10,Group,1.0,0.530506142237441,0.530506142237441,0.24210089289889358,0.6233428971365695
Q2_Q2_10,Residual,166.0,363.7492557625245,2.191260576882678,,
Q2_Q2_11,Group,1.0,0.05894512691527541,0.05894512691527541,0.021228348665640485,0.8843353743829292
Q2_Q2_11,Residual,166.0,460.9351024921324,2.7767174848923637,,
Q2_Q2_12,Group,1.0,0.0650812889585631,0.0650812889585631,0.026815572475602546,0.8701235293084378
Q2_Q2_12,Residual,166.0,402.8813472824701,2.4269960679666873,,
Q2_Q2_13,Group,1.0,1.6491148130597606,1.6491148130597606,0.5373291755613153,0.46457558115454334
Q2_Q2_13,Residual,166.0,509.469932805988,3.0690959807589637,,
Q2_Q2_2,Group,1.0,5.775434695439894,5.775434695439894,2.1907173487586142,0.14074001497288902
Q2_Q2_2,Residual,166.0,437.6293272093221,2.6363212482489287,,
Q2_Q2_3,Group,1.0,0.33694364451571235,0.33694364451571235,0.11640163711774727,0.7334019106093042
Q2_Q2_3,Residual,166.0,480.51424683167477,2.8946641375402096,,
Q2_Q2_4,Group,1.0,0.5971047643349465,0.5971047643349465,0.21799685851881628,0.6411826929875215
Q2_Q2_4,Residual,166.0,454.682657140427,2.7390521514483557,,
Q2_Q2_5,Group,1.0,1.131193878418969,1.131193878418969,0.4049387242198803,0.5254261030198388
Q2_Q2_5,Residual,166.0,463.71999659777157,2.7934939554082625,,
Q2_Q2_6,Group,1.0,0.0023101738781778503,0.0023101738781778503,0.0009331898100231067,0.9756665855947916
Q2_Q2_6,Residual,166.0,410.9441183975504,2.4755669782984966,,
Q2_Q2_7,Group,1.0,3.7010185421451762,3.7010185421451762,1.651497305478929,0.20054541738256262
Q2_Q2_7,Residual,166.0,372.0073147911883,2.2410079204288453,,
Q2_Q2_8,Group,1.0,3.66789997448336,3.66789997448336,1.5382062135056445,0.21663519885425783
Q2_Q2_8,Residual,166.0,395.8321000255168,2.384530723045282,,
Q2_Q2_9,Group,1.0,0.165402981810244,0.165402981810244,0.06512232509763878,0.7988916655569989
Q2_Q2_9,Residual,166.0,421.620311303904,2.5398813933970117,,
Q3_Q3_1,Group,1.0,5.692803071726361,5.692803071726361,2.548017720442439,0.11233470297585973
Q3_Q3_1,Residual,166.0,370.87862549970214,2.234208587347603,,
Q3_Q3_2,Group,1.0,0.9672110232202323,0.9672110232202323,0.5577489583216511,0.45622510437326924
Q3_Q3_2,Residual,166.0,287.8661223101131,1.7341332669283922,,
Q3_Q3_3,Group,1.0,0.550438036914209,0.550438036914209,0.2996322196351256,0.5848482636136942
Q3_Q3_3,Residual,166.0,304.9495619630859,1.8370455539944934,,
Q3_Q3_4,Group,1.0,1.7715889621988572,1.7715889621988572,1.002428661636739,0.31818077660132416
Q3_Q3_4,Residual,166.0,293.37126818065843,1.7672967962690267,,
Q3_Q3_5,Group,1.0,0.22865405411974957,0.22865405411974957,0.13869158430370948,0.7100602619798683
Q3_Q3_5,Residual,166.0,273.67610785064215,1.6486512521123022,,
Q4_Q4_1,Group,1.0,1.0163003195664932,1.0163003195664932,0.448563203165601,0.5039485969138731
Q4_Q4_1,Residual,166.0,376.10274729948117,2.2656792005992843,,
Q4_Q4_2,Group,1.0,1.0387869232919233,1.0387869232919233,0.5290254524451816,0.46804142536367344
Q4_Q4_2,Residual,166.0,325.95526069575567,1.9635859078057571,,
