Student,add-loc-45,delete-loc-45,change-files-45
annipi,0,0,0
bsgarciac,69,105,6
camilo654,2,2,2
camilo13152,5,1,1
CamiloRueda,0,0,0
cap182,0,0,0
capinillab,102,131,3
cdcordobaa,0,0,0
CristianLozano,0,0,0
DglyP,31,56,2
fffeelipe,78,168,6
fmbernalb,0,0,0
gabi04,0,0,1
hsmartineza,10,13,2
janoguerab,0,0,0
jcneivaa,0,0,0
jdsolanos,0,0,0
jdsuarezj,0,0,0
jjrodriguezn,4,7,4
jmcuestasb,9,26,1
JoseMolano,26,3,1
juandavidro,0,0,0
juanescai,0,0,1
Judgarciani,31,45,2
katherinsb,259,371,3
leavendanoro,1,4,1
lfvalderrama,2,5,2
maikellPardoA,0,0,0
mnguzmanc,81,136,2
MogGy94,0,0,0
Moimolcp,36,62,2
NicolasZon,0,0,0
odprietoh,0,0,0
pcberriop,2,0,1
pipemax85,0,0,0
sacastroc,6,11,1
UNhcrodriguezl,0,0,0
yocuervoc,0,0,0
adamantwharf,0,0,0
aldiazve,14,83,3
andfsanchezlem,0,0,0
anfmorenoso,32,25,2
bdcajicam,0,0,0
Christian7sr,5,5,1
crigar,0,0,0
daandradec,0,0,0
dasalgadob,0,0,0
dfhincapiem,0,0,0
diegoaguevarar,0,0,9
djguzmanc,0,0,0
dsbarrerag,53,20,2
falperezgo,49,346,4
fevargasmo,32,19,2
gasierram,3,3,1
gcantem,9,15,12
gfalbarracinr,3,8,3
gsuarezc04,0,0,0
helmeraac,3,5,1
ItsNavi,0,0,0
ivdgonzalezco,1,3,1
JairVillalba,9,111,4
jcrubioa,0,0,0
jesusfchavarro,9,35,2
jiapulidoar,3,35,2
jmhurtadoc,0,0,0
joahernandezca,0,0,0
jonatan360,40,64,2
jsnarvaezb,0,0,0
jsviveroj,6,32,2
jufcontrerasco,0,0,0
maikellPardo,0,0,0
miaborjaac,10,42,2
nabautistal,2,0,4
oeroaq,43,65,3
Semoralesga,0,0,0
stevenbustos,167,22,1
wolfstain,0,0,0
Zeugmax,0,0,0
bdvegat,0,0,0
begarzonf,0,0,0
ccvacad,19,57,2
cesarochoa2006,0,0,0
crarojasca,0,0,0
CSebasGomez,0,0,0
Dandarprox,0,0,0
davidrh195,0,0,0
Davsatu313,1,0,1
debeltranc,6,8,2
diegocruz10,0,0,0
fabianr23,18,11,2
Gantiva,0,0,0
HashNick,0,0,0
idrojasf,0,0,0
jhcardenasa,0,0,0
jhonsd1996,0,0,0
jhriverasa,0,0,10
jjmuesesq,0,0,1
jscontrerasp,32,3,1
JuanitoAli,0,0,0
juasmartinezbel,0,0,0
jucjimenezmo,0,0,0
JulianaNino,1,1,2
jusherrerama,0,0,0
kancas,0,0,0
kmendezp96,77,112,2
leguzman,62,257,6
ligibrial,2,4,6
lsfinite,0,0,0
luealfonsoru,0,0,0
luegilca,0,0,0
mdbelloc,0,0,0
oserasoa,14,27,2
Phoenixest,0,0,0
raulramirezp,19,0,1
sagilm,15,103,1
tres-iqus,0,0,0
xdanielsb,8,143,3
Yelis3,110,167,7
ykchautai,16,66,2
adriel62,133,85,4
afceballosr,6,11,2
AFelipeGA,0,0,0
afforeroc,0,0,0
capinzor,7,59,4
cccristanchoc,16,15,2
Chranium,0,0,0
dagofonseca,20,90,6
Danielsv9207,0,0,0
davidh17,96,124,5
DavidQP,4,17,2
dduartec,0,0,1
DianaNavarrete,0,0,0
feartheGru,0,0,0
jdmonroyg,0,0,4
JhonEmmanuelTorres,0,0,0
jmalvarezd,11,24,2
jorge52an,17,80,1
jscastelblancoh,15,50,2
juclopezso,125,0,1
juligarji,44,44,1
jumcorredorro,2,2,1
kgbayala528,0,0,0
lacardenasv,38,54,2
lemartinp,2,4,1
lgmoralesa,65,24,2
lizzyt10h,29,66,2
macuestap,0,0,0
mballeng91,0,0,0
ncampuzano,4,243,2
nfmorenog,0,0,0
NicolasPrr,2,4,4
oacastillol,2,6,1
ofnanezn,0,0,0
ronaldsg20,3,0,2
sarizag,858,36,3
smarquezo,26,371,1
spenas,0,0,0
srmedinac,0,0,0
wapiravaguens,1,4,2
wilson911013,0,0,0
