,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,tech-phase5,total-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1
0,jusherrerama,2,20,25,0,75,120,62.5,20,25,0,107.5,62.5,20,37.5,0,120,62.5,20,29.17,50,161.67,25,20,37.5,0,82.5
1,bdvegat,2,20,25,0,62.5,107.5,50,20,25,0,95,50,20,25,0,95,50,20,25,0,95,0,0,0,0,0
2,Phoenixest,2,0,25,25,25,75,25,20,25,25,95,25,20,25,25,95,37.5,20,29.17,25,111.67,0,20,29.17,25,74.17
3,HashNick,2,40,50,25,37.5,152.5,37.5,40,54.17,0,131.67,37.5,20,45.83,0,103.33,50,0,33.33,25,108.33,0,,,,0
4,ccvacad,2,80,66.67,80,87.5,314.17,,,,,0,,,,,0,12.5,,,,12.5,0,0,0,0,0
5,joaortizro,2,100,50,87.5,87.5,325,87.5,80,50,62.5,280,87.5,80,50,87.5,305,87.5,60,33.33,87.5,268.33,62.5,20,25,0,107.5
6,juasmartinezbel,2,100,75,75,87.5,337.5,75,100,58.33,87.5,320.83,75,60,70.83,87.5,293.33,75,80,54.17,87.5,296.67,75,60,54.17,62.5,251.67
7,mdbelloc,2,0,37.5,25,75,137.5,75,0,29.17,25,129.17,75,0,33.33,25,133.33,75,0,25,25,125,37.5,0,29.17,25,91.67
8,diegocruz10,2,20,45.83,25,37.5,128.33,37.5,40,29.17,0,106.67,37.5,20,54.17,0,111.67,50,20,58.33,0,128.33,25,20,45.83,0,90.83
9,crarojasca,2,20,25,0,0,45,0,20,25,0,45,0,20,25,0,45,12.5,20,25,0,57.5,0,20,25,0,45
10,sagilm,2,20,33.33,62.5,62.5,178.33,50,0,37.5,62.5,150,50,0,33.33,62.5,145.83,37.5,0,33.33,0,70.83,25,0,25,0,50
11,idrojasf,2,20,50,25,75,170,75,20,58.33,0,153.33,37.5,60,58.33,0,155.83,37.5,60,45.83,25,168.33,62.5,20,62.5,62.5,207.5
12,raulramirezp,2,60,45.83,66.67,100,272.5,75,40,33.33,0,148.33,75,40,33.33,75,223.33,75,40,29.17,75,219.17,0,0,0,0,0
13,fabianr23,2,80,58.33,87.5,100,325.83,100,100,70.83,87.5,358.33,100,100,70.83,87.5,358.33,100,80,62.5,87.5,330,50,80,75,0,205
14,jhriverasa,2,100,58.33,60,100,318.33,75,100,70.83,87.5,333.33,87.5,100,50,75,312.5,87.5,20,29.17,87.5,224.17,50,20,29.17,43.75,142.92
15,jhonsd1996,2,20,54.17,25,75,174.17,75,20,62.5,0,157.5,75,20,58.33,0,153.33,75,,,,75,50,0,25,25,100
16,JuanitoAli,2,80,58.33,65,62.5,265.83,62.5,100,75,87.5,325,62.5,80,54.17,58.33,255,62.5,80,54.17,87.5,284.17,75,0,25,0,100
17,Davsatu313,2,80,70.83,84.38,87.5,322.71,87.5,80,62.5,70.83,300.83,87.5,100,58.33,75,320.83,87.5,20,54.17,75,236.67,62.5,20,50,75,207.5
18,cesarochoa2006,2,100,66.67,72.5,87.5,326.67,87.5,60,58.33,78.13,283.96,87.5,60,41.67,87.5,276.67,62.5,60,45.83,87.5,255.83,37.5,20,29.17,0,86.67
