,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5
0,5,5,4,5,6
1,1,1,3,3,4
2,3,2,5,3,6
3,0,0,4,0,5
4,3,3,4,0,4
5,3,2,4,2,5
6,3,3,4,3,4
7,5,4,5,4,5
8,3,2,4,3,5
9,5,2,5,2,5
10,0,0,3,0,4
11,2,0,5,4,6
12,4,3,3,5,4
13,3,3,4,3,4
14,3,1,3,1,5
15,1,1,4,1,5
16,4,4,6,4,6
17,2,2,5,3,6
18,2,3,4,4,6
19,6,1,5,3,6
20,5,2,4,3,4
21,2,3,2,3,4
22,1,0,2,0,5
23,4,4,4,4,4
24,2,1,5,1,5
25,3,3,3,3,4
26,1,5,4,1,4
27,5,5,5,5,5
28,4,3,5,3,6
29,4,3,4,4,5
30,4,3,4,5,5
31,3,1,5,1,5
32,5,4,5,6,6
33,5,4,5,5,5
34,3,2,3,4,4
35,4,3,4,3,4
36,1,2,2,2,1
37,5,4,6,6,6
38,5,1,6,5,6
39,6,1,4,4,4
40,4,5,6,1,5
41,0,0,4,0,5
42,6,4,6,6,6
43,2,1,4,2,5
44,4,5,5,6,6
45,4,1,5,3,5
46,5,6,4,6,5
47,3,3,3,3,5
48,5,1,5,5,5
49,2,1,3,1,4
50,5,5,6,3,6
51,5,5,5,5,5
52,5,1,5,1,5
53,3,1,4,1,4
54,0,0,0,0,0
55,1,0,5,0,5
56,4,4,2,4,4
57,4,3,4,5,5
58,4,1,2,2,3
59,6,1,5,0,5
60,2,0,5,0,5
61,3,3,4,4,4
62,1,3,2,0,4
63,2,0,4,0,3
64,1,1,4,1,4
65,4,1,4,0,5
66,2,1,5,2,6
67,0,1,3,0,4
68,1,2,3,2,4
69,2,0,3,0,2
70,3,4,3,4,6
71,5,1,6,3,6
72,1,0,4,1,5
73,4,4,3,5,6
74,4,2,0,5,6
75,0,3,5,4,5
76,3,3,3,3,3
77,5,4,4,6,6
78,5,2,2,4,5
79,2,2,4,2,4
80,5,3,6,3,6
81,2,3,3,2,4
82,4,1,3,3,4
83,5,4,5,4,6
84,4,4,5,1,5
85,5,3,4,3,5
86,5,1,5,2,5
87,3,1,2,1,4
88,0,0,4,0,5
89,3,3,4,2,4
90,4,2,4,2,5
91,3,3,3,3,3
92,3,1,5,1,4
93,4,4,5,4,6
94,5,4,5,3,5
95,5,3,5,4,5
96,1,0,6,1,6
97,5,4,4,5,6
98,5,5,5,5,6
99,2,3,2,3,4
100,2,4,5,1,6
101,3,0,6,0,6
102,2,2,4,2,5
103,2,0,5,0,5
104,4,1,4,1,3
105,5,3,5,3,6
106,4,6,5,5,5
107,2,0,0,0,2
108,4,5,5,4,5
109,3,0,6,0,4
110,3,3,3,3,3
111,3,3,5,4,5
112,3,3,3,3,3
113,4,3,5,4,5
114,5,5,6,6,6
115,4,5,5,5,5
116,4,2,3,3,2
117,1,1,4,2,4
118,1,3,1,1,3
119,4,4,3,3,3
120,3,2,5,2,5
121,1,1,4,1,3
122,0,0,2,2,5
123,3,4,5,1,5
124,1,0,3,0,3
125,3,2,4,2,3
126,4,2,5,1,5
127,0,0,6,0,6
128,3,0,4,0,3
129,4,3,3,4,4
130,5,5,5,5,5
131,2,2,4,0,5
132,3,5,5,5,4
133,2,0,1,1,4
134,6,6,6,6,6
135,4,4,4,4,4
136,4,4,4,4,4
137,6,3,5,2,5
138,1,4,3,1,5
139,5,1,5,2,6
140,3,2,4,2,3
141,3,1,4,1,5
142,4,5,3,3,5
143,1,0,6,0,5
144,5,4,6,6,6
145,2,2,4,3,4
146,6,4,5,5,5
147,3,1,4,4,5
148,2,0,3,0,4
149,6,3,3,3,4
150,3,3,3,3,3
151,4,1,4,1,5
152,2,1,3,2,5
153,3,4,4,4,4
154,4,4,4,4,4
155,3,3,3,2,3
156,6,6,6,6,5
157,2,0,5,0,4
158,3,3,3,3,3
159,3,3,3,3,3
160,1,3,5,3,5
161,5,1,2,6,6
162,6,6,6,6,6
