,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4
0,1.0,0.0,0.0,3.0
1,2.0,1.0,1.0,1.0
2,1.0,3.0,3.0,1.0
3,1.0,2.0,5.0,4.0
4,2.0,2.0,2.0,2.0
5,1.0,3.0,2.0,2.0
6,0.0,1.0,0.0,1.0
7,0.0,0.0,0.0,0.0
8,3.0,3.0,3.0,3.0
9,1.0,2.0,1.0,3.0
10,0.0,1.0,2.0,2.0
11,0.0,1.0,1.0,2.0
12,1.0,1.0,1.0,3.0
13,3.0,3.0,4.0,3.0
14,1.0,2.0,3.0,3.0
15,1.0,5.0,1.0,5.0
16,3.0,3.0,3.0,2.0
17,3.0,3.0,3.0,3.0
18,0.0,1.0,1.0,1.0
19,0.0,0.0,0.0,0.0
20,1.0,3.0,1.0,1.0
21,1.0,3.0,1.0,1.0
22,1.0,2.0,1.0,3.0
23,3.0,3.0,3.0,5.0
24,3.0,5.0,5.0,5.0
25,0.0,1.0,1.0,4.0
26,2.0,4.0,2.0,2.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,3.0,0.0,5.0
30,0.0,3.0,0.0,2.0
31,0.0,0.0,0.0,0.0
32,1.0,0.0,0.0,1.0
33,1.0,1.0,1.0,1.0
34,0.0,0.0,1.0,1.0
35,1.0,2.0,1.0,2.0
36,3.0,3.0,3.0,3.0
37,0.0,1.0,0.0,4.0
38,4.0,4.0,4.0,4.0
39,3.0,4.0,4.0,4.0
40,0.0,0.0,0.0,0.0
41,0.0,2.0,0.0,3.0
42,0.0,1.0,0.0,3.0
43,4.0,1.0,3.0,4.0
44,5.0,4.0,5.0,5.0
45,1.0,2.0,1.0,1.0
46,4.0,4.0,4.0,5.0
47,0.0,5.0,1.0,4.0
48,1.0,1.0,1.0,2.0
49,4.0,4.0,4.0,4.0
50,0.0,2.0,0.0,3.0
51,4.0,3.0,4.0,3.0
52,4.0,4.0,5.0,5.0
53,4.0,3.0,3.0,3.0
54,5.0,3.0,3.0,4.0
55,0.0,1.0,0.0,4.0
56,0.0,0.0,0.0,0.0
57,0.0,4.0,1.0,4.0
58,3.0,3.0,4.0,4.0
59,0.0,0.0,0.0,0.0
60,1.0,4.0,0.0,4.0
61,4.0,4.0,4.0,4.0
62,3.0,3.0,3.0,3.0
63,0.0,1.0,0.0,1.0
64,1.0,1.0,1.0,3.0
65,0.0,3.0,0.0,3.0
66,0.0,1.0,0.0,3.0
67,2.0,3.0,2.0,4.0
68,6.0,6.0,6.0,6.0
69,0.0,2.0,1.0,2.0
70,0.0,0.0,0.0,0.0
71,1.0,0.0,1.0,0.0
72,4.0,4.0,3.0,3.0
73,1.0,3.0,1.0,3.0
74,2.0,2.0,2.0,2.0
75,0.0,0.0,0.0,0.0
76,1.0,1.0,2.0,3.0
77,1.0,2.0,1.0,3.0
78,1.0,3.0,0.0,4.0
79,5.0,5.0,5.0,6.0
80,1.0,1.0,0.0,1.0
81,0.0,0.0,0.0,0.0
82,1.0,2.0,1.0,1.0
83,0.0,1.0,0.0,3.0
84,1.0,3.0,0.0,2.0
85,1.0,0.0,1.0,0.0
86,0.0,2.0,1.0,1.0
87,0.0,5.0,0.0,5.0
88,1.0,3.0,2.0,4.0
89,3.0,3.0,3.0,3.0
90,1.0,3.0,0.0,4.0
91,0.0,0.0,0.0,0.0
92,1.0,1.0,1.0,3.0
93,1.0,2.0,1.0,2.0
94,5.0,4.0,5.0,5.0
95,1.0,3.0,1.0,2.0
96,3.0,4.0,3.0,4.0
97,1.0,1.0,1.0,1.0
98,0.0,3.0,0.0,3.0
99,0.0,1.0,0.0,0.0
100,0.0,3.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,2.0,4.0,2.0,3.0
104,0.0,1.0,0.0,2.0
105,1.0,4.0,1.0,3.0
106,4.0,4.0,4.0,4.0
107,1.0,5.0,1.0,1.0
108,3.0,3.0,4.0,3.0
109,1.0,1.0,1.0,1.0
110,0.0,1.0,0.0,3.0
111,1.0,4.0,0.0,2.0
112,2.0,3.0,3.0,3.0
113,1.0,5.0,0.0,4.0
114,0.0,2.0,0.0,4.0
115,3.0,4.0,2.0,3.0
116,4.0,3.0,2.0,3.0
117,1.0,1.0,1.0,1.0
118,3.0,3.0,3.0,3.0
119,3.0,3.0,1.0,5.0
120,4.0,4.0,3.0,4.0
121,1.0,1.0,1.0,1.0
122,1.0,1.0,1.0,1.0
123,0.0,0.0,0.0,0.0
124,4.0,4.0,4.0,4.0
125,0.0,2.0,0.0,2.0
126,4.0,3.0,3.0,4.0
127,2.0,6.0,4.0,4.0
128,1.0,5.0,1.0,3.0
129,1.0,2.0,1.0,4.0
130,0.0,1.0,2.0,3.0
131,0.0,1.0,0.0,2.0
132,3.0,3.0,3.0,3.0
133,0.0,1.0,0.0,1.0
134,0.0,1.0,0.0,0.0
135,4.0,4.0,5.0,3.0
136,0.0,0.0,0.0,0.0
137,1.0,3.0,2.0,3.0
138,1.0,4.0,1.0,4.0
139,0.0,0.0,1.0,0.0
140,1.0,2.0,1.0,1.0
141,2.0,1.0,3.0,3.0
142,1.0,3.0,3.0,1.0
143,1.0,3.0,3.0,5.0
144,0.0,0.0,0.0,3.0
145,0.0,1.0,0.0,1.0
146,0.0,1.0,0.0,2.0
147,5.0,4.0,5.0,3.0
148,1.0,5.0,3.0,5.0
149,2.0,2.0,1.0,3.0
150,0.0,3.0,3.0,0.0
151,1.0,1.0,2.0,3.0
152,3.0,3.0,3.0,4.0
153,0.0,0.0,0.0,0.0
154,4.0,3.0,4.0,4.0
155,4.0,5.0,5.0,6.0
156,2.0,3.0,2.0,3.0
157,1.0,3.0,4.0,4.0
158,2.0,1.0,0.0,2.0
159,3.0,4.0,4.0,4.0
160,1.0,1.0,1.0,1.0
161,2.0,2.0,3.0,4.0
162,1.0,1.0,1.0,1.0
163,5.0,4.0,5.0,5.0
164,3.0,3.0,3.0,3.0
165,3.0,4.0,3.0,2.0
166,0.0,0.0,0.0,2.0
167,3.0,3.0,3.0,3.0
