,Unnamed: 0,components,username_folder_name,js_loc_in_each_js,username,_merge
6034,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-nfmorenog,5857.0,nfmorenog,right_only
6035,1,d3-fetch___.json,2017-Purdue-UNAL-IronHack-nfmorenog,5857.0,nfmorenog,right_only
6036,2,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-nfmorenog,5857.0,nfmorenog,right_only
6037,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-falperezgo,7309.0,falperezgo,right_only
6038,1,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-falperezgo,7309.0,falperezgo,right_only
6039,2,d3-fetch___.json,2017-Purdue-UNAL-IronHack-falperezgo,7309.0,falperezgo,right_only
6040,3,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-falperezgo,7309.0,falperezgo,right_only
6041,0,d3-selection_Namespaces_.namespace,2017-Purdue-UNAL-IronHack-falperezgo,9041.0,falperezgo,right_only
6042,1,d3-array_Transformations_.merge,2017-Purdue-UNAL-IronHack-falperezgo,9041.0,falperezgo,right_only
6043,2,d3-fetch___.text,2017-Purdue-UNAL-IronHack-falperezgo,9041.0,falperezgo,right_only
6044,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-xdanielsb,5549.0,xdanielsb,right_only
6045,1,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-xdanielsb,5549.0,xdanielsb,right_only
6046,2,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-xdanielsb,5549.0,xdanielsb,right_only
6047,0,d3-selection_Local_.local,2017-Purdue-UNAL-IronHack-xdanielsb,6950.0,xdanielsb,right_only
6048,1,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-xdanielsb,6950.0,xdanielsb,right_only
6049,2,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-xdanielsb,6950.0,xdanielsb,right_only
6050,3,d3-fetch___.text,2017-Purdue-UNAL-IronHack-xdanielsb,6950.0,xdanielsb,right_only
6051,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,5244.0,oeroaq,right_only
6052,1,d3-selection_Selecting_.selectAll,2017-Purdue-UNAL-IronHack-oeroaq,5244.0,oeroaq,right_only
6053,2,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-oeroaq,5244.0,oeroaq,right_only
6054,3,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,5244.0,oeroaq,right_only
6055,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,4294.0,oeroaq,right_only
6056,1,d3-selection_Selecting_.selectAll,2017-Purdue-UNAL-IronHack-oeroaq,4294.0,oeroaq,right_only
6057,2,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-oeroaq,4294.0,oeroaq,right_only
6058,3,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,4294.0,oeroaq,right_only
6059,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,6642.0,oeroaq,right_only
6060,1,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,6642.0,oeroaq,right_only
6061,2,d3-drag___.drag,2017-Purdue-UNAL-IronHack-oeroaq,6642.0,oeroaq,right_only
6062,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,4393.0,oeroaq,right_only
6063,1,d3-selection_Selecting_.selectAll,2017-Purdue-UNAL-IronHack-oeroaq,4393.0,oeroaq,right_only
6064,2,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-oeroaq,4393.0,oeroaq,right_only
6065,3,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,4393.0,oeroaq,right_only
6066,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,4820.0,oeroaq,right_only
6067,1,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,4820.0,oeroaq,right_only
6068,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,1239.0,oeroaq,right_only
6069,1,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,1239.0,oeroaq,right_only
6070,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,7179.0,oeroaq,right_only
6071,1,d3-selection_Selecting_.selectAll,2017-Purdue-UNAL-IronHack-oeroaq,7179.0,oeroaq,right_only
6072,2,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-oeroaq,7179.0,oeroaq,right_only
6073,3,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,7179.0,oeroaq,right_only
6074,0,d3-selection_Selecting_.selectAll,2017-Purdue-UNAL-IronHack-oeroaq,5475.0,oeroaq,right_only
6075,1,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-oeroaq,5475.0,oeroaq,right_only
6076,2,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-oeroaq,5475.0,oeroaq,right_only
6077,3,d3-fetch___.text,2017-Purdue-UNAL-IronHack-oeroaq,5475.0,oeroaq,right_only
6078,4,d3-format___.format,2017-Purdue-UNAL-IronHack-oeroaq,5475.0,oeroaq,right_only
6079,0,d3-fetch___.text,2017-Purdue-UNAL-IronHack-oeroaq,1683.0,oeroaq,right_only
6080,0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,5344.0,oeroaq,right_only
6081,1,d3-selection_Selecting_.selectAll,2017-Purdue-UNAL-IronHack-oeroaq,5344.0,oeroaq,right_only
6082,2,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-oeroaq,5344.0,oeroaq,right_only
6083,3,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,5344.0,oeroaq,right_only
6084,0,d3-selection_Selecting_.selectAll,2017-Purdue-UNAL-IronHack-oeroaq,10367.0,oeroaq,right_only
6085,1,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,10367.0,oeroaq,right_only
6086,2,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-oeroaq,10367.0,oeroaq,right_only
6087,3,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-oeroaq,10367.0,oeroaq,right_only
6088,4,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,10367.0,oeroaq,right_only
6089,0,d3-dispatch___.dispatch,2017-Purdue-UNAL-IronHack-oeroaq,367366.0,oeroaq,right_only
