,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2,bogota-1
0,0 files changed,,,adamantwharf,0,0,0,0,0,1
5, 0 files changed,,,aldiazve,0,0,0,0,0,1
6, 0 files changed,,,andfsanchezlem,0,0,0,0,0,1
7, 0 files changed,,,anfmorenoso,0,0,0,0,0,1
10, 4 files changed, 39 insertions(+), 26 deletions(-),bdcajicam,4,39,26,0,0,1
25, 0 files changed,,,Christian7sr,0,0,0,0,0,1
27, 0 files changed,,,crigar,0,0,0,0,0,1
30, 2 files changed, 61 insertions(+), 125 deletions(-),daandradec,2,61,125,0,0,1
34, 0 files changed,,,dasalgadob,0,0,0,0,0,1
41, 0 files changed,,,dfhincapiem,0,0,0,0,0,1
44, 0 files changed,,,diegoaguevarar,0,0,0,0,0,1
46, 2 files changed, 86 insertions(+), 306 deletions(-),djguzmanc,2,86,306,0,0,1
48, 1 file changed, 2 insertions(+), 12 deletions(-),dsbarrerag,1,2,12,0,0,1
50, 0 files changed,,,falperezgo,0,0,0,0,0,1
52, 1 file changed, 5 insertions(+), 163 deletions(-),fevargasmo,1,5,163,0,0,1
57, 1 file changed, 2 insertions(+), 53 deletions(-),gasierram,1,2,53,0,0,1
58, 0 files changed,,,gcantem,0,0,0,0,0,1
59, 5 files changed, 40 insertions(+), 36 deletions(-),gfalbarracinr,5,40,36,0,0,1
60, 0 files changed,,,gsuarezc04,0,0,0,0,0,1
62, 0 files changed,,,helmeraac,0,0,0,0,0,1
65, 0 files changed,,,ItsNavi,0,0,0,0,0,1
66, 0 files changed,,,ivdgonzalezco,0,0,0,0,0,1
67, 3 files changed, 18 insertions(+), 48 deletions(-),JairVillalba,3,18,48,0,0,1
70, 0 files changed,,,jcrubioa,0,0,0,0,0,1
74, 2 files changed, 311 insertions(+), 127 deletions(-),jesusfchavarro,2,311,127,0,0,1
79, 1 file changed, 24 insertions(+), 61 deletions(-),jiapulidoar,1,24,61,0,0,1
84, 0 files changed,,,jmhurtadoc,0,0,0,0,0,1
85, 0 files changed,,,joahernandezca,0,0,0,0,0,1
87, 2 files changed, 47 insertions(+), 53 deletions(-),jonatan360,2,47,53,0,0,1
92, 2 files changed, 3 insertions(+), 8 deletions(-),jsnarvaezb,2,3,8,0,0,1
93, 2 files changed, 12 insertions(+), 52 deletions(-),jsviveroj,2,12,52,0,0,1
101, 1 file changed, 4 deletions(-),,jufcontrerasco,1,4,0,0,0,1
123, 0 files changed,,,maikellPardo,0,0,0,0,0,1
127, 3 files changed, 18 insertions(+), 16 deletions(-),miaborjaac,3,18,16,0,0,1
131, 2 files changed,,,nabautistal,2,0,0,0,0,1
138, 4 files changed, 81 insertions(+), 93 deletions(-),oeroaq,4,81,93,0,0,1
149, 0 files changed,,,Semoralesga,0,0,0,0,0,1
153, 0 files changed,,,stevenbustos,0,0,0,0,0,1
159, 7 files changed, 49 insertions(+), 391 deletions(-),wolfstain,7,49,391,0,0,1
164, 0 files changed,,,Zeugmax,0,0,0,0,0,1
