,change,addition,delete,username,change-revised,delete-revised,add-revised,bogota-3,bogota-2
11, 5 files changed,,,bdvegat,5,0,0,0,1
12, 0 files changed,,,begarzonf,0,0,0,0,1
21, 1 file changed, 3 insertions(+), 41 deletions(-),ccvacad,1,41,3,0,1
23, 0 files changed,,,cesarochoa2006,0,0,0,0,1
26, 0 files changed,,,crarojasca,0,0,0,0,1
29, 1 file changed, 17 insertions(+), 61 deletions(-),CSebasGomez,1,61,17,0,1
32, 0 files changed,,,Dandarprox,0,0,0,0,1
37, 1 file changed, 6 insertions(+), 9 deletions(-),davidrh195,1,9,6,0,1
38, 1 file changed,,,Davsatu313,1,0,0,0,1
40, 2 files changed,,,debeltranc,2,0,0,0,1
45, 3 files changed, 74 insertions(+), 150 deletions(-),diegocruz10,3,150,74,0,1
49, 2 files changed, 47 insertions(+), 132 deletions(-),fabianr23,2,132,47,0,1
56, 1 file changed, 3 insertions(+), 5 deletions(-),Gantiva,1,5,3,0,1
61, 1 file changed, 3 insertions(+), 5 deletions(-),HashNick,1,5,3,0,1
64, 0 files changed,,,idrojasf,0,0,0,0,1
75, 0 files changed,,,jhcardenasa,0,0,0,0,1
77, 5 files changed, 2 insertions(+), 3 deletions(-),jhonsd1996,5,3,2,0,1
78, 8 files changed, 14 insertions(+), 65 deletions(-),jhriverasa,8,65,14,0,1
80, 5 files changed,,,jjmuesesq,5,0,0,0,1
91, 6 files changed, 1 insertion(+), 10 deletions(-),jscontrerasp,6,10,1,0,1
96, 4 files changed, 125 insertions(+), 221 deletions(-),JuanitoAli,4,221,125,0,1
97, 1 file changed, 3 insertions(+), 8 deletions(-),juasmartinezbel,1,8,3,0,1
98, 1 file changed,,,jucjimenezmo,1,0,0,0,1
102, 2 files changed, 3 insertions(+), 31 deletions(-),JulianaNino,2,31,3,0,1
105, 0 files changed,,,jusherrerama,0,0,0,0,1
106, 2 files changed, 14 insertions(+), 15 deletions(-),kancas,2,15,14,0,1
109, 1 file changed, 5 insertions(+), 47 deletions(-),kmendezp96,1,47,5,0,1
112, 6 files changed, 67 insertions(+), 318 deletions(-),leguzman,6,318,67,0,1
117, 4 files changed, 5 insertions(+), 10 deletions(-),ligibrial,4,10,5,0,1
119, 6 files changed, 15 insertions(+), 47 deletions(-),lsfinite,6,47,15,0,1
120, 2 files changed, 37 insertions(+), 48 deletions(-),luealfonsoru,2,48,37,0,1
121, 0 files changed,,,luegilca,0,0,0,0,1
126, 0 files changed,,,mdbelloc,0,0,0,0,1
140, 1 file changed, 1 insertion(+), 1 deletion(-),oserasoa,1,1,1,0,1
142, 0 files changed,,,Phoenixest,0,0,0,0,1
144, 8 files changed, 22 insertions(+), 20 deletions(-),raulramirezp,8,20,22,0,1
147, 3 files changed, 14 insertions(+), 35 deletions(-),sagilm,3,35,14,0,1
154, 0 files changed,,,tres-iqus,0,0,0,0,1
160, 8 files changed, 11 insertions(+), 37 deletions(-),xdanielsb,8,37,11,0,1
161, 4 files changed,,,Yelis3,4,0,0,0,1
162, 2 files changed, 13 insertions(+), 61 deletions(-),ykchautai,2,61,13,0,1
