,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2
11, 3 files changed, 25 insertions(+), 50 deletions(-),bdvegat,3,25,50,0,1
12, 2 files changed, 3 insertions(+), 4 deletions(-),begarzonf,2,3,4,0,1
21, 0 files changed,,,ccvacad,0,0,0,0,1
23, 1 file changed, 1 insertion(+), 2 deletions(-),cesarochoa2006,1,1,2,0,1
26, 0 files changed,,,crarojasca,0,0,0,0,1
29, 0 files changed,,,CSebasGomez,0,0,0,0,1
32, 0 files changed,,,Dandarprox,0,0,0,0,1
37, 0 files changed,,,davidrh195,0,0,0,0,1
38, 2 files changed, 2 insertions(+), 15 deletions(-),Davsatu313,2,2,15,0,1
40, 2 files changed, 17 insertions(+), 17 deletions(-),debeltranc,2,17,17,0,1
45, 2 files changed, 45 insertions(+), 93 deletions(-),diegocruz10,2,45,93,0,1
49, 4 files changed, 20 insertions(+), 35 deletions(-),fabianr23,4,20,35,0,1
56, 2 files changed, 9 insertions(+), 17 deletions(-),Gantiva,2,9,17,0,1
61, 0 files changed,,,HashNick,0,0,0,0,1
64, 0 files changed,,,idrojasf,0,0,0,0,1
75, 0 files changed,,,jhcardenasa,0,0,0,0,1
77, 0 files changed,,,jhonsd1996,0,0,0,0,1
78, 2 files changed, 1 insertion(+), 3 deletions(-),jhriverasa,2,1,3,0,1
80, 1 file changed,,,jjmuesesq,1,0,0,0,1
91, 3 files changed, 19 insertions(+), 43 deletions(-),jscontrerasp,3,19,43,0,1
96, 5 files changed, 178 insertions(+), 316 deletions(-),JuanitoAli,5,178,316,0,1
97, 1 file changed, 1 insertion(+), 9 deletions(-),juasmartinezbel,1,1,9,0,1
98, 0 files changed,,,jucjimenezmo,0,0,0,0,1
102, 1 file changed, 12 insertions(+), 35 deletions(-),JulianaNino,1,12,35,0,1
105, 0 files changed,,,jusherrerama,0,0,0,0,1
106, 0 files changed,,,kancas,0,0,0,0,1
109, 1 file changed, 3 insertions(+), 16 deletions(-),kmendezp96,1,3,16,0,1
112, 5 files changed, 62 insertions(+), 408 deletions(-),leguzman,5,62,408,0,1
117, 1 file changed, 21 insertions(+), 9 deletions(-),ligibrial,1,21,9,0,1
119, 2 files changed, 8 insertions(+), 32 deletions(-),lsfinite,2,8,32,0,1
120, 1 file changed, 1 insertion(+), 1 deletion(-),luealfonsoru,1,1,1,0,1
121, 0 files changed,,,luegilca,0,0,0,0,1
126, 0 files changed,,,mdbelloc,0,0,0,0,1
140, 1 file changed, 1 insertion(+), 6 deletions(-),oserasoa,1,1,6,0,1
142, 0 files changed,,,Phoenixest,0,0,0,0,1
144, 0 files changed,,,raulramirezp,0,0,0,0,1
147, 3 files changed, 7 insertions(+), 8 deletions(-),sagilm,3,7,8,0,1
154, 0 files changed,,,tres-iqus,0,0,0,0,1
160, 5 files changed, 11 insertions(+), 53 deletions(-),xdanielsb,5,11,53,0,1
161, 2 files changed, 56 insertions(+), 127 deletions(-),Yelis3,2,56,127,0,1
162, 2 files changed, 6 insertions(+), 52 deletions(-),ykchautai,2,6,52,0,1
