,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3
1,4 files changed, 133 insertions(+), 85 deletions(-),adriel62,4,133,85,1
2,2 files changed, 6 insertions(+), 11 deletions(-),afceballosr,2,6,11,1
3,0 files changed,,,AFelipeGA,0,0,0,1
4,0 files changed,,,afforeroc,0,0,0,1
19,4 files changed, 7 insertions(+), 59 deletions(-),capinzor,4,7,59,1
20,2 files changed, 16 insertions(+), 15 deletions(-),cccristanchoc,2,16,15,1
24, 0 files changed,,,Chranium,0,0,0,1
31, 6 files changed, 20 insertions(+), 90 deletions(-),dagofonseca,6,20,90,1
33, 0 files changed,,,Danielsv9207,0,0,0,1
35, 5 files changed, 96 insertions(+), 124 deletions(-),davidh17,5,96,124,1
36, 2 files changed, 4 insertions(+), 17 deletions(-),DavidQP,2,4,17,1
39, 1 file changed,,,dduartec,1,0,0,1
43, 0 files changed,,,DianaNavarrete,0,0,0,1
51, 0 files changed,,,feartheGru,0,0,0,1
71, 4 files changed,,,jdmonroyg,4,0,0,1
76, 0 files changed,,,JhonEmmanuelTorres,0,0,0,1
82, 2 files changed, 11 insertions(+), 24 deletions(-),jmalvarezd,2,11,24,1
88, 1 file changed, 17 insertions(+), 80 deletions(-),jorge52an,1,17,80,1
90, 2 files changed, 15 insertions(+), 50 deletions(-),jscastelblancoh,2,15,50,1
99, 1 file changed, 125 deletions(-),,juclopezso,1,125,0,1
103, 1 file changed, 44 insertions(+), 44 deletions(-),juligarji,1,44,44,1
104, 1 file changed, 2 insertions(+), 2 deletions(-),jumcorredorro,1,2,2,1
108, 0 files changed,,,kgbayala528,0,0,0,1
110, 2 files changed, 38 insertions(+), 54 deletions(-),lacardenasv,2,38,54,1
113, 1 file changed, 2 insertions(+), 4 deletions(-),lemartinp,1,2,4,1
115, 2 files changed, 65 insertions(+), 24 deletions(-),lgmoralesa,2,65,24,1
118, 2 files changed, 29 insertions(+), 66 deletions(-),lizzyt10h,2,29,66,1
122, 0 files changed,,,macuestap,0,0,0,1
125, 0 files changed,,,mballeng91,0,0,0,1
132, 2 files changed, 4 insertions(+), 243 deletions(-),ncampuzano,2,4,243,1
133, 0 files changed,,,nfmorenog,0,0,0,1
134, 4 files changed, 2 insertions(+), 4 deletions(-),NicolasPrr,4,2,4,1
136, 1 file changed, 2 insertions(+), 6 deletions(-),oacastillol,1,2,6,1
139, 0 files changed,,,ofnanezn,0,0,0,1
145, 2 files changed, 3 insertions(+),,ronaldsg20,2,3,0,1
148, 3 files changed, 858 insertions(+), 36 deletions(-),sarizag,3,858,36,1
150, 1 file changed, 26 insertions(+), 371 deletions(-),smarquezo,1,26,371,1
151, 0 files changed,,,spenas,0,0,0,1
152, 0 files changed,,,srmedinac,0,0,0,1
157, 2 files changed, 1 insertion(+), 4 deletions(-),wapiravaguens,2,1,4,1
158, 0 files changed,,,wilson911013,0,0,0,1
