Student,add-loc-23,delete-loc-23,change-files-23
annipi,0,0,0
bsgarciac,0,0,7
camilo654,0,0,0
camilo13152,21,38,2
CamiloRueda,0,0,0
cap182,0,0,0
capinillab,0,0,0
cdcordobaa,0,0,0
CristianLozano,0,0,0
DglyP,0,0,0
fffeelipe,0,0,0
fmbernalb,0,0,0
gabi04,0,0,1
hsmartineza,30,63,1
Januguerab,0,0,0
jcneivaa,0,0,0
jdsolanos,0,0,0
jdsuarezj,74,116,10
jjrodriguezn,57,98,1
jmcuestasb,6,9,1
JoseMolano,3,2,5
juandavidro,318,65,2
juanescai,0,0,1
Judgarciani,4,0,3
katherinsb,0,0,0
leavendanoro,52,21,3
lfvalderrama,131,20,2
maikellPardoA,0,0,0
mnguzmanc,31,95,1
MogGy94,0,0,0
Moimolcp,15,42,2
NicolasZon,0,0,0
odprietoh,0,0,0
pcberriop,2,0,2
pipemax85,0,0,0
sacastroc,1,0,7
UNhcrodriguezl,0,0,2
yocuervoc,0,0,0
adamantwharf,0,0,0
aldiazve,0,0,0
andfsanchezlem,0,0,0
anfmorenoso,0,0,0
bdcajicam,39,26,4
Christian7sr,0,0,0
crigar,0,0,0
daandradec,61,125,2
dasalgadob,0,0,0
dfhincapiem,0,0,0
diegoaguevarar,0,0,0
djguzmanc,86,306,2
dsbarrerag,2,12,1
falperezgo,0,0,0
fevargasmo,5,163,1
gasierram,2,53,1
gcantem,0,0,0
gfalbarracinr,40,36,5
gsuarezc04,0,0,0
helmeraac,0,0,0
ItsNavi,0,0,0
ivdgonzalezco,0,0,0
JairVillalba,18,48,3
jcrubioa,0,0,0
jesusfchavarro,311,127,2
jiapulidoar,24,61,1
jmhurtadoc,0,0,0
joahernandezca,0,0,0
jonatan360,47,53,2
jsnarvaezb,3,8,2
jsviveroj,12,52,2
jufcontrerasco,4,0,1
maikellPardo,0,0,0
miaborjaac,18,16,3
nabautistal,0,0,2
oeroaq,81,93,4
Semoralesga,0,0,0
stevenbustos,0,0,0
wolfstain,49,391,7
Zeugmax,0,0,0
bdvegat,25,50,3
begarzonf,3,4,2
ccvacad,0,0,0
cesarochoa2006,1,2,1
crarojasca,0,0,0
CSebasGomez,0,0,0
Dandarprox,0,0,0
davidrh195,0,0,0
Davsatu313,2,15,2
debeltranc,17,17,2
diegocruz10,45,93,2
fabianr23,20,35,4
Gantiva,9,17,2
HashNick,0,0,0
idrojasf,0,0,0
jhcardenasa,0,0,0
jhonsd1996,0,0,0
jhriverasa,1,3,2
jjmuesesq,0,0,1
jscontrerasp,19,43,3
JuanitoAli,178,316,5
juasmartinezbel,1,9,1
jucjimenezmo,0,0,0
JulianaNino,12,35,1
jusherrerama,0,0,0
kancas,0,0,0
kmendezp96,3,16,1
leguzman,62,408,5
ligibrial,21,9,1
lsfinite,8,32,2
luealfonsoru,1,1,1
luegilca,0,0,0
mdbelloc,0,0,0
oserasoa,1,6,1
Phoenixest,0,0,0
raulramirezp,0,0,0
sagilm,7,8,3
tres-iqus,0,0,0
xdanielsb,11,53,5
Yelis3,56,127,2
ykchautai,6,52,2
adriel62,21,88,3
afceballosr,8,23,2
AFelipeGA,0,0,0
afforeroc,0,0,0
capinzor,135,149,1
cccristanchoc,0,0,0
Chranium,0,0,0
dagofonseca,31,70,9
Danielsv9207,0,0,0
davidh17,51,136,4
DavidQP,53,49,2
dduartec,7,7,2
DianaNavarrete,0,0,0
feartheGru,0,0,0
jdmonroyg,0,0,0
JhonEmmanuelTorres,0,0,0
jmalvarezd,5,10,2
jorge52an,8,11,1
jscastelblancoh,40,107,1
juclopezso,0,0,0
juligarji,133,253,3
jumcorredorro,29,34,1
kgbayala528,8,88,2
lacardenasv,2,51,3
lemartinp,0,0,0
lgmoralesa,26,48,2
lizzyt10h,0,0,3
macuestap,8,6,2
mballeng91,0,0,0
ncampuzano,188,21,14
nfmorenog,5,5,1
NicolasPrr,0,0,0
oacastillol,1,12,2
ofnanezn,14,6,2
ronaldsg20,20,91,6
sarizag,0,0,0
smarquezo,0,0,0
spenas,0,0,0
srmedinac,2,2,1
wapiravaguens,13,18,2
wilson911013,0,0,0
