package,component
d3-array,.mean
d3-array,.deviation
d3-array,.variance
d3-array,.median
d3-array,.max
d3-array,.min
d3-array,.extent
d3-array,.sum
d3-array,.quantile
d3-array,.bisector
d3-array,.bisectRight
d3-array,.descending
d3-array,.scan
d3-array,.ascending
d3-array,.bisectLeft
d3-array,.bisect
d3-array,.tickIncrement
d3-array,.pairs
d3-array,.zip
d3-array,.permute
d3-array,.merge
d3-array,.cross
d3-array,.range
d3-array,.ticks
d3-array,.tickStep
d3-array,.transpose
d3-array,.shuffle
d3-array,.thresholdSturges
d3-array,.thresholdFreedmanDiaconis
d3-array,.thresholdScott
d3-array,.histogram
d3-axis,.axisRight
d3-axis,.axisBottom
d3-axis,.axisTop
d3-axis,.axisLeft
d3-brush,.brushSelection
d3-brush,.brushY
d3-brush,.brushX
d3-brush,.brush
d3-chord,.chord
d3-chord,.ribbon
d3-collection,.keys
d3-collection,.values
d3-collection,.entries
d3-collection,.map
d3-collection,.set
d3-collection,.nest
d3-color,.hsl
d3-color,.color
d3-color,.hcl
d3-color,.gray
d3-color,.lch
d3-color,.rgb
d3-color,.cubehelix
d3-color,.lab
d3-scale-chromatic,.schemePiYG
d3-scale-chromatic,.schemeOrRd
d3-scale-chromatic,.schemeSet3
d3-scale-chromatic,.schemeReds
d3-scale-chromatic,.interpolateCool
d3-scale-chromatic,.schemeRdBu
d3-scale-chromatic,.interpolateOrRd
d3-scale-chromatic,.schemeGreens
d3-scale-chromatic,.schemeOranges
d3-scale-chromatic,.schemeYlGnBu
d3-scale-chromatic,.interpolatePRGn
d3-scale-chromatic,.schemePuBuGn
d3-scale-chromatic,.interpolatePuBuGn
d3-scale-chromatic,.interpolateRainbow
d3-scale-chromatic,.interpolateBuGn
d3-scale-chromatic,.schemeRdGy
d3-scale-chromatic,.interpolateCubehelixDefault
d3-scale-chromatic,.interpolateMagma
d3-scale-chromatic,.interpolatePuBu
d3-scale-chromatic,.schemeSet2
d3-scale-chromatic,.interpolateSinebow
d3-scale-chromatic,.schemeGnBu
d3-scale-chromatic,.interpolateRdPu
d3-scale-chromatic,.interpolateBrBG
d3-scale-chromatic,.schemePuRd
d3-scale-chromatic,.schemePastel1
d3-scale-chromatic,.schemePRGn
d3-scale-chromatic,.interpolateGreens
d3-scale-chromatic,.interpolateOranges
d3-scale-chromatic,.interpolateReds
d3-scale-chromatic,.schemeGreys
d3-scale-chromatic,.interpolatePlasma
d3-scale-chromatic,.schemePuBu
d3-scale-chromatic,.schemeDark2
d3-scale-chromatic,.schemeBuGn
d3-scale-chromatic,.schemePastel2
d3-scale-chromatic,.interpolateRdGy
d3-scale-chromatic,.interpolateGnBu
d3-scale-chromatic,.interpolateWarm
d3-scale-chromatic,.schemeCategory10
d3-scale-chromatic,.interpolateGreys
d3-scale-chromatic,.schemeYlGn
d3-scale-chromatic,.interpolateRdYlGn
d3-scale-chromatic,.interpolateBuPu
d3-scale-chromatic,.interpolateRdBu
d3-scale-chromatic,.interpolateInferno
d3-scale-chromatic,.interpolatePurples
d3-scale-chromatic,.interpolatePuOr
d3-scale-chromatic,.schemeYlOrRd
d3-scale-chromatic,.schemeSet1
d3-scale-chromatic,.schemeRdYlBu
d3-scale-chromatic,.schemeYlOrBr
d3-scale-chromatic,.interpolateRdYlBu
d3-scale-chromatic,.schemePuOr
d3-scale-chromatic,.schemeBuPu
