,user2,group,phase,exploration,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,abs_perform_diff_best
0,fffeelipe,0,2,0.40625,1.0,0.0,5.0,3.0,1.0,201.65999999999997
1,mnguzmanc,0,2,0.8,2.0,1.0,3.0,2.0,4.0,213.32999999999998
2,jmcuestasb,0,2,1.0,1.0,3.0,4.0,2.0,6.0,250.82999999999998
3,katherinsb,0,2,0.0,1.0,2.0,4.0,2.0,0.0,300.83
4,jjrodriguezn,0,2,1.0,2.0,2.0,3.0,1.0,1.0,300.83
5,DglyP,0,2,0.8333333333333334,1.0,3.0,4.0,3.0,5.0,300.83
6,cap182,0,2,0.0,0.0,1.0,4.0,2.0,0.0,152.49999999999997
7,Judgarciani,0,2,0.5185185185185186,3.0,3.0,4.0,2.0,4.0,300.83
8,sacastroc,0,2,0.8333333333333334,1.0,2.0,4.0,2.0,3.0,225.82999999999998
9,pcberriop,0,2,0.0714285714285714,0.0,1.0,3.0,2.0,1.0,223.32999999999998
10,hsmartineza,0,2,0.34285714285714286,0.0,1.0,3.0,2.0,3.0,300.83
11,Moimolcp,0,2,0.0,1.0,1.0,5.0,1.0,2.0,275.83
12,CamiloRueda,0,2,1.0,3.0,3.0,6.0,1.0,3.0,300.83
13,juanescai,0,2,0.0,1.0,2.0,5.0,2.0,1.0,188.32999999999998
14,JoseMolano,0,2,0.9361702127659575,1.0,5.0,4.0,4.0,1.0,105.82999999999998
15,maikellPardoA,0,2,0.0,3.0,3.0,3.0,2.0,1.0,213.32999999999998
16,NicolasZon,0,2,0.07692307692307687,3.0,3.0,3.0,1.0,2.0,288.33
17,camilo654,0,2,0.7777777777777778,0.0,1.0,4.0,2.0,1.0,226.65999999999997
18,CristianLozano,0,2,0.5714285714285714,,,,,1.0,201.65999999999997
19,jdsuarezj,0,2,0.6590909090909092,1.0,3.0,3.0,2.0,2.0,138.32999999999998
20,pipemax85,0,2,0.045454545454545414,1.0,3.0,5.0,2.0,1.0,205.82999999999998
21,juandavidro,0,2,0.0,1.0,2.0,2.0,2.0,1.0,0.0
22,UNhcrodriguezl,0,2,0.6794871794871795,3.0,3.0,5.0,3.0,1.0,210.0
23,camilo13152,0,2,1.0,3.0,5.0,5.0,2.0,5.0,271.65999999999997
24,leavendanoro,0,2,0.5217391304347826,0.0,1.0,4.0,1.0,5.0,263.33
25,cdcordobaa,0,2,0.4375,2.0,4.0,5.0,2.0,1.0,210.0
26,capinillab,0,2,0.65,0.0,0.0,0.0,0.0,1.0,185.0
27,janoguerab,0,2,0.9166666666666666,3.0,3.0,4.0,2.0,1.0,300.83
28,lfvalderrama,0,2,0.275,0.0,3.0,5.0,2.0,2.0,225.82999999999998
29,bsgarciac,0,2,0.35,0.0,3.0,4.0,2.0,1.0,193.32999999999998
30,gabi04,0,2,1.0,0.0,0.0,5.0,2.0,4.0,300.83
31,annipi,0,2,0.0,1.0,0.0,4.0,2.0,0.0,300.83
32,jdsolanos,0,2,0.0,1.0,1.0,5.0,2.0,0.0,238.32999999999998
33,jcneivaa,0,2,0.0,0.0,0.0,4.0,2.0,0.0,300.83
34,fmbernalb,0,2,0.0,1.0,2.0,2.0,1.0,0.0,300.83
35,MogGy94,0,2,0.0,3.0,3.0,4.0,0.0,0.0,288.33
36,yocuervoc,0,2,0.0,0.0,1.0,5.0,2.0,0.0,300.83
37,odprietoh,0,2,0.0,4.0,4.0,5.0,2.0,0.0,275.83
38,fffeelipe,0,3,0.0,1.0,0.0,5.0,3.0,1.0,75.0
39,mnguzmanc,0,3,0.989001319841619,2.0,1.0,3.0,2.0,12.0,27.5
40,jmcuestasb,0,3,0.0,1.0,3.0,4.0,2.0,2.0,106.66999999999999
41,katherinsb,0,3,0.0,1.0,2.0,4.0,2.0,1.0,235.0
42,jjrodriguezn,0,3,0.8205128205128205,2.0,2.0,3.0,1.0,3.0,135.82999999999998
43,DglyP,0,3,0.0,1.0,3.0,4.0,3.0,3.0,124.17
44,cap182,0,3,0.0,0.0,1.0,4.0,2.0,0.0,214.17000000000002
45,Judgarciani,0,3,0.47857142857142854,3.0,3.0,4.0,2.0,8.0,160.82999999999998
46,sacastroc,0,3,0.5,1.0,2.0,4.0,2.0,9.0,44.16999999999999
47,pcberriop,0,3,0.0,0.0,1.0,3.0,2.0,4.0,81.66999999999999
48,hsmartineza,0,3,0.4181818181818182,0.0,1.0,3.0,2.0,4.0,160.82999999999998
49,Moimolcp,0,3,0.5375,1.0,1.0,5.0,1.0,3.0,126.67
50,CamiloRueda,0,3,0.0,3.0,3.0,6.0,1.0,0.0,185.0
51,juanescai,0,3,0.0,1.0,2.0,5.0,2.0,1.0,185.0
52,JoseMolano,0,3,0.04081632653061229,1.0,5.0,4.0,4.0,1.0,101.66999999999999
53,maikellPardoA,0,3,0.0,3.0,3.0,3.0,2.0,1.0,160.0
54,NicolasZon,0,3,0.0,3.0,3.0,3.0,1.0,0.0,147.5
55,camilo654,0,3,0.0,0.0,1.0,4.0,2.0,1.0,52.5
56,CristianLozano,0,3,0.0,,,,,0.0,144.17000000000002
57,jdsuarezj,0,3,0.3787878787878788,1.0,3.0,3.0,2.0,8.0,122.5
58,pipemax85,0,3,0.2142857142857143,1.0,3.0,5.0,2.0,1.0,144.17000000000002
59,juandavidro,0,3,0.890625,1.0,2.0,2.0,2.0,1.0,119.16999999999999
60,UNhcrodriguezl,0,3,0.22340425531914898,3.0,3.0,5.0,3.0,6.0,56.66999999999999
61,camilo13152,0,3,0.8169014084507042,3.0,5.0,5.0,2.0,4.0,144.17000000000002
62,leavendanoro,0,3,0.4571428571428572,0.0,1.0,4.0,1.0,6.0,135.0
63,cdcordobaa,0,3,0.0,2.0,4.0,5.0,2.0,1.0,56.66999999999999
64,capinillab,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,janoguerab,0,3,0.0,3.0,3.0,4.0,2.0,0.0,160.82999999999998
66,lfvalderrama,0,3,0.4032258064516129,0.0,3.0,5.0,2.0,1.0,105.83000000000001
67,bsgarciac,0,3,0.4,0.0,3.0,4.0,2.0,3.0,15.830000000000013
68,gabi04,0,3,0.2931034482758621,0.0,0.0,5.0,2.0,1.0,185.0
69,annipi,0,3,0.0,1.0,0.0,4.0,2.0,0.0,235.0
70,jdsolanos,0,3,0.0,1.0,1.0,5.0,2.0,0.0,235.0
71,jcneivaa,0,3,0.0,0.0,0.0,4.0,2.0,0.0,235.0
72,fmbernalb,0,3,0.0,1.0,2.0,2.0,1.0,0.0,235.0
73,MogGy94,0,3,0.0,3.0,3.0,4.0,0.0,0.0,235.0
74,yocuervoc,0,3,0.0,0.0,1.0,5.0,2.0,0.0,235.0
75,odprietoh,0,3,0.0,4.0,4.0,5.0,2.0,0.0,185.0
76,fffeelipe,0,4,0.7747747747747747,1.0,0.0,5.0,3.0,3.0,120.82999999999998
77,mnguzmanc,0,4,0.013495864170657401,2.0,1.0,3.0,2.0,7.0,56.66
78,jmcuestasb,0,4,0.0,1.0,3.0,4.0,2.0,1.0,160.82999999999998
79,katherinsb,0,4,1.0,1.0,2.0,4.0,2.0,0.0,293.33
80,jjrodriguezn,0,4,0.0357142857142857,2.0,2.0,3.0,1.0,0.0,190.0
81,DglyP,0,4,0.9915611814345991,1.0,3.0,4.0,3.0,1.0,153.32999999999998
82,cap182,0,4,0.0,0.0,1.0,4.0,2.0,0.0,244.15999999999997
83,Judgarciani,0,4,0.036231884057971064,3.0,3.0,4.0,2.0,4.0,71.66
84,sacastroc,0,4,0.40625,1.0,2.0,4.0,2.0,3.0,77.49999999999997
85,pcberriop,0,4,0.49295774647887325,0.0,1.0,3.0,2.0,1.0,127.49999999999997
86,hsmartineza,0,4,0.44594594594594594,0.0,1.0,3.0,2.0,2.0,62.49999999999997
87,Moimolcp,0,4,0.07317073170731703,1.0,1.0,5.0,1.0,3.0,123.32999999999998
88,CamiloRueda,0,4,0.0,3.0,3.0,6.0,1.0,0.0,243.32999999999998
89,juanescai,0,4,0.0,1.0,2.0,5.0,2.0,1.0,231.65999999999997
90,JoseMolano,0,4,0.0,1.0,5.0,4.0,4.0,1.0,4.159999999999968
91,maikellPardoA,0,4,0.0,3.0,3.0,3.0,2.0,0.0,210.0
92,NicolasZon,0,4,0.0,3.0,3.0,3.0,1.0,0.0,205.82999999999998
93,camilo654,0,4,0.6285714285714286,0.0,1.0,4.0,2.0,1.0,131.66
94,CristianLozano,0,4,0.0,,,,,0.0,206.65999999999997
95,jdsuarezj,0,4,0.0,1.0,3.0,3.0,2.0,0.0,0.0
96,pipemax85,0,4,0.0,1.0,3.0,5.0,2.0,0.0,190.0
97,juandavidro,0,4,0.0,1.0,2.0,2.0,2.0,1.0,117.49999999999997
98,UNhcrodriguezl,0,4,0.0,3.0,3.0,5.0,3.0,1.0,102.49999999999997
99,camilo13152,0,4,0.21590909090909094,3.0,5.0,5.0,2.0,3.0,74.99999999999997
100,leavendanoro,0,4,0.34042553191489366,0.0,1.0,4.0,1.0,1.0,180.82999999999998
101,cdcordobaa,0,4,0.0,2.0,4.0,5.0,2.0,0.0,102.49999999999997
102,capinillab,0,4,0.4285714285714286,0.0,0.0,0.0,0.0,1.0,66.66
103,janoguerab,0,4,0.0,3.0,3.0,4.0,2.0,0.0,194.15999999999997
104,lfvalderrama,0,4,0.07936507936507942,0.0,3.0,5.0,2.0,1.0,42.91
105,bsgarciac,0,4,0.23076923076923073,0.0,3.0,4.0,2.0,5.0,20.829999999999984
106,gabi04,0,4,0.0,0.0,0.0,5.0,2.0,0.0,219.15999999999997
107,annipi,0,4,0.0,1.0,0.0,4.0,2.0,0.0,293.33
108,jdsolanos,0,4,0.0,1.0,1.0,5.0,2.0,0.0,293.33
109,jcneivaa,0,4,0.0,0.0,0.0,4.0,2.0,0.0,293.33
110,fmbernalb,0,4,0.0,1.0,2.0,2.0,1.0,0.0,293.33
111,MogGy94,0,4,0.0,3.0,3.0,4.0,0.0,0.0,293.33
112,yocuervoc,0,4,0.0,0.0,1.0,5.0,2.0,0.0,293.33
113,odprietoh,0,4,0.0,4.0,4.0,5.0,2.0,0.0,293.33
114,fffeelipe,0,5,0.10256410256410253,1.0,0.0,5.0,3.0,1.0,120.41
115,mnguzmanc,0,5,0.004784688995215336,2.0,1.0,3.0,2.0,8.0,68.32999999999998
116,jmcuestasb,0,5,0.02941176470588236,1.0,3.0,4.0,2.0,1.0,92.49999999999997
117,katherinsb,0,5,0.9960903562119896,1.0,2.0,4.0,2.0,1.0,184.99999999999997
118,jjrodriguezn,0,5,0.09677419354838712,2.0,2.0,3.0,1.0,1.0,181.66
119,DglyP,0,5,0.20536025060911933,1.0,3.0,4.0,3.0,11.0,150.82999999999998
120,cap182,0,5,0.0,0.0,1.0,4.0,2.0,0.0,264.15999999999997
121,Judgarciani,0,5,0.3963133640552995,3.0,3.0,4.0,2.0,7.0,70.82999999999998
122,sacastroc,0,5,0.17045454545454541,1.0,2.0,4.0,2.0,1.0,93.32999999999998
123,pcberriop,0,5,0.4854368932038835,0.0,1.0,3.0,2.0,2.0,147.49999999999997
124,hsmartineza,0,5,0.07462686567164178,0.0,1.0,3.0,2.0,2.0,137.07999999999998
125,Moimolcp,0,5,0.15217391304347827,1.0,1.0,5.0,1.0,2.0,192.5
126,CamiloRueda,0,5,0.0,3.0,3.0,6.0,1.0,0.0,243.32999999999998
127,juanescai,0,5,0.0,1.0,2.0,5.0,2.0,1.0,263.33
128,JoseMolano,0,5,0.0,1.0,5.0,4.0,4.0,1.0,96.66
129,maikellPardoA,0,5,0.0,3.0,3.0,3.0,2.0,0.0,288.33
130,NicolasZon,0,5,0.0,3.0,3.0,3.0,1.0,0.0,225.82999999999998
131,camilo654,0,5,0.0,0.0,1.0,4.0,2.0,1.0,69.99999999999997
132,CristianLozano,0,5,0.0,,,,,0.0,165.82999999999998
133,jdsuarezj,0,5,0.0,1.0,3.0,3.0,2.0,0.0,36.65999999999997
134,pipemax85,0,5,0.0,1.0,3.0,5.0,2.0,0.0,210.0
135,juandavidro,0,5,0.0,1.0,2.0,2.0,2.0,1.0,201.65999999999997
136,UNhcrodriguezl,0,5,0.0,3.0,3.0,5.0,3.0,0.0,97.49999999999997
137,camilo13152,0,5,0.0,3.0,5.0,5.0,2.0,2.0,69.99999999999997
138,leavendanoro,0,5,0.2962962962962963,0.0,1.0,4.0,1.0,1.0,188.32999999999998
139,cdcordobaa,0,5,0.0,2.0,4.0,5.0,2.0,0.0,122.49999999999997
140,capinillab,0,5,0.5185185185185186,0.0,0.0,0.0,0.0,1.0,61.66
141,janoguerab,0,5,0.0,3.0,3.0,4.0,2.0,0.0,214.15999999999997
142,lfvalderrama,0,5,0.12121212121212122,0.0,3.0,5.0,2.0,1.0,105.82999999999998
143,bsgarciac,0,5,0.007633587786259555,0.0,3.0,4.0,2.0,4.0,0.0
144,gabi04,0,5,0.26582278481012656,0.0,0.0,5.0,2.0,1.0,239.15999999999997
145,annipi,0,5,0.0,1.0,0.0,4.0,2.0,0.0,313.33
146,jdsolanos,0,5,0.0,1.0,1.0,5.0,2.0,0.0,313.33
147,jcneivaa,0,5,0.0,0.0,0.0,4.0,2.0,0.0,313.33
148,fmbernalb,0,5,0.0,1.0,2.0,2.0,1.0,0.0,313.33
149,MogGy94,0,5,0.0,3.0,3.0,4.0,0.0,0.0,313.33
150,yocuervoc,0,5,0.0,0.0,1.0,5.0,2.0,0.0,313.33
151,odprietoh,0,5,0.0,4.0,4.0,5.0,2.0,0.0,313.33
152,gasierram,1,2,0.0,3.0,4.0,5.0,4.0,1.0,134.17000000000002
153,adamantwharf,1,2,0.0,,,,,0.0,246.67000000000002
154,bdcajicam,1,2,0.0,0.0,2.0,5.0,2.0,0.0,304.17
155,andfsanchezlem,1,2,0.0,0.0,1.0,3.0,1.0,1.0,259.17
156,dfhincapiem,1,2,1.0,4.0,1.0,5.0,1.0,1.0,329.17
157,helmeraac,1,2,0.6,5.0,4.0,6.0,4.0,2.0,259.17
158,dasalgadob,1,2,0.0,1.0,2.0,4.0,3.0,0.0,229.17000000000002
159,falperezgo,1,2,0.9891975308641975,4.0,4.0,5.0,3.0,2.0,72.5
160,djguzmanc,1,2,0.4509803921568627,0.0,5.0,6.0,3.0,3.0,48.34000000000003
161,gsuarezc04,1,2,1.0,1.0,1.0,3.0,2.0,1.0,329.17
162,oeroaq,1,2,0.28846153846153844,4.0,4.0,5.0,3.0,5.0,98.34
163,gcantem,1,2,0.0,0.0,2.0,5.0,2.0,0.0,0.0
164,Semoralesga,1,2,0.9977846699158175,4.0,3.0,4.0,2.0,1.0,263.34000000000003
165,jonatan360,1,2,0.35106382978723405,4.0,4.0,6.0,4.0,0.0,43.34000000000003
166,jesusfchavarro,1,2,0.9847328244274809,4.0,3.0,6.0,3.0,7.0,80.84
167,jesusfchavarro,1,2,0.9847328244274809,4.0,3.0,6.0,3.0,7.0,80.84
168,jesusfchavarro,1,2,0.9847328244274809,5.0,3.0,6.0,3.0,7.0,80.84
169,jesusfchavarro,1,2,0.9847328244274809,5.0,3.0,6.0,3.0,7.0,80.84
170,stevenbustos,1,2,1.0,0.0,1.0,0.0,1.0,1.0,196.67000000000002
171,jufcontrerasco,1,2,0.07692307692307687,0.0,0.0,5.0,2.0,1.0,237.5
172,dsbarrerag,1,2,0.5882352941176471,0.0,4.0,5.0,2.0,1.0,103.34
173,wolfstain,1,2,0.3902439024390244,3.0,3.0,6.0,0.0,3.0,255.0
174,miaborjaac,1,2,0.48039215686274506,0.0,0.0,4.0,1.0,2.0,209.17000000000002
175,ivdgonzalezco,1,2,0.0,1.0,4.0,4.0,2.0,1.0,329.17
176,maikellPardo,1,2,0.0,4.0,4.0,4.0,2.0,0.0,241.67000000000002
177,Christian7sr,1,2,0.5,3.0,3.0,3.0,2.0,2.0,255.0
178,jsnarvaezb,1,2,0.7540983606557377,0.0,1.0,3.0,2.0,8.0,155.00000000000003
179,gfalbarracinr,1,2,0.2222222222222222,1.0,1.0,5.0,2.0,2.0,266.67
180,aldiazve,1,2,0.9890784982935154,0.0,3.0,6.0,3.0,4.0,209.17000000000002
181,diegoaguevarar,1,2,0.007299270072992692,0.0,1.0,5.0,2.0,1.0,241.67000000000002
182,fevargasmo,1,2,0.6923076923076923,2.0,3.0,4.0,4.0,4.0,164.17000000000002
183,jmhurtadoc,1,2,0.0,6.0,6.0,6.0,2.0,0.0,166.67000000000002
184,anfmorenoso,1,2,1.0,0.0,2.0,5.0,2.0,2.0,231.67000000000002
185,nabautistal,1,2,0.0,0.0,0.0,3.0,1.0,1.0,271.67
186,crigar,1,2,0.0,1.0,0.0,2.0,4.0,0.0,259.17
187,jiapulidoar,1,2,0.8884120171673819,4.0,4.0,5.0,2.0,4.0,110.00000000000003
188,jsviveroj,1,2,0.725,1.0,3.0,4.0,2.0,3.0,225.84000000000003
189,daandradec,1,2,0.6576576576576576,2.0,2.0,6.0,2.0,0.0,191.67000000000002
190,jcrubioa,1,2,0.02608695652173909,0.0,0.0,5.0,2.0,1.0,192.50000000000003
191,joahernandezca,1,2,0.975609756097561,1.0,1.0,0.0,0.0,1.0,179.17000000000002
192,ItsNavi,1,2,0.0,1.0,2.0,5.0,2.0,0.0,329.17
193,Zeugmax,1,2,0.0,1.0,3.0,5.0,2.0,0.0,329.17
194,JairVillalba,1,2,0.8260869565217391,1.0,1.0,3.0,2.0,7.0,266.67
195,gasierram,1,3,0.7213114754098361,3.0,4.0,5.0,4.0,1.0,192.49999999999997
196,adamantwharf,1,3,0.0,,,,,0.0,238.32999999999998
197,bdcajicam,1,3,0.9166666666666666,0.0,2.0,5.0,2.0,1.0,238.32999999999998
198,andfsanchezlem,1,3,0.0,0.0,1.0,3.0,1.0,1.0,275.83
199,dfhincapiem,1,3,0.0,4.0,1.0,5.0,1.0,0.0,204.99999999999997
200,helmeraac,1,3,0.0,5.0,4.0,6.0,4.0,2.0,183.32999999999998
201,dasalgadob,1,3,0.0,1.0,2.0,4.0,3.0,0.0,258.33
202,falperezgo,1,3,0.0,4.0,4.0,5.0,3.0,2.0,3.329999999999984
203,djguzmanc,1,3,0.17307692307692313,0.0,5.0,6.0,3.0,3.0,67.07999999999998
204,gsuarezc04,1,3,0.0,1.0,1.0,3.0,2.0,0.0,199.99999999999997
205,oeroaq,1,3,0.7932960893854748,4.0,4.0,5.0,3.0,7.0,45.0
206,gcantem,1,3,0.0,0.0,2.0,5.0,2.0,0.0,81.66
207,Semoralesga,1,3,0.0,4.0,3.0,4.0,2.0,2.0,142.49999999999997
208,jonatan360,1,3,0.33333333333333337,4.0,4.0,6.0,4.0,5.0,105.82999999999998
209,jesusfchavarro,1,3,0.025475543478260865,4.0,3.0,6.0,3.0,10.0,44.15999999999997
210,jesusfchavarro,1,3,0.025475543478260865,4.0,3.0,6.0,3.0,10.0,44.15999999999997
211,jesusfchavarro,1,3,0.025475543478260865,5.0,3.0,6.0,3.0,10.0,44.15999999999997
212,jesusfchavarro,1,3,0.025475543478260865,5.0,3.0,6.0,3.0,10.0,44.15999999999997
213,stevenbustos,1,3,0.0,0.0,1.0,0.0,1.0,1.0,230.0
214,jufcontrerasco,1,3,0.0,0.0,0.0,5.0,2.0,3.0,225.0
215,dsbarrerag,1,3,0.37735849056603776,0.0,4.0,5.0,2.0,1.0,0.0
216,wolfstain,1,3,0.8355555555555556,3.0,3.0,6.0,0.0,3.0,142.49999999999997
217,miaborjaac,1,3,0.10784313725490191,0.0,0.0,4.0,1.0,3.0,217.5
218,ivdgonzalezco,1,3,0.0,1.0,4.0,4.0,2.0,1.0,204.99999999999997
219,maikellPardo,1,3,0.0,4.0,4.0,4.0,2.0,0.0,270.83
220,Christian7sr,1,3,0.6666666666666667,3.0,3.0,3.0,2.0,1.0,221.65999999999997
221,jsnarvaezb,1,3,0.01851851851851849,0.0,1.0,3.0,2.0,3.0,125.82999999999998
222,gfalbarracinr,1,3,0.6428571428571428,1.0,1.0,5.0,2.0,1.0,270.83
223,aldiazve,1,3,0.0,0.0,3.0,6.0,3.0,1.0,122.49999999999997
224,diegoaguevarar,1,3,0.0,0.0,1.0,5.0,2.0,1.0,114.16
225,fevargasmo,1,3,0.4897959183673469,2.0,3.0,4.0,4.0,1.0,204.16
226,jmhurtadoc,1,3,0.0,6.0,6.0,6.0,2.0,0.0,245.82999999999998
227,anfmorenoso,1,3,0.0,0.0,2.0,5.0,2.0,1.0,217.5
228,nabautistal,1,3,0.5714285714285714,0.0,0.0,3.0,1.0,1.0,234.15999999999997
229,crigar,1,3,0.0,1.0,0.0,2.0,4.0,0.0,238.32999999999998
230,jiapulidoar,1,3,0.07936507936507942,4.0,4.0,5.0,2.0,2.0,76.65999999999997
231,jsviveroj,1,3,0.21568627450980393,1.0,3.0,4.0,2.0,3.0,179.99999999999997
232,daandradec,1,3,0.27210884353741494,2.0,2.0,6.0,2.0,0.0,20.0
233,jcrubioa,1,3,0.0,0.0,0.0,5.0,2.0,0.0,145.82999999999998
234,joahernandezca,1,3,0.0,1.0,1.0,0.0,0.0,1.0,258.33
235,ItsNavi,1,3,0.0,1.0,2.0,5.0,2.0,0.0,320.83
236,Zeugmax,1,3,0.0,1.0,3.0,5.0,2.0,0.0,320.83
237,JairVillalba,1,3,0.3529411764705882,1.0,1.0,3.0,2.0,5.0,270.83
238,gasierram,1,4,0.0,3.0,4.0,5.0,4.0,2.0,213.32999999999998
239,adamantwharf,1,4,0.0,,,,,0.0,250.82999999999998
240,bdcajicam,1,4,0.0,0.0,2.0,5.0,2.0,0.0,188.32999999999998
241,andfsanchezlem,1,4,0.0,0.0,1.0,3.0,1.0,1.0,300.83
242,dfhincapiem,1,4,0.0,4.0,1.0,5.0,1.0,0.0,238.32999999999998
243,helmeraac,1,4,0.6,5.0,4.0,6.0,4.0,2.0,291.65999999999997
244,dasalgadob,1,4,0.0,1.0,2.0,4.0,3.0,0.0,295.83
245,falperezgo,1,4,0.03436254980079678,4.0,4.0,5.0,3.0,1.0,7.5
246,djguzmanc,1,4,0.25757575757575757,0.0,5.0,6.0,3.0,6.0,40.829999999999984
247,gsuarezc04,1,4,0.0,1.0,1.0,3.0,2.0,0.0,295.83
248,oeroaq,1,4,0.7809311224489796,4.0,4.0,5.0,3.0,10.0,25.0
249,gcantem,1,4,0.8408163265306122,0.0,2.0,5.0,2.0,7.0,119.16
250,Semoralesga,1,4,0.9960264900662251,4.0,3.0,4.0,2.0,1.0,167.49999999999997
251,jonatan360,1,4,0.28125,4.0,4.0,6.0,4.0,11.0,12.909999999999968
252,jesusfchavarro,1,4,0.5540313976527969,4.0,3.0,6.0,3.0,8.0,0.0
253,jesusfchavarro,1,4,0.5540313976527969,4.0,3.0,6.0,3.0,8.0,0.0
254,jesusfchavarro,1,4,0.5540313976527969,5.0,3.0,6.0,3.0,8.0,0.0
255,jesusfchavarro,1,4,0.5540313976527969,5.0,3.0,6.0,3.0,8.0,0.0
256,stevenbustos,1,4,0.7142857142857143,0.0,1.0,0.0,1.0,1.0,242.5
257,jufcontrerasco,1,4,0.92,0.0,0.0,5.0,2.0,4.0,217.49999999999997
258,dsbarrerag,1,4,0.08771929824561409,0.0,4.0,5.0,2.0,1.0,20.829999999999984
259,wolfstain,1,4,0.06329113924050633,3.0,3.0,6.0,0.0,1.0,150.82999999999998
