,user2,group,phase,exploration,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
0,fffeelipe,0,2,0.40625,1.0,0.0,5.0,3.0,1.0
1,mnguzmanc,0,2,0.8,2.0,1.0,3.0,2.0,4.0
2,jmcuestasb,0,2,1.0,1.0,3.0,4.0,2.0,6.0
3,katherinsb,0,2,0.0,1.0,2.0,4.0,2.0,0.0
4,jjrodriguezn,0,2,1.0,2.0,2.0,3.0,1.0,1.0
5,DglyP,0,2,0.8333333333333334,1.0,3.0,4.0,3.0,5.0
6,cap182,0,2,0.0,0.0,1.0,4.0,2.0,0.0
7,Judgarciani,0,2,0.5185185185185186,3.0,3.0,4.0,2.0,4.0
8,sacastroc,0,2,0.8333333333333334,1.0,2.0,4.0,2.0,3.0
9,pcberriop,0,2,0.0714285714285714,0.0,1.0,3.0,2.0,1.0
10,hsmartineza,0,2,0.34285714285714286,0.0,1.0,3.0,2.0,3.0
11,Moimolcp,0,2,0.0,1.0,1.0,5.0,1.0,2.0
12,CamiloRueda,0,2,1.0,3.0,3.0,6.0,1.0,3.0
13,juanescai,0,2,0.0,1.0,2.0,5.0,2.0,1.0
14,JoseMolano,0,2,0.9361702127659575,1.0,5.0,4.0,4.0,1.0
15,maikellPardoA,0,2,0.0,3.0,3.0,3.0,2.0,1.0
16,NicolasZon,0,2,0.07692307692307687,3.0,3.0,3.0,1.0,2.0
17,camilo654,0,2,0.7777777777777778,0.0,1.0,4.0,2.0,1.0
18,CristianLozano,0,2,0.5714285714285714,,,,,1.0
19,jdsuarezj,0,2,0.6590909090909092,1.0,3.0,3.0,2.0,2.0
20,pipemax85,0,2,0.045454545454545414,1.0,3.0,5.0,2.0,1.0
21,juandavidro,0,2,0.0,1.0,2.0,2.0,2.0,1.0
22,UNhcrodriguezl,0,2,0.6794871794871795,3.0,3.0,5.0,3.0,1.0
23,camilo13152,0,2,1.0,3.0,5.0,5.0,2.0,5.0
24,leavendanoro,0,2,0.5217391304347826,0.0,1.0,4.0,1.0,5.0
25,cdcordobaa,0,2,0.4375,2.0,4.0,5.0,2.0,1.0
26,capinillab,0,2,0.65,0.0,0.0,0.0,0.0,1.0
27,janoguerab,0,2,0.9166666666666666,3.0,3.0,4.0,2.0,1.0
28,lfvalderrama,0,2,0.275,0.0,3.0,5.0,2.0,2.0
29,bsgarciac,0,2,0.35,0.0,3.0,4.0,2.0,1.0
30,gabi04,0,2,1.0,0.0,0.0,5.0,2.0,4.0
31,annipi,0,2,0.0,1.0,0.0,4.0,2.0,0.0
32,jdsolanos,0,2,0.0,1.0,1.0,5.0,2.0,0.0
33,jcneivaa,0,2,0.0,0.0,0.0,4.0,2.0,0.0
34,fmbernalb,0,2,0.0,1.0,2.0,2.0,1.0,0.0
35,MogGy94,0,2,0.0,3.0,3.0,4.0,0.0,0.0
36,yocuervoc,0,2,0.0,0.0,1.0,5.0,2.0,0.0
37,odprietoh,0,2,0.0,4.0,4.0,5.0,2.0,0.0
38,fffeelipe,0,3,0.0,1.0,0.0,5.0,3.0,1.0
39,mnguzmanc,0,3,0.989001319841619,2.0,1.0,3.0,2.0,12.0
40,jmcuestasb,0,3,0.0,1.0,3.0,4.0,2.0,2.0
41,katherinsb,0,3,0.0,1.0,2.0,4.0,2.0,1.0
42,jjrodriguezn,0,3,0.8205128205128205,2.0,2.0,3.0,1.0,3.0
43,DglyP,0,3,0.0,1.0,3.0,4.0,3.0,3.0
44,cap182,0,3,0.0,0.0,1.0,4.0,2.0,0.0
45,Judgarciani,0,3,0.47857142857142854,3.0,3.0,4.0,2.0,8.0
