,Student,Group,added_sum,phase
0,fffeelipe,0.0,[],1
1,mnguzmanc,0.0,"['document.getElementById', 'google.maps.Marker', 'google.maps.Map']",1
2,jmcuestasb,0.0,"['xmlhttp.responseText', 'xmlhttp.send', 'google.maps.DirectionsRenderer', 'xmlhttp.open', 'dr.setDirections', '.toFixed', 'xmlhttp.status', '.main', 'json.data', 'google.maps.TravelMode.DRIVING', 'jquerydata.js', 'api.openweathermap.org', 'console.log', 'google.maps.Point', 'google.maps.Size', '.innerHTML', 'google.maps.LatLng', 'JSON.parse', 'GetSearchResults.htm', 'data.cityofchicago.org', 'rows.json', 'json.weather', 'ds.route', 'google.maps.event.addListener', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'xmlhttp.setRequestHeader', '.each', 'google.maps.DirectionsService']",1
