,improve-ur,improve-vis,improve-total,improve-novel,improve-tech,Group,Student,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,stage,count
0,40.0,8.329999999999998,73.33,0.0,25.0,0.0,fffeelipe,1.0,0.0,5.0,3.0,2,1.0
1,20.0,37.5,132.5,75.0,0.0,0.0,mnguzmanc,2.0,1.0,3.0,2.0,2,4.0
2,20.0,33.33,90.83000000000001,25.0,12.5,0.0,jmcuestasb,1.0,3.0,4.0,2.0,2,6.0
3,0.0,0.0,12.5,0.0,12.5,0.0,katherinsb,1.0,2.0,4.0,2.0,2,0.0
4,20.0,29.17,111.67,0.0,62.5,0.0,jjrodriguezn,2.0,2.0,3.0,1.0,2,1.0
5,40.0,45.83,123.33,0.0,37.5,0.0,DglyP,1.0,3.0,4.0,3.0,2,5.0
6,-40.0,-12.5,-115.00000000000001,-75.0,12.5,0.0,cap182,0.0,1.0,4.0,2.0,2,0.0
7,20.0,45.83,65.83,0.0,0.0,0.0,annumumozme,,,,,2,0.0
8,20.0,29.17,86.67,0.0,37.5,0.0,Judgarciani,3.0,3.0,4.0,2.0,2,4.0
9,20.0,8.329999999999998,128.33,62.5,37.5,0.0,sacastroc,1.0,2.0,4.0,2.0,2,3.0
10,-20.0,8.329999999999998,88.33000000000001,62.5,37.5,0.0,pcberriop,0.0,1.0,3.0,2.0,2,1.0
11,20.0,29.17,86.67,0.0,37.5,0.0,hsmartineza,0.0,1.0,3.0,2.0,2,3.0
12,0.0,33.33,95.83,25.0,37.5,0.0,Moimolcp,1.0,1.0,5.0,1.0,2,2.0
13,0.0,25.0,62.5,0.0,37.5,0.0,CamiloRueda,3.0,3.0,6.0,1.0,2,3.0
14,0.0,0.0,-50.0,-37.5,-12.5,0.0,juanescai,1.0,2.0,5.0,2.0,2,1.0
15,-20.0,-16.67,-49.16999999999999,-12.5,0.0,0.0,JoseMolano,1.0,5.0,4.0,4.0,2,1.0
16,0.0,0.0,0.0,0.0,0.0,0.0,maikellPardoA,3.0,3.0,3.0,2.0,2,1.0
17,0.0,25.0,87.5,25.0,37.5,0.0,NicolasZon,3.0,3.0,3.0,1.0,2,2.0
18,0.0,-4.170000000000002,120.83,87.5,37.5,0.0,camilo654,0.0,1.0,4.0,2.0,2,1.0
19,0.0,4.159999999999997,4.159999999999997,0.0,0.0,0.0,CristianLozano,,,,,2,1.0
20,0.0,0.0,-37.5,-50.0,12.5,0.0,jdsuarezj,1.0,3.0,3.0,2.0,2,2.0
21,0.0,8.329999999999998,8.329999999999998,0.0,0.0,0.0,pipemax85,1.0,3.0,5.0,2.0,2,1.0
22,-60.0,-25.0,-172.49999999999997,-50.0,-37.5,0.0,juandavidro,1.0,2.0,2.0,2.0,2,1.0
23,0.0,0.0,100.00000000000001,62.5,37.5,0.0,UNhcrodriguezl,3.0,3.0,5.0,3.0,2,1.0
24,20.0,4.159999999999997,74.16,0.0,50.0,0.0,camilo13152,3.0,5.0,5.0,2.0,2,5.0
25,0.0,25.0,75.0,25.0,25.0,0.0,leavendanoro,0.0,1.0,4.0,1.0,2,5.0
