,Unnamed: 0,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,total,user-requirement,infovis,novelty_score
0,5,lizzyt10h,1,0.4,3,175.0,lizzyt10h,2.0,1.0,5.0,2.0,7.0,75.0,0.0,0.0,0.0
1,6,AFelipeGA,1,0.4,3,291.67,AFelipeGA,4.0,3.0,5.0,2.0,3.0,152.5,40.0,37.5,0.0
2,7,wapiravaguens,1,0.4,3,90.0,wapiravaguens,0.0,1.0,4.0,2.0,1.0,192.5,80.0,50.0,0.0
3,8,capinzor,1,0.413793103448276,3,221.67,capinzor,0.0,0.0,2.0,2.0,0.0,120.0,20.0,25.0,0.0
4,9,lacardenasv,1,0.424657534246575,3,142.5,lacardenasv,1.0,2.0,5.0,4.0,2.0,264.17,60.0,54.17,87.5
5,10,ncampuzano,1,0.428571428571429,3,237.5,ncampuzano,1.0,3.0,4.0,2.0,13.0,124.17,20.0,29.17,25.0
6,11,afforeroc,1,0.428571428571429,3,263.34,afforeroc,1.0,4.0,3.0,2.0,0.0,103.33,20.0,33.33,0.0
7,12,adriel62,1,0.431372549019608,3,225.84,adriel62,1.0,3.0,5.0,2.0,2.0,203.33,20.0,33.33,62.5
8,13,spenas,1,0.444444444444444,3,200.84,spenas,5.0,4.0,6.0,1.0,1.0,115.83,20.0,33.33,0.0
9,14,Chranium,1,0.5,3,284.17,Chranium,4.0,5.0,6.0,2.0,0.0,107.5,20.0,25.0,0.0
10,15,macuestap,1,0.545454545454545,3,160.42,macuestap,0.0,1.0,4.0,1.0,3.0,145.0,20.0,37.5,25.0
11,16,ofnanezn,1,0.590909090909091,3,316.67,ofnanezn,0.0,1.0,6.0,2.0,1.0,132.5,20.0,37.5,25.0
12,17,dagofonseca,1,0.592592592592593,3,271.67,dagofonseca,0.0,0.0,2.0,2.0,1.0,190.0,40.0,25.0,75.0
13,18,davidh17,1,0.616438356164384,3,173.34,davidh17,3.0,3.0,5.0,3.0,0.0,245.83,100.0,58.33,25.0
14,19,DianaNavarrete,1,0.625,3,229.17,DianaNavarrete,0.0,1.0,5.0,2.0,1.0,128.33,20.0,58.33,0.0
15,20,jumcorredorro,1,0.625,3,143.34,jumcorredorro,1.0,1.0,5.0,2.0,2.0,309.17,80.0,54.17,87.5
16,21,lgmoralesa,1,0.630434782608696,3,192.5,lgmoralesa,2.0,2.0,4.0,3.0,5.0,268.33,60.0,58.33,62.5
17,22,dduartec,1,0.666666666666667,3,287.5,dduartec,1.0,5.0,4.0,1.0,1.0,333.33,100.0,70.83,75.0
18,23,smarquezo,1,0.666666666666667,3,230.0,smarquezo,0.0,0.0,2.0,0.0,1.0,111.67,20.0,29.17,0.0
19,24,juclopezso,1,0.666666666666667,3,259.17,juclopezso,1.0,3.0,3.0,2.0,1.0,111.67,20.0,29.17,0.0
20,25,jmalvarezd,1,0.696428571428571,3,0.0,jmalvarezd,3.0,3.0,5.0,2.0,1.0,198.33,40.0,45.83,25.0
21,26,lemartinp,1,0.708333333333333,3,270.84,lemartinp,0.0,0.0,4.0,1.0,2.0,131.67,40.0,29.17,0.0
22,27,sarizag,1,0.710526315789474,3,221.67,sarizag,4.0,3.0,6.0,2.0,1.0,140.83,20.0,33.33,0.0
23,28,afceballosr,1,0.719298245614035,3,209.17,afceballosr,1.0,3.0,5.0,2.0,1.0,103.33,20.0,33.33,0.0
24,29,ronaldsg20,1,0.733333333333333,3,146.67,ronaldsg20,0.0,3.0,5.0,2.0,0.0,161.67,20.0,29.17,25.0
25,30,nfmorenog,1,0.745098039215686,3,225.0,nfmorenog,0.0,2.0,3.0,1.0,1.0,133.33,0.0,33.33,25.0
26,31,NicolasPrr,1,0.75,3,216.67,NicolasPrr,3.0,4.0,3.0,2.0,0.0,100.0,0.0,25.0,25.0
27,32,DavidQP,1,0.75,3,217.5,DavidQP,2.0,3.0,4.0,3.0,1.0,120.0,20.0,50.0,0.0
28,33,oacastillol,1,0.769230769230769,3,237.5,oacastillol,2.0,1.0,5.0,1.0,1.0,116.67,0.0,29.17,25.0
29,34,jscastelblancoh,1,0.80952380952381,3,127.5,jscastelblancoh,0.0,0.0,3.0,2.0,0.0,264.17,60.0,41.67,87.5
30,35,kgbayala528,1,0.848214285714286,3,221.67,kgbayala528,1.0,5.0,6.0,2.0,1.0,123.33,40.0,33.33,0.0
31,36,cccristanchoc,1,0.866666666666667,3,255.0,cccristanchoc,1.0,1.0,4.0,1.0,1.0,103.33,20.0,33.33,0.0
32,37,srmedinac,1,0.878378378378378,3,304.17,srmedinac,1.0,2.0,4.0,1.0,1.0,115.83,20.0,33.33,0.0
33,38,jorge52an,1,0.925925925925926,3,230.0,jorge52an,4.0,4.0,5.0,2.0,0.0,187.5,0.0,25.0,87.5
34,39,juligarji,1,0.942675159235669,3,167.5,juligarji,4.0,4.0,5.0,3.0,3.0,242.08,40.0,45.83,68.75
35,40,mballeng91,1,0.968911917098446,3,329.17,mballeng91,2.0,6.0,6.0,2.0,1.0,100.0,0.0,25.0,25.0
36,46,capinzor,2,0.391891891891892,3,213.33,capinzor,0.0,0.0,2.0,2.0,1.0,207.5,20.0,25.0,62.5
37,47,wapiravaguens,2,0.4,3,140.83,wapiravaguens,0.0,1.0,4.0,2.0,1.0,192.5,80.0,50.0,0.0
38,48,AFelipeGA,2,0.4,3,180.83,AFelipeGA,4.0,3.0,5.0,2.0,0.0,152.5,40.0,37.5,0.0
39,49,afforeroc,2,0.428571428571429,3,230.0,afforeroc,1.0,4.0,3.0,2.0,0.0,103.33,20.0,33.33,0.0
40,50,adriel62,2,0.442307692307692,3,130.0,adriel62,1.0,3.0,5.0,2.0,2.0,190.83,20.0,33.33,62.5
41,51,ncampuzano,2,0.442307692307692,3,209.16,ncampuzano,1.0,3.0,4.0,2.0,8.0,116.67,0.0,29.17,25.0
42,52,spenas,2,0.444444444444444,3,217.5,spenas,5.0,4.0,6.0,1.0,0.0,115.83,20.0,33.33,0.0
43,53,lizzyt10h,2,0.5,3,258.33,lizzyt10h,2.0,1.0,5.0,2.0,3.0,145.83,0.0,33.33,25.0
44,54,Chranium,2,0.5,3,225.83,Chranium,4.0,5.0,6.0,2.0,0.0,95.0,20.0,25.0,0.0
45,55,lacardenasv,2,0.605263157894737,3,69.16,lacardenasv,1.0,2.0,5.0,4.0,11.0,264.17,60.0,54.17,75.0
46,56,DianaNavarrete,2,0.625,3,205.0,DianaNavarrete,0.0,1.0,5.0,2.0,0.0,147.5,60.0,50.0,0.0
47,57,smarquezo,2,0.666666666666667,3,221.66,smarquezo,0.0,0.0,2.0,0.0,1.0,111.67,20.0,29.17,0.0
48,58,sarizag,2,0.676470588235294,3,192.5,sarizag,4.0,3.0,6.0,2.0,1.0,128.33,20.0,33.33,0.0
49,59,macuestap,2,0.676470588235294,3,188.33,macuestap,0.0,1.0,4.0,1.0,1.0,145.0,20.0,37.5,25.0
50,60,jmalvarezd,2,0.686274509803922,3,135.0,jmalvarezd,3.0,3.0,5.0,2.0,2.0,275.0,100.0,87.5,0.0
51,61,cccristanchoc,2,0.692307692307692,3,230.0,cccristanchoc,1.0,1.0,4.0,1.0,1.0,103.33,20.0,33.33,0.0
52,62,juclopezso,2,0.7,3,221.66,juclopezso,1.0,3.0,3.0,2.0,1.0,111.67,20.0,29.17,0.0
