,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity,user2,novelty,ln_novelty
0,lemartinp,3,270.84000000000003,1,0.0,0.0,4.0,1.0,0.14634146341463414,lemartinp,0.7083333333333333,0.5355182363563621
1,juligarji,3,167.50000000000003,1,4.0,4.0,5.0,3.0,0.05732484076433121,juligarji,0.9426751592356688,0.6640659712591036
2,nfmorenog,3,225.0,1,0.0,2.0,3.0,1.0,0.19047619047619047,nfmorenog,0.7450980392156863,0.556810737007814
3,AFelipeGA,3,291.67,1,4.0,3.0,5.0,2.0,0.09090909090909091,AFelipeGA,0.4,0.3364722366212129
4,mballeng91,3,329.17,1,2.0,6.0,6.0,2.0,0.0048543689320388345,mballeng91,0.9689119170984456,0.6774810638155458
5,dduartec,3,287.5,1,1.0,5.0,4.0,1.0,0.09230769230769231,dduartec,0.6666666666666667,0.5108256237659907
6,srmedinac,3,304.17,1,1.0,2.0,4.0,1.0,0.05952380952380952,srmedinac,0.8783783783783784,0.6304088399265221
7,wilson911013,3,250.84000000000003,1,0.0,1.0,2.0,1.0,0.0,wilson911013,0.0,0.0
8,wapiravaguens,3,90.00000000000003,1,0.0,1.0,4.0,2.0,0.09090909090909091,wapiravaguens,0.4,0.3364722366212129
9,davidh17,3,173.34,1,3.0,3.0,5.0,3.0,0.11940298507462686,davidh17,0.6164383561643836,0.48022518331727365
10,DianaNavarrete,3,229.17000000000002,1,0.0,1.0,5.0,2.0,0.08333333333333333,DianaNavarrete,0.625,0.4855078157817008
11,jdmonroyg,3,329.17,1,0.0,1.0,4.0,1.0,0.0,jdmonroyg,0.0,0.0
12,jorge52an,3,230.0,1,4.0,4.0,5.0,2.0,0.07407407407407407,jorge52an,0.9259259259259259,0.6554068525770983
13,jscastelblancoh,3,127.50000000000003,1,0.0,0.0,3.0,2.0,0.11864406779661017,jscastelblancoh,0.8095238095238095,0.5930637220029628
14,juclopezso,3,259.17,1,1.0,3.0,3.0,2.0,0.08571428571428572,juclopezso,0.6666666666666667,0.5108256237659907
15,afforeroc,3,263.34000000000003,1,1.0,4.0,3.0,2.0,0.11428571428571428,afforeroc,0.4285714285714286,0.3566749439387324
16,dagofonseca,3,271.67,1,0.0,0.0,2.0,2.0,0.13333333333333333,dagofonseca,0.5925925925925926,0.4653632496892333
17,lacardenasv,3,142.50000000000003,1,1.0,2.0,5.0,4.0,0.15584415584415584,lacardenasv,0.4246575342465754,0.3539314579929815
18,oacastillol,3,237.5,1,2.0,1.0,5.0,1.0,0.23076923076923078,oacastillol,0.7692307692307692,0.5705448584676129
19,ncampuzano,3,237.5,1,1.0,3.0,4.0,2.0,0.19672131147540983,ncampuzano,0.4285714285714286,0.3566749439387324
20,adriel62,3,225.84000000000003,1,1.0,3.0,5.0,2.0,0.125,adriel62,0.43137254901960786,0.3586338084240654
21,capinzor,3,221.67000000000002,1,0.0,0.0,2.0,2.0,0.08333333333333333,capinzor,0.4137931034482759,0.34627623671783375
22,ofnanezn,3,316.67,1,0.0,1.0,6.0,2.0,0.3055555555555556,ofnanezn,0.5909090909090908,0.4643056081310978
23,macuestap,3,160.42000000000002,1,0.0,1.0,4.0,1.0,0.14285714285714285,macuestap,0.5454545454545454,0.4353180712578455
24,spenas,3,200.84,1,5.0,4.0,6.0,1.0,0.08,spenas,0.4444444444444444,0.36772478012531734
25,kgbayala528,3,221.67000000000002,1,1.0,5.0,6.0,2.0,0.04918032786885246,kgbayala528,0.8482142857142857,0.6142199219702744
26,lgmoralesa,3,192.50000000000003,1,2.0,2.0,4.0,3.0,0.171875,lgmoralesa,0.6304347826086957,0.4888467170472155
27,ronaldsg20,3,146.67000000000002,1,0.0,3.0,5.0,2.0,0.18181818181818182,ronaldsg20,0.7333333333333334,0.550046336919272
28,cccristanchoc,3,255.0,1,1.0,1.0,4.0,1.0,0.05128205128205128,cccristanchoc,0.8666666666666667,0.6241543090729939
29,jmalvarezd,3,0.0,1,3.0,3.0,5.0,2.0,,jmalvarezd,0.6964285714285714,0.5285252008653916
30,smarquezo,3,230.0,1,0.0,0.0,2.0,0.0,0.058823529411764705,smarquezo,0.6666666666666667,0.5108256237659907
31,sarizag,3,221.67000000000002,1,4.0,3.0,6.0,2.0,0.17307692307692307,sarizag,0.7105263157894737,0.5368011101692514
32,Chranium,3,284.17,1,4.0,5.0,6.0,2.0,0.08823529411764706,Chranium,0.5,0.4054651081081644
33,DavidQP,3,217.5,1,2.0,3.0,4.0,3.0,0.125,DavidQP,0.75,0.5596157879354227
34,afceballosr,3,209.17000000000002,1,1.0,3.0,5.0,2.0,0.07462686567164178,afceballosr,0.7192982456140351,0.5419162108360218
35,lizzyt10h,3,175.00000000000003,1,2.0,1.0,5.0,2.0,0.09090909090909091,lizzyt10h,0.4,0.3364722366212129
36,NicolasPrr,3,216.67000000000002,1,3.0,4.0,3.0,2.0,0.13043478260869565,NicolasPrr,0.75,0.5596157879354227
37,jumcorredorro,3,143.34,1,1.0,1.0,5.0,2.0,0.109375,jumcorredorro,0.625,0.4855078157817008
38,feartheGru,3,316.67,1,2.0,2.0,5.0,2.0,0.0,feartheGru,0.0,0.0
39,Danielsv9207,3,279.17,1,1.0,1.0,1.0,3.0,0.0,Danielsv9207,0.0,0.0
40,JhonEmmanuelTorres,3,329.17,1,5.0,4.0,5.0,2.0,0.0,JhonEmmanuelTorres,0.0,0.0
41,lemartinp,3,201.66,2,0.0,0.0,4.0,1.0,0.125,lemartinp,0.76,0.5653138090500605
42,juligarji,3,91.24999999999997,2,4.0,4.0,5.0,3.0,0.00276789244760775,juligarji,0.9924363057324841,0.6893581641612316
43,nfmorenog,3,199.99999999999997,2,0.0,2.0,3.0,1.0,0.2465753424657534,nfmorenog,0.7469879518072289,0.5578931346239765
