,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
0,Danielsv9207,1,0.0,3,279.17,Danielsv9207,1.0,1.0,1.0,3.0
1,feartheGru,1,0.0,3,316.67,feartheGru,2.0,2.0,5.0,2.0
2,jdmonroyg,1,0.0,3,329.17,jdmonroyg,0.0,1.0,4.0,1.0
3,wilson911013,1,0.0,3,250.84000000000003,wilson911013,0.0,1.0,2.0,1.0
4,JhonEmmanuelTorres,1,0.0,3,329.17,JhonEmmanuelTorres,5.0,4.0,5.0,2.0
5,capinzor,1,0.4,3,221.67000000000002,capinzor,0.0,0.0,2.0,2.0
6,srmedinac,1,0.42500000000000004,3,304.17,srmedinac,1.0,2.0,4.0,1.0
7,spenas,1,0.4444444444444444,3,200.84,spenas,5.0,4.0,6.0,1.0
8,adriel62,1,0.4444444444444444,3,225.84000000000003,adriel62,1.0,3.0,5.0,2.0
9,macuestap,1,0.5454545454545454,3,160.42000000000002,macuestap,0.0,1.0,4.0,1.0
10,afforeroc,1,0.5454545454545454,3,263.34000000000003,afforeroc,1.0,4.0,3.0,2.0
11,DavidQP,1,0.5833333333333333,3,217.5,DavidQP,2.0,3.0,4.0,3.0
12,dagofonseca,1,0.5925925925925926,3,271.67,dagofonseca,0.0,0.0,2.0,2.0
13,Chranium,1,0.6,3,284.17,Chranium,4.0,5.0,6.0,2.0
14,davidh17,1,0.6164383561643836,3,173.34,davidh17,3.0,3.0,5.0,3.0
15,jumcorredorro,1,0.625,3,143.34,jumcorredorro,1.0,1.0,5.0,2.0
16,lgmoralesa,1,0.6304347826086957,3,192.50000000000003,lgmoralesa,2.0,2.0,4.0,3.0
17,cccristanchoc,1,0.6481481481481481,3,255.0,cccristanchoc,1.0,1.0,4.0,1.0
18,dduartec,1,0.6666666666666667,3,287.5,dduartec,1.0,5.0,4.0,1.0
19,DianaNavarrete,1,0.6666666666666667,3,229.17000000000002,DianaNavarrete,0.0,1.0,5.0,2.0
20,juclopezso,1,0.6666666666666667,3,259.17,juclopezso,1.0,3.0,3.0,2.0
21,jmalvarezd,1,0.6964285714285714,3,0.0,jmalvarezd,3.0,3.0,5.0,2.0
22,lemartinp,1,0.7083333333333333,3,270.84000000000003,lemartinp,0.0,0.0,4.0,1.0
23,sarizag,1,0.7105263157894737,3,221.67000000000002,sarizag,4.0,3.0,6.0,2.0
24,smarquezo,1,0.7142857142857143,3,230.0,smarquezo,0.0,0.0,2.0,0.0
25,afceballosr,1,0.7192982456140351,3,209.17000000000002,afceballosr,1.0,3.0,5.0,2.0
26,ronaldsg20,1,0.7333333333333334,3,146.67000000000002,ronaldsg20,0.0,3.0,5.0,2.0
27,NicolasPrr,1,0.7391304347826086,3,216.67000000000002,NicolasPrr,3.0,4.0,3.0,2.0
28,nfmorenog,1,0.7450980392156863,3,225.0,nfmorenog,0.0,2.0,3.0,1.0
29,lacardenasv,1,0.746031746031746,3,142.50000000000003,lacardenasv,1.0,2.0,5.0,4.0
30,lizzyt10h,1,0.75,3,175.00000000000003,lizzyt10h,2.0,1.0,5.0,2.0
31,ncampuzano,1,0.7551020408163265,3,237.5,ncampuzano,1.0,3.0,4.0,2.0
32,ofnanezn,1,0.7765957446808511,3,316.67,ofnanezn,0.0,1.0,6.0,2.0
33,wapiravaguens,1,0.7974683544303798,3,90.00000000000003,wapiravaguens,0.0,1.0,4.0,2.0
34,jscastelblancoh,1,0.8095238095238095,3,127.50000000000003,jscastelblancoh,0.0,0.0,3.0,2.0
35,oacastillol,1,0.8308457711442786,3,237.5,oacastillol,2.0,1.0,5.0,1.0
36,kgbayala528,1,0.8482142857142857,3,221.67000000000002,kgbayala528,1.0,5.0,6.0,2.0
37,jorge52an,1,0.9259259259259259,3,230.0,jorge52an,4.0,4.0,5.0,2.0
38,juligarji,1,0.9426751592356688,3,167.50000000000003,juligarji,4.0,4.0,5.0,3.0
